,bn,bs,sn,ss,sst,sal,po4,prey,chl_total,fe,mld,light,stratification
67,8.7680876e-11,5.1896074e-11,6.124459e-11,2.1732751e-11,-1.8278627,33.9902,5.6462838e-08,0.14659046,1.3757492,3.0090117e-10,83.39096,96.760216,5.2271565e-07
68,9.356338e-11,5.5921427e-11,6.346239e-11,2.3535382e-11,-1.8286525,34.007744,5.903084e-08,0.15630193,1.4046494,2.991186e-10,82.965126,96.760216,2.1180726e-07
69,1.1210955e-10,6.842322e-11,6.980474e-11,2.8581392e-11,-1.826685,34.01558,6.900861e-08,0.18470627,1.4795551,3.0078584e-10,82.57601,96.760216,1.1957309e-07
70,9.898939e-11,5.972761e-11,6.541666e-11,2.5089316e-11,-1.8290408,34.04559,6.2870015e-08,0.16640815,1.4287919,2.9568925e-10,82.81847,96.760216,1.2572016e-07
71,1.1003285e-10,6.701949e-11,6.90127e-11,2.79098e-11,-1.8314097,34.10019,6.8437586e-08,0.18208475,1.4685287,3.0117758e-10,82.951096,96.760216,2.3244299e-07
72,0.051763237,1.0442274e-09,2.1403147e-10,1.0749942e-10,-1.5940222,33.92803,1.4451538e-07,0.3462864,2.3903913,3.4555442e-10,82.90181,129.90582,1.1749822e-07
73,0.09012001,0.005299505,2.4424934e-10,1.2102584e-10,-1.4842767,34.071926,1.9379684e-07,0.35393456,2.5016537,3.7194223e-10,82.896454,129.90582,-3.1364394e-08
74,0.11072965,0.030703273,2.619727e-10,1.3231823e-10,-1.3243642,34.22041,2.664656e-07,0.35648254,2.5813076,4.100867e-10,83.434395,129.90582,-6.989548e-08
75,0.11498284,0.036035318,2.6996616e-10,1.3588208e-10,-1.203681,34.283268,2.8554888e-07,0.3564794,2.5935574,4.2823553e-10,83.94137,129.90582,-5.922368e-08
76,0.12641172,0.05003609,2.8332095e-10,1.459387e-10,-1.0843562,34.39103,4.0577942e-07,0.3575357,2.6344028,4.7962057e-10,85.638275,129.90582,-2.4681015e-07
77,0.12837471,0.053121727,2.9206224e-10,1.4746207e-10,-1.0459657,34.454117,4.6562312e-07,0.35706595,2.6312306,5.0677024e-10,88.78099,129.90582,-2.8009936e-07
78,0.11898772,0.04475759,3.0623046e-10,1.392881e-10,-1.0631541,34.477173,4.62122e-07,0.35566354,2.552882,5.111579e-10,102.59015,129.90582,-1.690662e-07
