,bn,bs,sn,ss,sst,sal,po4,prey,fe,mld,light,stratification
759,0.0,0.0,4.1533967e-11,7.9345044e-11,31.735846,34.112995,3.4966137e-09,0.0019385838,1.9183127e-11,81.017746,322.87704,-7.958539e-08
760,0.0,0.0,3.903276e-11,7.387131e-11,31.152523,34.195797,3.3848473e-09,1.2848745e-09,1.8223862e-11,81.06261,322.87704,1.6685036e-07
761,0.0,0.0,4.0795565e-11,7.7390344e-11,30.569715,34.278698,3.5763117e-09,0.0015989683,1.8490903e-11,81.14442,322.87704,5.9773663e-07
762,0.0,0.0,5.0856694e-11,9.785313e-11,29.981504,34.385544,4.347794e-09,0.012972829,1.9839396e-11,81.10512,322.87704,1.6540285e-07
763,0.0,0.0,5.2396722e-11,1.0063899e-10,29.38195,34.496902,4.5527186e-09,0.014920184,2.1227057e-11,81.233086,322.87704,8.9651866e-07
764,0.0,0.0,6.506507e-11,1.2864176e-10,28.690615,34.58968,5.6136353e-09,0.025546016,2.3535993e-11,81.29042,322.87704,1.4777623e-07
765,0.0,0.0,6.732534e-11,1.3334911e-10,28.20616,34.638607,5.8943312e-09,0.027983177,2.4914439e-11,81.43377,322.87704,4.9770125e-07
766,0.0,0.0,7.561804e-11,1.539517e-10,27.808437,34.64861,6.621673e-09,0.034317646,2.6187127e-11,81.3905,322.87704,2.028961e-07
767,0.0,0.0,8.949269e-11,1.9558068e-10,27.592587,34.63805,7.710426e-09,0.043163616,2.7548073e-11,81.27224,322.87704,-2.849494e-07
768,0.0,0.0,7.117501e-11,1.4195933e-10,27.677319,34.588703,6.3204517e-09,0.03164666,2.6358646e-11,81.26722,322.87704,3.2822078e-07
769,0.0,0.0,8.827186e-11,1.9237759e-10,27.810898,34.539886,7.546759e-09,0.0417621,2.8718878e-11,81.07476,322.87704,-3.0788868e-07
770,0.0,0.0,7.0814764e-11,1.4373755e-10,28.86909,34.50745,5.9968497e-09,0.028636273,2.847659e-11,77.05038,322.87704,1.2468834e-07
771,0.0,0.0,7.535222e-11,1.5926038e-10,29.85895,34.53259,6.094384e-09,0.02863188,3.062267e-11,63.04404,322.87704,6.690118e-07
772,0.0,0.0,1.2957857e-10,0.00933861,29.731201,34.434784,9.286471e-09,0.05300439,3.5618074e-11,80.83811,322.87704,7.5671875e-07
773,2.3756448e-37,0.0,1.6439564e-10,0.023013752,28.88748,34.492348,1.1122934e-08,0.06601449,4.674261e-11,81.092,322.87704,4.9832846e-07
775,0.0,0.0,1.1377723e-10,2.0277952e-05,28.646711,35.43844,8.872253e-09,0.04817051,4.4353834e-10,66.81921,322.87704,-2.6798741e-06
776,0.0,0.0,7.26323e-11,1.4713393e-10,28.388472,35.354206,6.23709e-09,0.030172192,3.892964e-10,81.07343,322.87704,-1.3640717e-06
777,0.0,0.0,5.820199e-11,1.1212311e-10,28.251856,35.537834,5.1906777e-09,0.020478684,3.3395525e-10,81.24514,322.87704,-5.7051767e-07
778,0.0,0.0,5.6946822e-11,1.09250185e-10,28.140131,35.777077,5.1163043e-09,0.0196478,3.5216577e-10,81.21343,322.87704,-4.8350705e-07
779,0.0,0.0,5.0212286e-11,9.5528405e-11,28.689497,35.893387,4.5062616e-09,0.013221821,4.2096177e-10,81.14479,322.87704,2.2394845e-07
780,8.34301e-14,0.0,2.533034e-10,0.036616694,31.296743,35.128372,1.1766778e-08,0.05350615,3.7959397e-10,1.8652296,322.87704,-1.3756e-06
787,2.4952682e-11,0.0,0.004759142,0.048083376,29.464508,35.15384,1.531966e-08,0.08363832,2.0776866e-10,68.28395,322.87704,-1.1822975e-06
788,0.0,0.0,7.416561e-11,1.5290526e-10,29.27819,35.432728,6.146886e-09,0.029606873,3.955601e-10,81.743195,322.87704,1.1984308e-06
789,0.0,0.0,7.4253034e-11,1.5796546e-10,30.540756,35.390045,5.8604677e-09,0.025956431,5.247826e-10,56.958145,322.87704,2.0655119e-07
790,0.0,0.0,1.313867e-10,0.010965821,30.895481,34.924915,8.820627e-09,0.04640493,2.7990443e-10,56.625175,322.87704,5.6117955e-09
791,8.301304e-11,3.3702106e-14,0.028551396,0.06735375,33.434723,34.535507,1.9767464e-08,0.076696485,1.0665877e-10,19.33246,322.87704,-8.7543447e-07
793,0.0,0.0,6.910013e-11,1.4535603e-10,31.837475,33.731598,5.3442664e-09,0.021565896,3.268723e-11,42.122112,315.4839,-1.0225925e-06
794,0.0,0.0,3.502087e-11,6.5346006e-11,31.464598,34.015133,3.0547431e-09,1.9491424e-10,2.5707407e-11,73.95602,315.4839,2.0822154e-07
795,0.0,0.0,3.373637e-11,6.2327934e-11,30.771955,34.18998,3.0021177e-09,1.766204e-10,2.0726755e-11,81.32987,315.4839,1.1449728e-08
796,0.0,0.0,3.313133e-11,6.09774e-11,30.325191,34.285137,2.9919656e-09,1.689636e-10,1.914153e-11,81.403854,315.4839,5.018892e-07
797,0.0,0.0,3.5470345e-11,6.574369e-11,29.784632,34.392998,3.2357095e-09,2.154913e-10,1.8859999e-11,81.61497,315.4839,1.1289295e-06
798,0.0,0.0,3.939096e-11,7.393022e-11,29.2543,34.494633,3.6251948e-09,0.00055843976,1.9333493e-11,81.73842,315.4839,1.110841e-06
799,0.0,0.0,4.353041e-11,8.200294e-11,28.756065,34.583416,3.9983483e-09,0.006605623,2.008197e-11,81.90574,315.4839,1.4355564e-06
800,0.0,0.0,4.639236e-11,8.745407e-11,28.125654,34.656677,4.308871e-09,0.010972993,2.1227483e-11,82.22342,315.4839,1.7731112e-06
801,0.0,0.0,4.8704808e-11,9.152216e-11,27.572487,34.693188,4.575818e-09,0.0140197445,2.2301362e-11,82.69322,315.4839,1.8620415e-06
802,0.0,0.0,5.088585e-11,9.546291e-11,27.147411,34.70044,4.8244244e-09,0.016657053,2.3715497e-11,82.46598,315.4839,1.0367132e-06
803,0.0,0.0,5.2357344e-11,9.8145395e-11,26.869837,34.680748,4.997075e-09,0.0184172,2.536784e-11,82.35205,315.4839,8.279475e-07
804,0.0,0.0,5.1218713e-11,9.582748e-11,26.80035,34.643593,4.917866e-09,0.017356178,2.7044048e-11,81.992424,315.4839,5.503788e-07
805,0.0,0.0,4.525258e-11,8.445227e-11,26.952906,34.65119,4.40759e-09,0.010623292,3.1592288e-11,81.67389,315.4839,7.513537e-07
806,0.0,0.0,4.6970643e-11,8.85326e-11,27.984547,34.740788,4.378185e-09,0.011480278,3.6201615e-11,81.285515,315.4839,4.1116408e-07
807,0.0,0.0,6.5550176e-11,1.3376224e-10,30.80393,34.858463,5.283943e-09,0.021129774,3.4007165e-11,44.973072,315.4839,5.510548e-07
808,3.8893503e-11,0.0,0.01736516,0.059820455,31.751097,34.454193,1.7587093e-08,0.07533959,3.501555e-11,14.910756,315.4839,-7.4249067e-07
810,0.0,0.0,6.791592e-11,1.3299226e-10,27.4433,35.516678,6.134699e-09,0.029213484,4.651762e-10,81.31679,315.4839,-1.727642e-06
811,0.0,0.0,5.6524625e-11,1.076811e-10,27.738056,35.610657,5.1626614e-09,0.02008005,4.4669818e-10,81.6408,315.4839,-1.0859828e-06
812,0.0,0.0,3.539401e-11,6.513964e-11,27.86747,35.547256,3.4320684e-09,2.2369304e-10,4.040935e-10,81.59454,315.4839,5.6347636e-07
813,0.0,0.0,3.553182e-11,6.534603e-11,27.595217,35.753716,3.4768395e-09,2.3018486e-10,3.8954232e-10,81.75949,315.4839,7.3478986e-07
814,0.0,0.0,3.605374e-11,6.631421e-11,27.236153,36.021935,3.5701777e-09,2.5551608e-10,4.5979862e-10,81.7131,315.4839,2.9516053e-07
815,0.0,0.0,3.9672286e-11,7.368547e-11,27.244675,36.095512,3.9021937e-09,0.002003273,5.742121e-10,81.54833,315.4839,2.9172392e-07
816,0.0,0.0,1.0815902e-10,6.1985697e-06,30.219711,35.33861,8.020085e-09,0.040134806,4.8075066e-10,37.613853,315.4839,-8.0901555e-07
823,8.6127404e-11,1.1326114e-11,0.021138804,0.060170557,28.42259,35.119377,2.0570257e-08,0.10928227,3.4583378e-10,70.59684,315.4839,-1.4374888e-06
824,0.0,0.0,9.8676935e-11,2.2918144e-10,28.503965,35.504395,8.282044e-09,0.045005728,5.5862187e-10,80.88484,315.4839,1.101751e-06
825,0.0,0.0,6.4103396e-11,1.2888454e-10,29.984163,35.01793,5.3145137e-09,0.021313237,6.109346e-10,55.44231,315.4839,4.1284017e-07
826,0.0,0.0,1.13988985e-10,4.100505e-10,30.34462,34.60137,8.207202e-09,0.04289104,2.8672303e-10,54.98717,315.4839,7.018659e-08
827,0.0,0.0,1.1057916e-10,5.1325824e-09,32.33807,34.676296,7.4104154e-09,0.036548715,1.6071873e-10,45.103836,315.4839,7.071381e-07
829,0.0,0.0,3.9611106e-11,7.467639e-11,29.730024,33.942104,3.661006e-09,5.705459e-06,4.8857095e-11,78.378044,306.3013,-4.721799e-07
830,0.0,0.0,3.277136e-11,6.013502e-11,30.259624,34.056854,2.972043e-09,1.6508436e-10,3.0819666e-11,81.75232,306.3013,1.6481223e-07
831,0.0,0.0,2.856449e-11,5.1579074e-11,29.968601,34.253693,2.6438916e-09,1.196763e-10,2.311211e-11,81.98724,306.3013,5.216858e-07
832,0.0,0.0,3.001085e-11,5.4385267e-11,29.55567,34.384132,2.795821e-09,1.3404274e-10,2.1636805e-11,82.117516,306.3013,9.222871e-07
833,0.0,0.0,3.249198e-11,5.929747e-11,29.070324,34.5063,3.0504432e-09,1.6562281e-10,2.1302701e-11,82.30723,306.3013,1.7112678e-06
834,0.0,0.0,3.5657467e-11,6.570261e-11,28.541616,34.60616,3.3841971e-09,2.3422525e-10,2.1283754e-11,82.4529,306.3013,1.4319996e-06
835,0.0,0.0,3.9356914e-11,7.3199426e-11,28.022623,34.675804,3.776214e-09,0.0013351303,2.1252194e-11,82.801895,306.3013,1.3159557e-06
836,0.0,0.0,4.220335e-11,7.84712e-11,27.479471,34.72806,4.0788177e-09,0.0061118063,2.1713877e-11,83.3397,306.3013,1.7316127e-06
837,0.0,0.0,4.3381132e-11,8.05343e-11,27.03512,34.75027,4.240933e-09,0.008288411,2.2392335e-11,83.3932,306.3013,2.3896257e-06
838,0.0,0.0,4.321166e-11,7.989837e-11,26.504526,34.76989,4.3082875e-09,0.008546708,2.4301327e-11,83.52489,306.3013,1.8802785e-06
839,0.0,0.0,4.2385723e-11,7.8044675e-11,26.062887,34.75344,4.3079385e-09,0.007694049,2.6766986e-11,83.714066,306.3013,1.5348736e-06
840,0.0,0.0,3.9273036e-11,7.206894e-11,25.857632,34.76971,4.0701664e-09,0.0026010429,3.086579e-11,82.982605,306.3013,1.0452036e-06
841,0.0,0.0,3.437853e-11,6.23262e-11,25.897429,34.892258,3.5865768e-09,2.2902256e-10,4.0501318e-11,82.58276,306.3013,1.1784199e-06
842,0.0,0.0,3.722632e-11,6.862733e-11,27.205147,35.170204,3.712435e-09,3.7290175e-09,4.3638662e-11,81.77303,306.3013,1.3720748e-06
843,0.0,0.0,1.009853e-10,2.9401254e-10,32.694748,35.13073,6.906282e-09,0.03273672,2.878062e-11,26.825241,306.3013,-7.6371975e-09
845,0.0,0.0,5.8091917e-11,1.11254346e-10,27.828482,35.402462,5.321006e-09,0.020978361,4.9063703e-10,68.1976,306.3013,-9.1090425e-07
846,0.0,0.0,2.9170017e-11,5.2383178e-11,27.503202,35.60129,2.8862415e-09,1.2841493e-10,4.745993e-10,81.86182,306.3013,1.7385571e-06
847,0.0,0.0,2.9717066e-11,5.3441186e-11,27.411074,35.710716,2.9433882e-09,1.339787e-10,4.56474e-10,81.987114,306.3013,8.542556e-07
848,0.0,0.0,2.910882e-11,5.220851e-11,27.240356,35.74184,2.9011218e-09,1.2827887e-10,4.3650417e-10,82.26439,306.3013,1.3865898e-06
849,0.0,0.0,2.886637e-11,5.1659753e-11,26.883667,35.98992,2.9102694e-09,1.267578e-10,4.625263e-10,82.38393,306.3013,1.5156317e-06
850,0.0,0.0,2.8074161e-11,5.0009347e-11,26.352537,36.27859,2.880814e-09,1.205266e-10,5.782749e-10,82.50918,306.3013,1.3359098e-06
851,0.0,0.0,3.3024024e-11,5.9662164e-11,26.005701,36.311268,3.4167813e-09,1.8492745e-10,7.115521e-10,82.20029,306.3013,3.242495e-07
852,0.0,0.0,6.864763e-11,1.3750845e-10,28.681934,35.646904,5.9091545e-09,0.026735265,6.0653244e-10,60.982517,306.3013,-5.057267e-07
859,3.3448355e-11,0.0,0.0017342123,0.043746505,27.786003,35.03641,1.5874091e-08,0.091591544,6.2716105e-10,70.170334,306.3013,-7.901979e-07
860,1.0268218e-32,0.0,1.8847235e-10,5.309666e-10,28.08158,35.60732,2.4406372e-08,0.07121665,7.976794e-10,84.50909,306.3013,1.240113e-06
862,0.0,0.0,1.3241531e-10,0.0068238685,29.556631,33.987534,9.335513e-09,0.050606906,2.7284733e-10,52.683384,306.3013,6.574811e-08
863,0.0,0.0,9.169083e-11,2.2669593e-10,31.526562,34.316597,6.66244e-09,0.031741176,1.979968e-10,42.475918,306.3013,5.7077875e-07
865,0.0,0.0,4.988453e-11,8.784176e-11,28.556578,34.10227,7.83206e-09,0.02832876,6.820672e-11,106.381355,295.36856,3.0848882e-06
