,bn,bs,sn,ss,sst,sal,po4,prey,fe,mld,lat,upwelling,stratification
99,2.870345e-09,1.2512937e-09,1.2614482e-10,7.982366e-11,-0.09493139,34.382507,1.0956487e-06,0.27711475,3.0229272e-10,83.713196,59.44156799225373,1,-2.0754283e-07
100,0.047271453,1.37724125e-08,1.5656047e-10,9.858306e-11,0.08061456,34.44832,1.2612245e-06,0.32477054,3.5125985e-10,86.82222,59.44156799225373,1,-2.9992043e-07
101,0.08084454,3.446087e-05,1.6691729e-10,1.0925163e-10,0.13831028,34.494247,1.4108645e-06,0.34662065,3.9451953e-10,94.248314,59.44156799225373,1,-3.5993776e-07
102,0.039613105,1.493903e-08,1.6586167e-10,9.756366e-11,-0.05661157,34.49459,1.414264e-06,0.33606827,3.9364673e-10,86.011856,59.44156799225373,1,-6.006103e-07
103,0.040735476,2.0315044e-08,1.785e-10,9.841166e-11,0.31223658,34.555553,1.549701e-06,0.32527524,4.319983e-10,187.36009,59.44156799225373,1,-4.412925e-07
104,0.01966598,1.8390649e-08,1.8654114e-10,9.55084e-11,0.74711037,34.587242,1.5625112e-06,0.31403232,4.3493925e-10,233.53044,59.44156799225373,1,-3.984037e-07
105,0.024433978,1.8480945e-08,1.8604722e-10,9.678887e-11,0.919025,34.592022,1.5688444e-06,0.31724757,4.3400133e-10,240.2058,59.44156799225373,1,-6.595874e-07
106,0.043282527,3.378154e-08,2.025715e-10,1.035539e-10,1.404757,34.604347,1.6161545e-06,0.3148865,4.455114e-10,206.98135,59.44156799225373,1,-6.79272e-08
107,0.055260118,0.002841976,2.1059561e-10,1.10940916e-10,1.9703286,34.558403,1.5023692e-06,0.32656264,4.1437273e-10,178.35332,59.44156799225373,1,-1.2912757e-06
108,0.05965042,0.037245926,4.558303e-10,2.2952587e-10,7.587392,34.665432,9.422474e-07,0.29434508,2.7553326e-10,101.76812,53.66394230733816,1,-9.375833e-08
109,0.05685412,0.033499822,5.3482685e-10,2.48966e-10,8.218351,34.694473,8.820941e-07,0.28894612,2.6271582e-10,101.04579,53.66394230733816,1,-8.1218786e-08
110,0.050885107,0.024986021,6.435488e-10,2.734589e-10,9.023694,34.730923,7.871957e-07,0.28148684,2.4171518e-10,102.53462,53.66394230733816,1,2.340064e-07
111,0.044218384,0.015567854,6.4987745e-07,3.0853894e-10,9.841731,34.76126,6.7283554e-07,0.27398518,2.1596447e-10,98.63664,53.66394230733816,1,2.061571e-07
112,0.0381974,0.0066088475,0.0004146329,3.4863148e-10,10.76128,34.80255,5.9123244e-07,0.2654621,2.0060856e-10,103.2513,53.66394230733816,0,2.4008213e-07
113,0.032937903,0.00011225568,0.0003434968,3.6348108e-10,11.397123,34.81825,5.7664346e-07,0.25772172,2.0063642e-10,118.050545,53.66394230733816,0,-1.271891e-07
114,0.03777316,0.0060133357,0.0027659615,3.794976e-10,11.416223,34.80857,6.3103613e-07,0.2589723,2.1406575e-10,119.634224,53.66394230733816,0,-5.6223973e-07
115,0.045354277,0.017418293,0.0032318865,3.6136086e-10,10.7150545,34.788113,7.258697e-07,0.26640284,2.335241e-10,113.15048,53.66394230733816,0,-3.4019172e-07
116,0.057580467,0.035287157,0.0033423535,3.280645e-10,9.551056,34.74648,8.336224e-07,0.2806114,2.5088412e-10,93.70408,53.66394230733816,0,-9.041638e-07
117,0.058686025,0.036912836,0.00055467506,3.011565e-10,9.048723,34.717667,8.671654e-07,0.28493837,2.512765e-10,90.26044,53.66394230733816,1,-3.1295633e-07
118,0.0560486,0.033173524,6.896599e-05,2.9749025e-10,9.045635,34.69971,8.4051345e-07,0.284624,2.396126e-10,87.663605,53.66394230733816,0,-1.2108538e-07
119,0.05149259,0.026477754,3.1117404e-05,3.0386185e-10,9.33158,34.694237,7.907419e-07,0.28103,2.2615534e-10,88.0239,53.66394230733816,0,-1.9106895e-07
120,0.049485467,0.023403844,2.2203742e-06,3.0034242e-10,9.382836,34.69165,7.768599e-07,0.27978247,2.2219329e-10,89.307724,53.66394230733816,0,-2.0848096e-07
121,0.0488337,0.022236308,2.4167335e-08,2.901409e-10,9.299428,34.689247,7.878401e-07,0.27970126,2.2465868e-10,92.599075,53.66394230733816,1,-2.711979e-07
122,0.047277533,0.019634811,6.456511e-10,2.8118272e-10,9.301641,34.69265,7.9090114e-07,0.27873647,2.2568189e-10,97.855484,53.66394230733816,1,-2.773304e-07
123,0.045929097,0.017378211,5.9749666e-10,2.722303e-10,9.292883,34.69537,7.9401195e-07,0.27806446,2.2648633e-10,103.215294,53.66394230733816,0,-3.165835e-07
124,0.04105295,0.009616107,5.337884e-10,2.5922126e-10,9.398202,34.701645,7.962361e-07,0.2742812,2.2845816e-10,118.998184,53.66394230733816,1,-3.5058792e-07
125,0.034937844,0.0006439118,5.194774e-10,2.5952185e-10,9.861017,34.722687,7.310827e-07,0.26836,2.1615613e-10,127.450966,53.66394230733816,1,-8.1795577e-07
126,0.019367408,1.2979492e-09,4.729575e-10,2.5686173e-10,10.689929,34.733612,5.935231e-07,0.25744838,1.9060876e-10,143.76787,53.66394230733816,0,1.9523986e-07
127,0.03294049,7.765167e-09,6.053696e-10,2.8632716e-10,10.321826,34.726685,6.186973e-07,0.2661534,1.9735596e-10,116.931,53.66394230733816,0,-8.6807836e-07
128,0.03651899,0.0006269698,4.4393453e-10,2.3764818e-10,9.163609,34.715862,7.0486095e-07,0.27491108,2.1645565e-10,123.61379,53.66394230733816,0,-2.646683e-06
129,0.04747417,0.019614883,3.5675418e-10,2.1641129e-10,7.4562454,34.66067,7.832474e-07,0.29326147,2.271813e-10,92.07195,53.66394230733816,1,-1.4415575e-07
130,0.048831113,0.021773454,3.083688e-10,2.0083703e-10,6.7034326,34.62073,7.8753874e-07,0.29893994,2.2443832e-10,85.303925,53.66394230733816,1,-1.3324131e-07
131,0.046580072,0.0180552,2.8229213e-10,1.9078489e-10,6.3348927,34.587364,7.72664e-07,0.30003536,2.1994719e-10,85.18407,53.66394230733816,1,-2.7720512e-07
