Event,Latitude,Longitude,Elevation [m],Symbiosis,Spinose,Depth [m],Relative_Abundance
GeoB1521-2,4.3117,-41.8283,-3725,No,No,0,0.05800000000000001
GeoB1521-2,4.3117,-41.8283,-3725,No,Yes,0,0.016
GeoB1521-2,4.3117,-41.8283,-3725,Yes,No,0,0.195
GeoB1521-2,4.3117,-41.8283,-3725,Yes,Yes,0,1.166
GeoB1522-1,4.025,-41.6833,-3478,No,No,0,0.064
GeoB1522-1,4.025,-41.6833,-3478,No,Yes,0,0.009000000000000001
GeoB1522-1,4.025,-41.6833,-3478,Yes,No,0,0.14400000000000002
GeoB1522-1,4.025,-41.6833,-3478,Yes,Yes,0,1.241
GeoB1523-2,3.815,-41.6217,-3291,No,No,0,0.096
GeoB1523-2,3.815,-41.6217,-3291,No,Yes,0,0.01
GeoB1523-2,3.815,-41.6217,-3291,Yes,No,0,0.18799999999999997
GeoB1523-2,3.815,-41.6217,-3291,Yes,Yes,0,1.1879999999999997
GeoB1702-6,-6.5667,10.3167,-3088,No,No,0,0.065
GeoB1702-6,-6.5667,10.3167,-3088,No,Yes,0,0.102
GeoB1702-6,-6.5667,10.3167,-3088,Yes,No,0,0.195
GeoB1702-6,-6.5667,10.3167,-3088,Yes,Yes,0,0.996
GeoB1704-1,-19.4067,11.6117,-399,No,No,0,0.128
GeoB1704-1,-19.4067,11.6117,-399,No,Yes,0,0.284
GeoB1704-1,-19.4067,11.6117,-399,Yes,No,0,0.698
GeoB1704-1,-19.4067,11.6117,-399,Yes,Yes,0,0.04100000000000001
GeoB1710-2,-23.43,11.7033,-2987,No,No,0,0.188
GeoB1710-2,-23.43,11.7033,-2987,No,Yes,0,0.131
GeoB1710-2,-23.43,11.7033,-2987,Yes,No,0,0.687
GeoB1710-2,-23.43,11.7033,-2987,Yes,Yes,0,0.069
GeoB1711-5,-23.3167,12.3783,-1964,No,No,0,0.12200000000000001
GeoB1711-5,-23.3167,12.3783,-1964,No,Yes,0,0.16699999999999998
