Core,Latitude,Longitude,Water depth (m),Symbiosis,Spinose,Relative_Abundance
11905-3bx,58.63,-19.448,1756,Yes,No,0.272
11905-3bx,58.63,-19.448,1756,Yes,Yes,0.005
11908-22,48.835,-11.473,4847,No,No,1.1
11908-22,48.835,-11.473,4847,No,Yes,0.154
11908-22,48.835,-11.473,4847,Yes,No,0.255
11908-22,48.835,-11.473,4847,Yes,Yes,0.031
12-1bx,45.875,-13.082,4789,No,No,0.8910000000000001
12-1bx,45.875,-13.082,4789,No,Yes,0.222
12-1bx,45.875,-13.082,4789,Yes,No,0.23099999999999998
12-1bx,45.875,-13.082,4789,Yes,Yes,0.115
12174-15,31.093,-21.17,4938,No,No,0.205
12174-15,31.093,-21.17,4938,No,Yes,0.095
12174-15,31.093,-21.17,4938,Yes,No,0.20500000000000004
12174-15,31.093,-21.17,4938,Yes,Yes,1.024
14-3bx,47.663,-14.425,4540,No,No,0.878
14-3bx,47.663,-14.425,4540,No,Yes,0.21899999999999997
14-3bx,47.663,-14.425,4540,Yes,No,0.24400000000000002
14-3bx,47.663,-14.425,4540,Yes,Yes,0.087
172-1054B,33,-76.283,1293,No,No,0.12999999999999998
172-1054B,33,-76.283,1293,No,Yes,0.011000000000000001
172-1054B,33,-76.283,1293,Yes,No,0.27699999999999997
172-1054B,33,-76.283,1293,Yes,Yes,1.022
172-1055C,32.784,-76.286,1798,No,No,0.122
172-1055C,32.784,-76.286,1798,No,Yes,0.011000000000000001
172-1055C,32.784,-76.286,1798,Yes,No,0.261
172-1055C,32.784,-76.286,1798,Yes,Yes,1.046
172-1056C,32.485,-76.33,2166,No,No,0.124
172-1056C,32.485,-76.33,2166,No,Yes,0.006999999999999999
172-1056C,32.485,-76.33,2166,Yes,No,0.283
172-1056C,32.485,-76.33,2166,Yes,Yes,1.016
172-1057B,32.029,-76.079,2485,No,No,0.15899999999999997
172-1057B,32.029,-76.079,2485,No,Yes,0.011000000000000001
172-1057B,32.029,-76.079,2485,Yes,No,0.265
172-1057B,32.029,-76.079,2485,Yes,Yes,1.04
172-1058C,31.69,-75.43,2984,No,No,0.24
172-1058C,31.69,-75.43,2984,No,Yes,0.01
