Sample,Sample_ID,Flag,Device,Latitude,Longitude,Water_depth,Ocean,Sample_depth_top,Author,Journal,Year,Resource_doi,Database,Type,Symbiosis,Spinose,Prop
ME5A-14MC-1,MARGO_2946,0,,5.8465,-86.449,2045,49,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.10677618
ME5A-15MC-1,MARGO_2947,0,,4.6137,-86.704,904,49,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.284457479
ME5A-20MC-5,MARGO_2948,0,,3.2123,-86.486,2675,49,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.053968255
ME5A-29MC-1,MARGO_2949,1,Multi,-0.5134,-81.995,1343,81,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,96,1,Yes,Yes,0.008333333
ME5A-35MC-5,MARGO_2950,0,,4.1198,-85.005,3404,49,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.0125
ME5A-38MC-5,MARGO_2951,0,,7.3167,-84.113,1003,49,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.120370372
MEN-11G,MARGO_2953,0,,41.5,-126.533,2950,49,,Coulbourn et al.,Mar Micropaleontol,1980,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.01010101
MEN-12G,MARGO_2954,0,,40.6,-127.417,3260,49,,Coulbourn et al.,Mar Micropaleontol,1980,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0
MEN-8G,MARGO_2955,0,,40.55,-126.517,3140,49,,Coulbourn et al.,Mar Micropaleontol,1980,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0
MPC-0-2,MARGO_2985,0,,4.617,-140,4478,49,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.03125
MPC-11-1,MARGO_2986,0,,4.65,-140.05,4490,49,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.05769231
MSN-100G,MARGO_2989,0,,-51.1,179.817,4835,257,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.00990099
MSN-103P,MARGO_2990,0,,-46.2,173.15,1674,81,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.00990099
MSN-109P,MARGO_2991,0,,-46.5,-176.767,4637,81,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.00990099
MSN-10G,MARGO_2992,0,,7.6,-168.1,4994,49,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.04901961
MSN-14,MARGO_2993,0,,1.333,-176.033,5290,49,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0
MT1-NRSH,MARGO_3008,0,,52.533,-142.1,3806,49,,Coulbourn et al.,Mar Micropaleontol,1980,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0
MUK-19BP,MARGO_3009,0,,-63.217,147.75,238,257,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0
MUK-20BP,MARGO_3010,0,,-36.033,176,238,81,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.030927834
NEL-394D,MARGO_3014,0,,-39.767,167.75,1149,81,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.29
NZO-A106,MARGO_3026,0,,23.85,-112.82,3213,49,,Coulbourn et al.,Mar Micropaleontol,1980,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.265306123
NZO-A181,MARGO_3027,0,,4.467,-81.6,3383,49,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.070707071
ODP SITE 883D,MARGO_3029,0,Piston,51.199,167.768,2385,49,0.025,Kiefer et al.,Paleoceanography,2001,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0
OR102-3,MARGO_3032,0,Piston,22.31666667,121.2833333,1309,49,,"Huang, C. K., MS Thesis",National Taiwan Ocean University Taipei,1990,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.408040199
OR102-6,MARGO_3033,0,Piston,22.28333333,121.4833333,495,49,,"Huang, C. K., MS Thesis",National Taiwan Ocean University Taipei,1990,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.56910569
OR102-7,MARGO_3034,0,Piston,21.83333333,121.2666667,815,49,,"Huang, C. K., MS Thesis",National Taiwan Ocean University Taipei,1990,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.433299899
OR151-1B,MARGO_3035,0,Box,22.35,120.9333333,118,49,,"Huang, C. K., MS Thesis",National Taiwan Ocean University Taipei,1990,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.473
OR151-2B,MARGO_3036,0,Box,22.13333333,120.9166667,160,49,,"Huang, C. K., MS Thesis",National Taiwan Ocean University Taipei,1990,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.471230159
OR151-6,MARGO_3037,0,Box,22.75,121.5,1046,49,,"Huang, C. K., MS Thesis",National Taiwan Ocean University Taipei,1990,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.456521738
OR170-2,MARGO_3038,0,Piston,22.11666667,121,1260,49,,"Huang, C. K., MS Thesis",National Taiwan Ocean University Taipei,1990,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.451932608
OR170-20,MARGO_3039,0,Piston,21.91666667,121.55,1200,49,,"Huang, C. K., MS Thesis",National Taiwan Ocean University Taipei,1990,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.494011977
OR170-6,MARGO_3040,0,Piston,22.08333333,121.15,1290,49,,"Huang, C. K., MS Thesis",National Taiwan Ocean University Taipei,1990,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.448491155
OR170-7,MARGO_3041,0,Piston,22.1,121.25,1500,49,,"Huang, C. K., MS Thesis",National Taiwan Ocean University Taipei,1990,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.607607607
OR182-1B,MARGO_3042,0,Box,22.31666667,120.95,315,49,,"Huang, C. K., MS Thesis",National Taiwan Ocean University Taipei,1990,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.430107527
OR182-3B,MARGO_3043,0,Box,21.98333333,120.9166667,373,49,,"Huang, C. K., MS Thesis",National Taiwan Ocean University Taipei,1990,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.382062781
OR215-4B,MARGO_3044,0,Box,22.98333333,121.4833333,2047,49,,"Huang, C. K., MS Thesis",National Taiwan Ocean University Taipei,1990,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.311688312
OR216-13B,MARGO_3045,0,Box,22.21666667,121.5,900,49,,"Huang, C. K., MS Thesis",National Taiwan Ocean University Taipei,1990,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.538
OR216-14B,MARGO_3046,0,Box,22.33333333,121.2,885,49,,"Huang, C. K., MS Thesis",National Taiwan Ocean University Taipei,1990,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.462760674
OR216-17B,MARGO_3047,0,Box,22.71666667,121.5,757,49,,"Huang, C. K., MS Thesis",National Taiwan Ocean University Taipei,1990,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.558441559
OR216-1B,MARGO_3048,0,Box,21.83333333,121.0333333,1310,49,,"Huang, C. K., MS Thesis",National Taiwan Ocean University Taipei,1990,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.412175649
OR216-2B,MARGO_3049,0,Box,21.83333333,121.1833333,1101,49,,"Huang, C. K., MS Thesis",National Taiwan Ocean University Taipei,1990,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.379759519
OR216-3B,MARGO_3050,0,Box,21.83333333,121.35,2850,49,,"Huang, C. K., MS Thesis",National Taiwan Ocean University Taipei,1990,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.464464464
OR219-10B,MARGO_3051,0,Box,22.28333333,121.5,370,49,,"Huang, C. K., MS Thesis",National Taiwan Ocean University Taipei,1990,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.406488549
OR219-12B,MARGO_3052,0,Box,22.35,121.1333333,1128,49,,"Huang, C. K., MS Thesis",National Taiwan Ocean University Taipei,1990,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.426426426
OR219-1B,MARGO_3053,0,Box,22.83333333,121.2833333,815,49,,"Huang, C. K., MS Thesis",National Taiwan Ocean University Taipei,1990,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.390670554
OR219-2B,MARGO_3054,0,Box,22.83333333,121.3166667,715,49,,"Huang, C. K., MS Thesis",National Taiwan Ocean University Taipei,1990,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.445720252
OR219-4B,MARGO_3055,0,Box,22.91666667,121.5166667,1795,49,,"Huang, C. K., MS Thesis",National Taiwan Ocean University Taipei,1990,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.492492492
OR219-5B,MARGO_3056,0,Box,22.8,121.6666667,2900,49,,"Huang, C. K., MS Thesis",National Taiwan Ocean University Taipei,1990,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.399181165
OR219-6B,MARGO_3057,0,Box,23.01666667,121.3833333,141,49,,"Huang, C. K., MS Thesis",National Taiwan Ocean University Taipei,1990,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.426147705
OR219-7B,MARGO_3058,0,Box,23,121.5666667,2147,49,,"Huang, C. K., MS Thesis",National Taiwan Ocean University Taipei,1990,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.456953643
PAP-127V,MARGO_3059,0,,3.617,-179.3,4972,49,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0
PAP-14,MARGO_3060,0,,6.133,136.183,4600,49,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.050505051
PLDS2-17,MARGO_3061,1,,0.598,-86.145,2686,49,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.132625995
PN-3,MARGO_3062,0,Multi,28.01,127.33,999,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.402826856
PRO-122G,MARGO_3064,0,,0,-164.98,3170,49,,Coulbourn et al.,Mar Micropaleontol,1980,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.587628865
PRO-149G,MARGO_3065,0,,11.517,-172.817,4837,49,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.04040404
PRO-151G,MARGO_3066,0,,-4.85,174.017,4895,81,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.04
PRO-83PG,MARGO_3068,0,,0.033,168.283,4238,49,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.077669904
PRO-84PG,MARGO_3069,0,,1.02,168.1,4251,49,,Coulbourn et al.,Mar Micropaleontol,1980,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.07070707
PRO-86PG,MARGO_3070,0,,5.017,166.4,4800,49,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.01010101
PRO-87P,MARGO_3071,1,Gravity,-3.42,-102.77,3176,81,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,96,1,Yes,Yes,0.101616628
PRO-87PG,MARGO_3072,0,,11.917,111.383,3100,49,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.115894038
PRO-88PG,MARGO_3073,0,,20.5,119.5,3350,49,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.077586208
PRO-89,MARGO_3074,0,,18.5,115.5,3810,49,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.069518717
RC10176,MARGO_3094,0,,34.783,160.667,4226,49,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.009478673
RC12139,MARGO_3095,1,Piston,-56.833,-66.933,1866,257,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,84,1,Yes,Yes,0.005813954
RC13275,MARGO_3096,0,,28.65,130.933,3072,49,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.407407409
RC17176,MARGO_3097,0,,-1.42,-86.85,2180,81,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.068403905
RC17177,MARGO_3098,0,,1.27,-85.17,2937,49,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.050808314
RC17178,MARGO_3099,0,,0.82,-82.15,3091,49,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.136054423
RC8-102,MARGO_3107,0,,3.87,-83.93,2243,49,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.450574713
RC9C97,MARGO_3108,0,,1.82,-91.25,2082,49,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.126410834
RC10-52,MARGO_3123,0,,3.33,-101.72,3120,49,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.209386282
RC11-128,MARGO_3141,0,,-33.8,112.983,3157,129,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.24
RC11-146,MARGO_3147,0,,-1.52,-85.82,2573,81,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.101214573
RC11-78,MARGO_3162,0,,14.83,-93.95,412,49,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.215799614
RC11-79,MARGO_3163,0,,21.02,-115,2626,49,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.299738221
RC12-110,MARGO_3168,0,,-26,154.54,1942,81,0,Thiede et al.,Palaeogeogr Palaeoclimatol Palaeoecol,1997,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.551165148
RC12-347,MARGO_3183,0,,0.1,-95.65,3231,49,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.057692309
RC12-350,MARGO_3184,0,Piston,6.55,111.22,1950,49,,Ye and Wang (Eds.),Contributions to late quaternary paleoceanography of the south China sea,1992,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.503623188
RC13-108,MARGO_3193,1,Piston,-1.63,-104.83,3621,81,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,96,1,Yes,Yes,0.073684212
