Sample,Sample_ID,Flag,Device,Latitude,Longitude,Water_depth,Ocean,Sample_depth_top,Author,Journal,Year,Resource_doi,Database,Type,Symbiosis,Spinose,Prop
RC13-110,MARGO_3194,0,,10.05,-107,3275,49,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.031830239
RC13-113,MARGO_3196,0,,4.98,-94.47,3436,49,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.026217228
RC13-115,MARGO_3197,0,,1.82,-94.13,2655,49,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.127622377
RC13-122,MARGO_3198,0,,-2.87,-87.75,2246,81,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.196666666
RC13-45,MARGO_3204,0,,-8.33,-167,3948,81,0,Thiede et al.,Palaeogeogr Palaeoclimatol Palaeoecol,1997,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.677777777
RC14-85,MARGO_3212,0,Piston,15.42,113.82,2470,49,,Ye and Wang (Eds.),Contributions to late quaternary paleoceanography of the south China sea,1992,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.628352492
RC17-144,MARGO_3218,0,,-2.42,-85.98,3203,81,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.007246376
RIS-101,MARGO_3242,0,,1.433,-130.567,4570,49,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.010526316
RIS-104,MARGO_3243,0,,5.633,-133.433,4410,49,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.030927835
RIS-105,MARGO_3244,0,,27.88,-132.62,3700,49,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.292452828
RIS-106,MARGO_3245,0,,5.333,-117.917,4330,49,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.01010101
RIS-108,MARGO_3246,0,,4.733,-111.533,4110,49,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.03125
RIS-32,MARGO_3248,0,,4.73,-115.53,4110,49,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.014880952
RIS-33,MARGO_3249,0,,5.53,-103.15,3330,49,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.15076923
RIS21G,MARGO_3253,0,,-3.867,-84.483,3395,81,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.052083333
RN88-OK10,MARGO_3271,0,Grab,24.62,125.62,694,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.529197081
RN88-OK13,MARGO_3272,0,Grab,25.15,125.22,1254,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.536764705
RN88-OK5,MARGO_3273,0,Grab,24.75,123.97,1680,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.264925373
RN88-OK7,MARGO_3274,0,Grab,24.07,126.23,2052,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.504297995
RN88-OK8,MARGO_3275,0,Grab,24.32,125.93,1443,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.551928783
RN88-PC1,MARGO_3276,0,Trigger,23.98,126.35,3211,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.421768708
RN88-PC2,MARGO_3277,0,Trigger,24.03,126.28,2235,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.556574924
RN88-PC3,MARGO_3278,0,Trigger,24.12,126.18,1850,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.608832808
RN88-PC4,MARGO_3279,0,Trigger,24.43,125.78,1576,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.567251462
RN88-PC5,MARGO_3280,0,Trigger,25.25,125.15,2060,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.514851484
RN89-PC2,MARGO_3281,0,Trigger,25.17,127.65,3363,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.284615386
RN89-PC3,MARGO_3282,0,Trigger,25.25,127.58,2475,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.540453075
RN89-PC4,MARGO_3283,0,Trigger,25.33,127.47,2255,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.556291391
RN90-PC2,MARGO_3284,0,Trigger,27.03,129.45,2940,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.487730062
RN90-PC3,MARGO_3285,0,Trigger,27.15,129.37,2064,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.672240802
RN92-PC1,MARGO_3286,0,Trigger,27.38,129.68,2600,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.527687297
RN92-PC2,MARGO_3287,0,Trigger,28.4,130,3110,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.382059799
RN92-PC3,MARGO_3288,0,Trigger,28.87,130.67,2510,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.321192054
RN92-PC4,MARGO_3289,0,Trigger,31.67,128.72,710,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.285714286
RN92-PI4,MARGO_3290,0,Trigger,28.7,131,3200,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.220216606
RN93-PC1,MARGO_3291,0,Trigger,28.57,127.2,1022,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.266187051
RN93-PC11,MARGO_3292,0,Trigger,23.82,124.45,2540,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.591731266
RN93-PC12,MARGO_3293,0,Trigger,24.02,124.42,960,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.555263159
RN93-PC2,MARGO_3294,0,Trigger,28.52,127.28,1086,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.319354838
RN93-PC3,MARGO_3295,0,Trigger,27.68,126.2,1292,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.266211605
RN93-PC4,MARGO_3296,0,Trigger,26.55,125.67,1440,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.269784172
RN93-PC5,MARGO_3297,0,Trigger,26.15,124.83,1464,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.26551724
RN93-PC8,MARGO_3298,0,Trigger,24.55,123.73,1561,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.747933884
RN93-PC9,MARGO_3299,0,Trigger,24.92,124.32,1965,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.368821292
RN94-PC3,MARGO_3300,0,Trigger,30.92,131.85,1536,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.292181069
