Event,Latitude,Longitude,Elevation [m],Depth [m],G. bulloides [%],G. falconensis [%],G. aequilateralis [%],G. calida [%],G. digitata [%],G. bradyi [%],G. glutinata [%],G. conglobatus [%],G. ruber p [%],G. ruber w [%],G. sacculifer wo sac [%],G. sacculifer sac [%],G. truncatulinoides d [%],G. truncatulinoides s [%],G. inflata [%],G. rubescens [%],G. tenella [%],N. dutertrei [%],N. pachyderma d [%],N. pachyderma s [%],O. universa [%],G. quinqueloba [%],P. obliquiloculata [%],G. menardii [%]
GIK16419-1,9.8917,-16.74,-312,0,11.8,0,3.7,0.2,0.4,0,3.6,0,0.1,39.9,16.9,0,0.2,0,1.4,0,0.8,9.6,2.8,0,0.7,0,0.3,4.9
GIK16421-1,9.9217,-17.8683,-1556,0,4,0,2.8,0.7,0,0,2.6,0,0,28.1,22.9,0.1,0.3,0,1.3,0,0,9.8,3.8,0,2.6,0,0.2,15.5
GIK16430-2,5.617,-19.983,-2811,0,1.4,0,3.1,0,0.3,0,2.4,0.7,0,30.8,40,0.1,0.1,0,0.4,0.2,0.8,9.5,1.1,0,2,0,1.1,4.7
GIK16437-3,16.562,-17.555,-2766,0,17.3,0,0.7,0,1.7,0,2.9,0,0,4.8,2.8,0,0,0,26,0,0.9,15.8,11.9,0,1.3,0,0.6,11.9
GIK16453-2,4.7333,-20.9417,-2675,0,1.8,0.1,4.3,0.2,0.6,0,6.1,1.6,3.9,30.3,22.4,9.9,0.2,0.6,0.2,0.5,0.8,4.8,0,0,2.1,0,0.9,5.2
GIK16457-1,5.3917,-21.72,-3291,0,2.6,0.1,4.4,0.8,0.3,0,8.2,0.4,2.3,32.6,20.6,13.7,0.1,0.3,0.2,0.6,0.7,3.7,0,0,2.3,0,0.4,3.3
GIK16458-2,5.335,-22.055,-3518,0,2.1,0,4.5,0.3,0.7,0,10.9,1.6,2,33.4,20.1,8.7,0,0.2,0.1,0.1,0.8,4.3,0,0,2.1,0,0.5,4.5
GIK16756-1,9.0783,-17,-1495,0,2.3,0,5.3,0,0,0,2.4,0,6.8,31.3,12.9,5.8,0.2,0.3,2.2,0.3,1.1,14.1,4.9,0,1.7,0,0.2,5.6
GIK16757-1,8.9833,-16.9467,-2358,0,6.3,0,2.6,0,0.3,0,2.9,1.5,1.3,20.9,19.6,4.6,0,0.1,1.3,0.5,0,14.5,5.6,0,2,0,0.4,10.1
GIK16771-1,0.8133,-15.5117,-2779,0,3.9,1.5,4.4,0,0,0,8.9,0.2,6.2,26.1,11.8,7.1,0,0.3,1,0,0.2,6.4,1.3,0,1.9,0,5.1,10.8
GIK16772-1,-1.34,-11.9733,-3911,0,6,0.6,4.8,0,0.3,0,12.1,0.1,4.4,33.3,9.1,7,0,0.2,0.7,0.1,0,3.2,0.5,0,2.5,0,5.2,7.8
GIK16775-2,0.9867,-11.1533,-3730,0,5.7,0.1,4.8,0,0.1,0,11.8,0.2,6.2,23.8,9.7,7.1,0.1,0.3,2.5,1.1,0.9,8.7,2.6,0.2,1.7,0,2.9,7.8
GIK16777-1,3.9283,-10.62,-3282,0,2.7,0,2.7,0,0.3,0,2.4,2.1,3.6,24,23.1,7,0,0,3.8,0,0,10.9,0,0,0.6,0,2.2,13.1
GIK16779-1,4.21,-9.6367,-2002,0,1.8,0,1.4,0,0,0,4.6,1.8,4.2,31,28.5,4.6,0,0,3,0,0,8.7,0,0,1.1,0,2.1,6.4
GIK16780-1,4.2983,-9.4983,-1483,0,2.6,0,4.4,0.4,0.4,0,6.2,3,9,32.3,22.5,5.7,0,0,4,0,0,4.2,0,0,0.9,0,0.8,2.3
