Event,Latitude,Longitude,Elevation [m],Depth [m],G. bulloides [%],G. falconensis [%],G. aequilateralis [%],G. calida [%],G. digitata [%],G. bradyi [%],G. glutinata [%],G. conglobatus [%],G. ruber p [%],G. ruber w [%],G. sacculifer wo sac [%],G. sacculifer sac [%],G. truncatulinoides d [%],G. truncatulinoides s [%],G. inflata [%],G. rubescens [%],G. tenella [%],N. dutertrei [%],N. pachyderma d [%],N. pachyderma s [%],O. universa [%],G. quinqueloba [%],P. obliquiloculata [%],G. menardii [%]
GeoB1521-2,4.3117,-41.8283,-3725,0,1.6,0,6.8,2.1,0.4,0,9.8,0.4,3.1,34.9,17.5,8.1,0.7,0.2,0,2.3,0.2,3.1,0,0,1.1,0,1.7,4.9
GeoB1522-1,4.025,-41.6833,-3478,0,0.9,0,5.2,0.9,1,0,6.6,0.5,1.9,39.6,21.1,10.1,0.2,0,0,0.3,0.7,0.7,0,0,1.4,0,0.9,6.2
GeoB1523-2,3.815,-41.6217,-3291,0,1,0,6.1,1,0.3,0,6.8,0.4,3.5,36.4,20.8,7.1,0.2,0,0,1.2,0.3,1.7,0,0,1.1,0,0.9,9.4
GeoB1702-6,-6.5667,10.3167,-3088,0,10.2,4.5,4.4,3.8,0.9,0,6.3,1.2,0.8,33.6,7.2,1.3,1.6,2.8,4,0.6,3.1,2.2,2.1,0,0.9,0,3,0
GeoB1704-1,-19.4067,11.6117,-399,0,28.4,0,0,0,0,0,5.5,0,0.3,1.3,0,0,0.5,0,14,0,0,36.3,9.8,2.5,0.9,0,0,0
GeoB1710-2,-23.43,11.7033,-2987,0,13.1,0,0.1,0,0,0,5.1,0,0,0.1,0,0.9,0,0.3,7,0,0,49.1,17.1,0.9,5.7,0,0,0.5
GeoB1711-5,-23.3167,12.3783,-1964,0,16.7,0,0,0,0.4,0,1.8,0,0,0,0.2,0,0,0,5.9,0,0,41.8,11.9,0.2,19.6,0,0,0.1
GeoB1712-2,-23.255,12.8033,-1007,0,23.5,0,0,0,0,0,3,0,0,0,0,0,0.2,0.5,16.3,0,0,39.3,6.7,1.5,8.9,0,0,0
GeoB1713-6,-23.22,13.015,-597,0,25.7,0,0.1,0,0,0,3.7,0,0,0.8,0.7,0,0.1,0.1,6.3,0,0,46.5,12.4,0.8,1.9,0,0,0
GeoB1720-4,-29,13.8283,-2011,0,21.54,0,0.99,0.02,0,0,1.74,0,0,0.97,0.19,0,0.17,1.36,30.97,0,0,0.87,34.31,2.52,1.02,0.78,0,0.02
GeoB1721-4,-29.175,13.0883,-3079,0,19.08,0,0.49,0,0,0,6.09,0,0,3.14,0.38,0,0.14,2.78,30.78,0,0.76,1.44,26.83,2.66,0.2,0,0,0.01
GeoB1722-3,-29.4483,11.75,-3971,0,9.5,0.9,1.6,0,0.9,0,2.3,0,0,4.7,1.3,0,0.6,4.7,38.8,0,0,9.5,16.8,0.6,1,0.3,0,0
GeoB1725-1,-30.1733,3.0833,-972,0,5.5,1.8,1.5,0,0.4,0,0.1,0.8,0,7.5,1.1,0.7,3.8,16,39.2,0,0,2,5.7,0.3,2.6,0,0,0.5
GeoB1728-3,-29.8383,2.4067,-2887,0,22.36,0,2.82,0,0.65,0,5.55,0,0,11.34,1.59,0.45,4,2.12,21.13,1.96,0.65,0,9.59,2.61,1.06,0,0,1.1
GeoB2004-1,-30.8683,14.3467,-2571,0,23.91,0,0.47,0,0,0,4.33,0,0,1.71,0.25,0.06,0.06,1.01,33.19,0,1.31,0.81,24.57,4.03,0.16,1.21,0,0.01
GeoB2016-3,-31.905,-1.3033,-3387,0,24.78,0.46,3.1,0,0.12,0,2.08,0.14,0,8.34,2.11,0.12,6.34,4.52,27.62,1.16,0,0.35,5.67,0.93,0.84,0,0,0.92
GeoB2019-2,-36.0533,-8.7667,-3836,0,43.46,0.72,0.12,0,0.95,0,0.72,0.03,0,1.55,0,0,0.4,5.86,27.12,0,0,0,9.06,2.62,0.15,0.95,0,0
GeoB2021-4,-36.835,-14.405,-3576,0,38.78,1.11,0.4,0,0,0,1.27,0.01,0,1.86,0,0,0.48,6.31,25.9,0.74,0,0,14.96,0.74,0.53,0.25,0,0
M30_183,7.55,-14.6,-3815,0,4.7,0,3.1,1.4,0.2,0,8.7,0.2,9.4,19.2,23,7.5,0,0,1.2,2.8,0.9,5.6,0,0,3.1,0,0.2,7.1
M30_208,6.933,-12.25,-1030,0,9.4,0,4.3,0.3,0,0,8.6,0.3,14.5,23.1,15.6,0.6,0,0,3.8,1.3,1.3,6.4,0,0,2.4,0,0.3,3.2
M30_230,6.9,-12.4328,-2487,0,3.5,0,3.5,1,0.6,0,8,0,20.5,17.3,18.9,3.5,0,0,1.3,1.9,1.6,6.7,0,0,1.9,0,0,6.4
MIKR01,17.5498,-22.6,-3350,0,5.6,0,3,0,0.3,0,3,0,8.3,24.7,13.5,3,0,0.7,4.3,3.6,1.3,2.3,0,0,4.3,0,0,14.6
MIKR02,18.3998,-24.5698,-3794,0,3.1,0.5,1.8,0,0.5,0,5.2,0.5,5.7,25.5,14.8,4.7,1,0.5,5.2,2.3,0.3,1.6,0,0,2.9,0,0.8,14.1
MIKS05,18.7198,-25.35,-3830,0,4.3,0.9,3.1,0,0.3,0,4.9,0.6,3.7,23.8,8.9,3.1,2.8,1.2,8.6,4.3,0,1.5,0,0,5.9,0.3,0.9,10.1
O3KL16,18.2198,-21.0798,-3037,0,10.9,0,1.2,0,0,0,2.8,0,7.2,12.8,9.4,2.2,0.9,0.3,15.6,5.9,0,0.3,0,0,0.3,0,0.3,11.5
O3KL17,16.02,-20.6298,-3871,0,7.3,0,0.9,0,0,0,5.6,0.6,0.6,22.2,6.1,1.5,0.6,0.3,14,1.5,0,3.5,0,0,1.7,0,0.9,20.7
PS1654-1,-50.158,5.7225,-3763,0,6.35,0,0,0,0,0,0.53,0,0,0,0,0,0,0.03,7.36,0,0,0,0,85.42,0,0,0,0
PS1754-2,-46.7701,7.6118,-2534,0,34.98,0,0,0.08,0.01,0,3.56,0,0,0,0,0,0.06,2.01,19.81,0,0,0,5.57,28.94,0,2.67,0,0
PS1756-6,-48.8997,6.7148,-3832,0,6.65,0,0,0,0,0,0,0,0,0,0,0,0,0.02,13.59,0,0,0,0.22,78.8,0,0,0,0
PS1759-1,-50.1533,5.7553,-3793,0,3.85,0,0,0,0,0,0,0,0,0.6,0,0,0,0,10.32,0,0,0,0,84.82,0,0.2,0,0
PS1775-5,-50.9515,-7.5055,-2523,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,99.55,0,0,0,0
PS1776-6,-49.7428,-8.7608,-3155,0,4.1,0,0,0,0,0,0.51,0,0,0,0,0,0,0,2.05,0,0,0,3.08,89.23,0,0.51,0,0
PS1777-7,-48.2323,-11.0395,-2575,0,11.6,0,0,0,0.39,0,2.14,0,0,0,0,0,0,0.03,7.6,0,0.1,0.24,4.09,68.24,0,3.89,0,0
PS1778-1,-49.0128,-12.697,-3384,0,20.14,0,0.03,0,0,0,0,0,0,0,0,0,0,0.54,15.87,0,0,0,0.56,60.34,0,0,0,0
PS1779-3,-50.3992,-14.0803,-3574,0,6.81,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,0.83,84.5,0,0.82,0,0
PS2075-3,-40.8078,13.7378,-3129,0,27.22,0.28,0.5,0.11,0,0,0.9,0.01,0,0.5,0.5,0.09,0.23,6.15,36.81,0,0,1.12,18.36,1.39,0.93,0.56,0.08,0.5
PS2076-1,-41.1353,13.4812,-2086,0,31.4,0,0.44,0.07,0,0,2.71,0,0,0.56,0.16,0.08,0.16,4.83,27.58,0.16,0,0.32,17.29,5.42,0.33,4.14,0.08,0
PS2083-1,-46.3707,7.037,-1955,0,34.71,0,0.11,0.04,0,0,3.23,0,0,0,0,0,0,1.02,12.15,0,0,0.22,3.87,37.23,0,5.6,0,0
PS2084-2,-47.0227,7.9662,-1664,0,22.83,0,0,0.03,0,0,5.75,0,0,0,0,0,0.01,0.58,9.52,0,0,0,6.61,45.98,0,7.32,0,0
PS2085-1,-47.7505,7.9973,-2982,0,23.72,0,0,0,0,0,4.07,0,0,0,0,0,0,0.81,6.75,0,0,0,3.67,55.38,0,3.67,0,0
PS2086-3,-48.3182,7.7572,-649,0,10.93,0,0.02,0.01,0,0,3.44,0,0,0,0,0,0,0.05,7.66,0,0,0,10.6,64.56,0,2.6,0,0
PS2087-1,-49.1343,6.7063,-3451,0,7.57,0,0,0,0,0,0.75,0,0,0,0,0,0,0.01,6.24,0,0,0,3.33,81.68,0,0,0,0
PS2102-2,-53.073,-4.9857,-2390,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,98.6,0,0,0,0
PS2103-2,-51.3292,-3.3243,-2947,0,1.43,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0.61,0,0,0,2.76,93.9,0,1.09,0,0
PS2104-1,-50.7418,-3.2117,-2592,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,97.75,0,0.95,0,0
PS2105-2,-48.6957,-2.85,-3618,0,7.72,0,0,0.03,0,0,0.96,0,0,0,0,0,0,0.36,13.22,0,0,0,1.97,74.12,0,0.96,0,0
PS2106-1,-41.853,0.0938,-912,0,50.86,0,0,0.37,0,0,0.64,0,0,0.21,0,0,0,4.01,17.32,0,0,0,9.17,7.68,0.75,3.41,0,0
PS2230-1,-34.7532,17.3646,-2578,0,7.65,0,2.69,0,0,0,1.72,0.03,0,2.21,2.06,0.08,0.26,0.9,55.21,0.86,0,3.6,13.14,1.72,0.24,0.86,0.78,0.08
PS2241-1,-47.4023,0.2896,-3759,0,22.5,0,0,0,0,0,0.22,0,0,0,0,0,0,0.44,25.67,0,0,0,0.88,46.14,0,0,0,0
PS2242-1,-49.9993,0.0593,-3547,0,5.82,0,0,0,0,0,0,0,0,0,0,0,0,0.06,5.72,0,0,0,2.45,85.39,0,0,0,0
PS2343-1,-55.165,-58.0917,-3281,0,20.23,0,0,0,0,0.81,5.2,0,0,0,0,0,0,0.84,4.08,0,0,0,17.77,45.62,0.01,3.34,0,0
PS2351-1,-53.765,-58.8867,-575,0,30.7,0,0,0,0,0,3.07,0,0,0,0,0,0,1.54,5.47,0,0,0,4.32,52.84,0,1.54,0,0
PS2352-1,-53.7367,-58.9033,-1033,0,16.45,0,0,0,0,2.09,0.44,0,0,0,0,0,0.7,1.52,6.48,0,0,0,8.55,57.41,0,5.67,0,0
PS2353-2,-53.6067,-58.9767,-1916,0,31.97,0,0,0,0,0,3.85,0,0,0,0,0,0,1.44,11.68,0,0,0,5,43.65,0,1.15,0,0
PS2354-1,-53.33,-59.0967,-1066,0,37.7,0,0,0,0,0,1.81,0,0,0,0,0,0,0.9,16.81,0,0,0,6.69,30.18,0,2.17,0,0
PS2366-1,-51.0098,-5.9564,-2114,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63,94.4,0,2.98,0,0
PS2367-1,-49.1288,-6.0043,-3525,0,2.96,0,0,0,0,0,0.9,0,0,0,0,0,0,0,3.63,0,0,0,1.92,90.56,0,0,0,0
PS2368-1,-46.8731,-5.7178,-3615,0,8.24,0,0,0,0.04,0,0,0,0,0,0,0,0,0.12,10.79,0,0,0,0.6,78.77,0,0.6,0,0
PS2372-1,-53.996,-6.0025,-2415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,99.48,0,0,0,0
PS2376-1,-48.5667,-6,-3657,0,3.22,0,0,0,0,0,1.9,0,0,0,0,0,0,0,4.69,0,0,0,0.03,88.77,0,0,0,0
PS2487-2,-35.8217,18.1017,-2942,0,16.28,0,1.36,0,0.6,0,6.21,0.13,0,4.32,1.91,0.37,0.18,2.9,37.08,0.48,0,7.54,13.02,0.24,1.72,0.48,0.12,0.15
PS2489-4,-42.8833,8.9683,-3795,0,43.74,0.33,0.17,0.08,0,0,4.51,0,0,0.17,0,0,0,5.55,14.9,0,0,0.17,12.35,9.85,0.08,7.85,0,0
PS2494-1,-41.69,-12.34,-3324,0,41.62,0.16,0,0,0.16,0,1.81,0,0,0.33,0,0,0.08,8.09,27.95,0,0,0,8.54,5.26,0.59,3.61,0,0
PS2495-1,-41.2883,-14.5,-3135,0,38.85,0,0.08,0,0.17,0,3.39,0,0,0.18,0,0,0.35,7.85,27,0.34,0.34,0,12.22,3.9,0.54,2.72,0,0
PS2496-2,-42.9867,-14.635,-3518,0,43.12,0,0,0,0,0,2.51,0,0,0,0,0,0,6.49,17.23,0,0,0,13.44,12.99,0,3.19,0,0
PS2498-2,-44.1533,-14.2283,-3782,0,40.24,0,0,0.08,0,0,4.74,0,0,0,0,0,0,3.75,17.21,0,0,0,8.57,20.2,0,4.9,0,0
PS2499-1,-46.5117,-15.3333,-3176,0,37.63,0,0,0,0,0,3.19,0,0,0,0,0,0,3.28,15.77,0,0,0,6.21,28.99,0,4.46,0,0
PS2500-1,-47.6167,-15.4167,-3539,0,37.17,0,0,0,0,0,3.37,0,0,0,0,0,0,3.61,16.18,0,0,0,3.85,33.72,0,1.93,0,0
PS2505-1,-51.1867,-25.47,-1864,0,7.49,0,0,0,0,0,0.58,0,0,0,0,0,0,0.33,4.73,0,0,0,2.32,83.92,0,0.58,0,0
PS2507-1,-51.3733,-26.2,-3275,0,9.13,0,0,0,0,0,0,0,0,0,0,0,0,0.54,14.42,0,0,0,1.72,73.73,0,0,0,0
PS2508-1,-51.6683,-26.5333,-3394,0,3.73,0,0,0,0,0,0.06,0,0,0,0,0,0,0.18,8.8,0,0,0,0.95,83.54,0,2.15,0,0
PS2518-2,-53.2517,-51.455,-2362,0,15.84,0,0,0,0.05,0,3.17,0,0,0,0,0,0.01,1.93,10.93,0,0,0,10.05,54.41,0,3.27,0,0
PS2520-1,-53.14,-61.58,-492,0,32.35,0,0,0,0,0,0.59,0,0,0,0,0,0,0.64,3.66,0,0,0,16.05,43.59,0,3.13,0,0
PS2557-2,-36.955,21.7833,-3371,0,30.8,0.89,1.2,0,0,0,15.89,0.17,0,11.25,1.45,0.23,0,0.89,6.73,3.55,1.78,4.92,7.58,8,0.13,0,0.42,0.19
PS2560-4,-40.6183,25.615,-2636,0,24.36,0,0.33,0,0.08,0,2.8,0.01,0,0.66,0.38,0.01,0.04,7.63,40.18,0.15,0,0.6,18.18,1.03,0.36,0.88,0,0.09
RC08-18,-24.07,-15.12,-3977,0,1.28,3.48,6.41,1.47,2.01,0,12.27,0.73,1.47,38.83,3.66,1.47,4.03,1.28,4.58,2.01,4.4,0.18,0,0,2.56,0.18,0,2.93
RC08-22,-24.97,-13.27,-2591,0,0,2.58,4.94,1.93,0.86,0,9.87,1.07,2.15,36.48,3,1.72,6.87,2.79,6.87,1.93,3.43,0,0.21,0,2.15,0,0,2.36
RC08-23,-25.15,-12.77,-3338,0,2.1,3.26,6.06,1.4,1.63,0,9.56,0.93,2.8,34.27,2.56,1.4,2.8,2.56,9.79,3.96,5.36,0,0,0,0.93,0,0,1.63
RC08-27,-26.23,-10.62,-3678,0,0,2.99,5.39,1.5,2.4,0,7.19,1.2,0.6,30.84,2.99,1.2,9.58,1.5,15.27,2.1,2.69,0.3,0,0,2.1,0,0,1.2
RC11-10,4.967,-45.97,-3834,0,0.5,0,3.3,1,0.3,0,3.5,0.5,9.9,47.3,22.5,3.3,0.3,0,0,0,0,0.3,0,0,0.5,0,1.5,4.3
RC11-11,2.217,-45.4,-3759,0,0,0.5,5.4,1.4,0,0,4.9,0.5,2.2,45,14.3,5.1,0,0,0,0.8,0.3,1.6,0,0,1.6,0,2.7,13.2
RC11-14,-2.067,-40.05,-1639,0,0,0.5,5.3,0,0.2,0,12.8,0.2,2.1,46.7,11,4.6,0,0,0,3.8,0.2,3.3,0,0,0.3,0,0.3,5.8
RC11-16,-2.767,-35.22,-3835,0,0,0.2,2.8,0.4,0,0,4.9,0.2,1.9,46.7,15.7,10.5,0,0,0,0,0,1.5,0,0,0.2,0,2.2,11
RC11-26,-28.58,-30.07,-2349,0,0.22,4.46,3.35,3.35,0.89,0,7.14,2.01,3.79,43.08,1.79,0.67,5.13,0.67,2.9,1.12,4.46,0.22,0.67,0,0.67,0,0,1.34
RC11-37,-31.98,-35.53,-2578,0,0.94,9.72,3.45,1.88,0.31,0,3.13,3.13,0.63,30.41,2.82,2.82,6.58,0.63,14.42,0.31,3.13,0.31,0.31,0,1.88,0,0,0.63
RC11-78,-50.87,-9.867,-3115,0,0.55,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,1.92,96.15,0,0.55,0,0
RC11-79,-49,-4.6,-3385,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,2.34,94.55,0,0,0,0
RC11-80,-46.75,-0.05,-3656,0,24.33,0.27,0,0,0,0,1.34,0,0,0,0,0,0,2.67,42.51,0,0,0,0.27,25.4,0,0.27,0,0
RC11-86,-35.78,18.45,-2829,0,6.67,9.09,0.61,0.3,0,0,6.36,0.3,0,6.36,1.52,2.12,0,2.12,30.61,0,0,5.15,10,1.52,0,0,0,0.61
RC12-233,-56.83,-66.93,-1866,0,38.33,0.29,0,0,0,0,3.17,0,0,0,0,0,0,4.9,8.07,0,0,0.29,3.17,33.14,0.29,5.76,0,0
RC12-235,-50.43,-54.13,-1525,0,30.28,0.47,0,0,0,0,3.76,0,0,0,0,0,0,2.35,6.34,0,0,0,2.11,49.3,0,3.29,0,0
RC12-266,-39.82,-24.8,-3939,0,11.41,3.16,0,0,0,0,1.21,0,0,1.94,0,0,0,9.22,30.83,0,0,0.24,21.12,0.73,0.73,2.18,0,0
RC12-291,-42.58,-17.8,-3508,0,40.24,1.83,0.3,0,0,0,4.57,0,0,0,0,0,0.3,9.15,14.02,0,0,0,3.35,2.74,0.3,10.37,0,0
RC12-292,-39.68,-15.48,-3541,0,8,13.25,0,0,0,0.25,11.75,0,0,0,0,0,0.25,5.25,41.25,0,0,0,4.5,1,0.5,1.5,0,0
RC12-293,-36.88,-13.15,-3393,0,9.5,31,0.75,0,0,0,4.25,0,0,2.5,0,0,0.75,7.5,29.25,0,0.25,0,2,0,0.5,1.25,0,0
RC12-294,-37.27,-10.1,-3308,0,20.33,18.43,0,0.54,0,0,2.17,0,0,1.08,0,0,0.27,7.86,28.18,0,0,0,5.69,1.36,0.27,1.36,0,0
RC12-297,-36.15,-6.717,-3528,0,28.71,3.16,0,0.24,0,0,0.97,0,0,1.7,0,0,0.49,4.87,30.66,0,0,0,16.79,1.46,0.24,0.49,0,0
RC12-298,-34.95,-4.75,-2213,0,11.85,15.32,0.29,0.58,0,0,1.16,0,0,4.34,0,0,1.45,4.62,26.3,0,0,0,15.61,0.58,0.58,3.47,0,0
