Core,Latitude,Longitude,Productivity_anomlies
GeoB1408-2,-12.8183,-6.1817,-0.5
GeoB1408-2,-12.8183,-6.1817,1
GeoB1415-2,-15.5,-11.58,-1
GeoB1906-4,-18.2,-13.75,-1
GeoB1704-4,-19.4067,11.6117,-1
GeoB1705-1,-19.505,11.3983,-1
GeoB1706-2,-19.5617,11.175,0.5
GeoB1707-1,-19.69,10.6567,0.5
GeoB1028-5,-20.104,9.1858,1
GeoB2125-1,-20.8233,-39.8633,-1
175-1082A,-21.094,11.8206,1
GeoB1035-4,-21.5867,5.0283,-1
GeoB1035-3,-21.5867,5.0283,0.5
GeoB1034-3,-21.735,5.4217,0
GeoB1034-3/1,-21.735,5.4217,-0.5
GeoB1031-4,-21.88,7.1017,0
IOW226920-3,-22.45,12.36,1
GeoB1032-3/2,-22.915,6.0367,-1
GeoB1712-4,-23.26,12.81,1
GeoB1711-4,-23.32,12.38,1
GeoB1710,-23.43166667,-11.69833333,1
GeoB1211-3/1,-24.475,7.5333,-1
GeoB3718-10,-24.895,13.1617,1
GeoB3720-3,-25.0683,12.6667,1
GeoB3722-2,-25.25,12.0217,1
GeoB3606-1,-25.4667,13.0833,1
175-1084A,-25.5139,13.0278,1
RC13-229,-26,11,1
GeoB2109-1,-27.9117,-45.8817,-1
GeoB1719-7,-28.9267,14.1783,-0.5
GeoB1720-2,-28.995,13.835,0.5
GeoB1721-7,-29.1683,13.0817,1
GeoB1722-1,-29.45,11.75,-1
GeoB3603-2,-35.125,17.5433,1
RC12-267,-38.68,25.45,1
RC11-83,-41.6,9.72,1
V34-157,-41.95,26.41,1
V22-109,-41.97,0.25,0.5
TN057-20,-42.1,0.6,-0.5
RC15-94,-42.98,-20.85,1
V22-108,-43.18333333,-3.25,1
PS2082-1/3,-43.22,11.73833333,1
PS2498-1,-44.16666667,-14.23333333,1
RC15-93,-46.1,-13.21666667,1
PS2499-5,-46.51666667,-15.33333333,0.5
PS1754-1/2,-46.77,7.611666667,1
RC13-254,-48.56666667,-5.566666667,1
PS1756-5/6,-48.73166667,6.713333333,0.5
RC11-78,-50.86,-9.86,1
RC13-271,-51.98,4.52,0.5
RC11-77,-53.05,-16.45,1
RC13-259,-53.88333333,-4.933333333,-1
RC11-76,-54.38333333,-22.13333333,-1
AII 107-22,-54.8,-3.333333333,-1
PS1772-8/6,-55.45833333,1.163333333,-1
PS1575-1,-62.83495,-43.33355,-1
PS1821-6,-67.05153333,37.46805,-0.5
PS1506-1,-68.71816667,-5.834966667,-1
PS2038-2,-69.35298333,6.285016667,-1
PS1648-1,-69.734,-6.517466667,-1
PS1375-3,-72.15,-17.1,-1
2594,56.93333333,169.8833333,-1
ODP 887B,54.36516667,-148.4463333,-0.5
MD02-2489,54.39,-148.921,1
PAR87A-10,54.36666667,-148.4666667,1
MD01-2415,53.9515,149.9515,-1
JPC17,53.933,178.6988,-1
Gc-11,53.51666667,178.85,1
LV28-42-4,51.7148,150.9854,-1
XP98-PC-2,51.4,148.3333333,-1
LV28-40-5,51.33408333,147.1768833,-1
XP98-PC-1,51,152,-1
GC-36,50.41666667,167.7333333,1
K-119,50.41666667,167.7333333,-1
V34-98,50.11,153.2,-1
KH99-03 Sta ES,49.745,168.315,-1
PC-13,49.7181,168.3019,0
XP98-PC-4,49.5,146.1166667,-1
MD02-2496,48.97,-127.04,-1
V34-90,48.83333333,150.4666667,-1
MD01-2412,44.51666667,145,-1
W8709A-13PC,42.11683333,-125.75,1
