Latitude,Longitude,Sample depth - upper (m),Symbiosis,Spinose,Prop
52.5033,-22.0623,1.14,Yes,No,0.01
52.5033,-22.0623,1.16,Yes,No,0.003
52.5033,-22.0623,1.18,Yes,No,0.008
52.5033,-22.0623,1.2,Yes,No,0.021
52.425,-16.665,0.95,Yes,No,0.014
50.6876,-21.8635,0.78,Yes,No,0.002
50.6876,-21.8635,0.8,Yes,No,0.007
50.6876,-21.8635,0.82,Yes,No,0.017
50.6876,-21.8635,0.84,Yes,No,0.016
50.6876,-21.8635,0.86,Yes,No,0.002
50.6876,-21.8635,0.88,Yes,No,0.002
50.6876,-21.8635,0.9,Yes,No,0.022
50.6876,-21.8635,0.92,Yes,No,0.007
50.6876,-21.8635,0.94,Yes,No,0.019
50.6876,-21.8635,0.96,Yes,No,0.029
50.3898,-45.26,3,Yes,No,0.005
50.3898,-45.26,3.1,Yes,No,0.023
50.3898,-45.26,3.19,Yes,No,0
50.3898,-45.26,3.36,Yes,No,0
50,-23.75,1,Yes,No,0.003
48.215,-27.0567,0.8,Yes,No,0
48.215,-27.0567,0.85,Yes,No,0
44.36,-26.5433,0.53,Yes,No,0.032
44.36,-26.5433,0.56,Yes,No,0.031
44.36,-26.5433,0.6,Yes,No,0.066
44.36,-26.5433,0.67,Yes,No,0.042
44.017,-24.53,0.87,Yes,No,0.147
44.017,-24.53,1.01,Yes,No,0.146
43.465,-30.66,0.68,Yes,No,0.097
40.5818,-9.8612,3.35,Yes,No,0.198
40.5818,-9.8612,3.38,Yes,No,0.221
40.5818,-9.8612,3.41,Yes,No,0.213
40.5818,-9.8612,3.44,Yes,No,0.287
40.5818,-9.8612,3.47,Yes,No,0.199
40.5818,-9.8612,3.5,Yes,No,0.193
40.5818,-9.8612,3.53,Yes,No,0.222
40.5818,-9.8612,3.56,Yes,No,0.296
40.5818,-9.8612,3.59,Yes,No,0.226
40.5818,-9.8612,3.62,Yes,No,0.246
40.5818,-9.8612,3.65,Yes,No,0.254
40.5818,-9.8612,3.68,Yes,No,0.238
40.5818,-9.8612,3.71,Yes,No,0.23
40.5818,-9.8612,3.74,Yes,No,0.237
40.5818,-9.8612,3.77,Yes,No,0.23
40.5818,-9.8612,3.8,Yes,No,0.21
40.5818,-9.8612,3.83,Yes,No,0.254
40.5818,-9.8612,3.86,Yes,No,0.22
40.5818,-9.8612,3.89,Yes,No,0.215
40.5818,-9.8612,3.92,Yes,No,0.234
40.5818,-9.8612,3.95,Yes,No,0.272
40.5818,-9.8612,3.98,Yes,No,0.232
40.5818,-9.8612,4.01,Yes,No,0.19
40.5818,-9.8612,4.04,Yes,No,0.214
40.5818,-9.8612,4.07,Yes,No,0.204
40.5818,-9.8612,4.1,Yes,No,0.192
40.5818,-9.8612,4.13,Yes,No,0.218
40.5818,-9.8612,4.16,Yes,No,0.182
40.5818,-9.8612,4.19,Yes,No,0.194
40.5818,-9.8612,4.22,Yes,No,0.162
40.5818,-9.8612,4.25,Yes,No,0.21
40.5818,-9.8612,4.28,Yes,No,0.173
40.5818,-9.8612,4.31,Yes,No,0.133
40.5818,-9.8612,4.34,Yes,No,0.283
40.5818,-9.8612,4.37,Yes,No,0.173
40.5818,-9.8612,4.4,Yes,No,0.178
40.5818,-9.8612,4.43,Yes,No,0.218
40.5818,-9.8612,4.46,Yes,No,0.191
40.5818,-9.8612,4.49,Yes,No,0.212
40.5818,-9.8612,4.52,Yes,No,0.144
40.5818,-9.8612,4.55,Yes,No,0.187
40.5818,-9.8612,4.58,Yes,No,0.179
40.5785,-10.3485,3.6,Yes,No,0.222
40.5785,-10.3485,3.7,Yes,No,0.196
40.5785,-10.3485,3.8,Yes,No,0.181
40.5785,-10.3485,3.9,Yes,No,0.202
40.5785,-10.3485,4,Yes,No,0.256
40.505,-32.0533,0.97,Yes,No,0.287
40.505,-32.0533,0.98,Yes,No,0.305
40.505,-32.0533,1,Yes,No,0.306
40.505,-32.0533,1.02,Yes,No,0.33
40.505,-32.0533,1.04,Yes,No,0.247
40.505,-32.0533,1.06,Yes,No,0.282
40.505,-32.0533,1.07,Yes,No,0.297
40.505,-32.0533,1.08,Yes,No,0.296
40.505,-32.0533,1.1,Yes,No,0.256
40.505,-32.0533,1.12,Yes,No,0.276
37.999,-31.1283,6,Yes,No,0.297
37.767,-10.183,3.8,Yes,No,0.3
37.767,-10.183,3.9,Yes,No,0.204
37.767,-10.183,4,Yes,No,0.206
37.767,-10.183,4.1,Yes,No,0.273
37.767,-10.183,4.2,Yes,No,0.327
37.767,-10.183,4.3,Yes,No,0.253
37.767,-10.183,4.4,Yes,No,0.275
37.767,-10.183,4.5,Yes,No,0.198
37.767,-10.183,4.7,Yes,No,0.155
37.767,-10.183,4.8,Yes,No,0.142
37.767,-10.183,4.9,Yes,No,0.142
37.767,-10.183,5,Yes,No,0.212
37.767,-10.183,5.1,Yes,No,0.077
37.767,-10.183,5.2,Yes,No,0.053
37.767,-10.183,5.3,Yes,No,0.269
37.5783,-31.8422,1.8,Yes,No,0.347
37.5783,-31.8422,1.9,Yes,No,0.382
37.1113,-32.2868,2.6,Yes,No,0.385
37.1113,-32.2868,2.9,Yes,No,0.438
37.1113,-32.2868,3.1,Yes,No,0.409
36.5117,-23.7367,0.8,Yes,No,0.563
36.5117,-23.7367,0.85,Yes,No,0.422
34.8917,-7.815,0.7,Yes,No,0.348
34.8917,-7.815,0.75,Yes,No,0.366
34.8917,-7.815,0.8,Yes,No,0.427
34.8917,-7.815,0.85,Yes,No,0.362
34.8917,-7.815,0.9,Yes,No,0.32
32.75,-41.9,0.35,Yes,No,0.334
32.75,-41.9,0.45,Yes,No,0.358
32.75,-41.9,0.54,Yes,No,0.335
32.75,-41.9,0.58,Yes,No,0.276
29.1667,-12.0867,0.2,Yes,No,0.25
29.1667,-12.0867,0.23,Yes,No,0.191
29.1667,-12.0867,0.24,Yes,No,0.182
29.1667,-12.0867,0.3,Yes,No,0.269
29.1667,-12.0867,0.34,Yes,No,0.228
27.005,-18.9867,0.51,Yes,No,0.31
27.005,-18.9867,0.52,Yes,No,0.362
27.005,-18.9867,0.54,Yes,No,0.404
27.005,-18.9867,0.56,Yes,No,0.322
27.005,-18.9867,0.57,Yes,No,0.359
26.8383,-15.11,1.62,Yes,No,0.287
26.8383,-15.11,1.73,Yes,No,0.234
26.8383,-15.11,1.82,Yes,No,0.247
25.1717,-16.845,1.12,Yes,No,0.173
25.1717,-16.845,1.22,Yes,No,0.21
25.1717,-16.845,1.32,Yes,No,0.156
25.1717,-16.845,1.42,Yes,No,0.213
23.4983,-18.7167,1.11,Yes,No,0.2
23.4983,-18.7167,1.22,Yes,No,0.241
23.135,-17.745,2.33,Yes,No,0.24
23.135,-17.745,2.42,Yes,No,0.264
23.135,-17.745,2.52,Yes,No,0.226
23.135,-17.745,2.63,Yes,No,0.242
23.135,-17.745,2.73,Yes,No,0.215
21.3,-22.68,0.38,Yes,No,0.141
21.245,-17.8033,2.45,Yes,No,0.267
21.245,-17.8033,2.5,Yes,No,0.271
21.245,-17.8033,2.55,Yes,No,0.235
21.245,-17.8033,2.6,Yes,No,0.31
21.245,-17.8033,2.65,Yes,No,0.26
21.245,-17.8033,2.7,Yes,No,0.282
21.245,-17.8033,2.75,Yes,No,0.275
21.145,-18.5733,1.8,Yes,No,0.238
21.145,-18.5733,1.9,Yes,No,0.353
21.145,-18.5733,2,Yes,No,0.363
21.145,-18.5733,2.1,Yes,No,0.385
19.3667,-19.93,0.49,Yes,No,0.328
18.9979,-20.1621,0.54,Yes,No,0.184
18.9979,-20.1621,0.56,Yes,No,0.214
18.9979,-20.1621,0.58,Yes,No,0.217
18.9979,-20.1621,0.6,Yes,No,0.236
18.9979,-20.1621,0.62,Yes,No,0.216
18.9979,-20.1621,0.64,Yes,No,0.226
18.9979,-20.1621,0.66,Yes,No,0.207
18.9979,-20.1621,0.68,Yes,No,0.233
18.433,-21.08,0.64,Yes,No,0.31
18.433,-21.08,0.68,Yes,No,0.411
18.433,-21.08,0.72,Yes,No,0.414
18.433,-21.08,0.76,Yes,No,0.458
18.1175,-18.075,1.2,Yes,No,0.299
18.1175,-18.075,1.3,Yes,No,0.197
18.1175,-18.075,1.38,Yes,No,0.316
18.1175,-18.075,1.44,Yes,No,0.302
18.1175,-18.075,1.5,Yes,No,0.365
18.1175,-18.075,1.6,Yes,No,0.354
18.0732,-18.0092,1.1,Yes,No,0.306
18.0732,-18.0092,1.2,Yes,No,0.273
18.0732,-18.0092,1.3,Yes,No,0.24
17.933,-50.35,0.36,Yes,No,0.076
17.933,-50.35,0.38,Yes,No,0.129
17.933,-50.35,0.4,Yes,No,0.166
17.933,-50.35,0.44,Yes,No,0.143
17.6483,-67.1667,0.5,Yes,No,0.28
