Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Sample depth - lower (m),calendar age estimate (cal ky BP),Chronostratigraphic quality (chronozone level),sedimentation rate (cm/ky),Laboratory,Instrument,Publication,added by (name),date of addition,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber,Globoturborotalita tenella,Globigerinoides sacc,Sphaeroidinella dehiscens,Globigerinella adamsi,Globigerinella siphonifera,Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides,Globorotalia crassaformis,Globorotalia crassula,Globorotalia hirsuta,Globorotalia scitula,Dentagloborotalia anfracta,Globorotalia menardii flexuosa,Globorotalia menardii & Globorotalia tumida,Candeina nitida ,Globigerinita glutinata,Globorotalia theyeri,Tenuitella iota,Turborotalita humilis & Berggrenia pumilio,Globigerinita uvula,Other ID,Other UnID
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.93,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,0.69,0,1.18,0,0,0,,0.12,0.02,29.36,0,0.25,0.5,3.96,16.22,29.47,0.74,0,0,0,11.53,0.19,0.5,,0.2,0.99,0,0,0,0,3.84,0,0,0,,0,
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,1.7,0,0.4,0,0,0,,0.7,4,28.3,2.2,0,0.1,3.4,13.5,29.9,0.9,0,0,0.4,7.3,1.1,1.3,,0.6,0,0,0,0,0,1.3,0,0,0,,0,
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,1.03,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,4.06,0,0.55,0,0,0,,0.52,0.6,28.89,0,0,0,1.11,13.26,32.06,1.04,0,0,0,9.07,0.35,0.14,,0.01,1.11,0,0,0,0,6.49,0,0,0,,0,
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,1.08,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,12.6,0,0.6,0,0,0,,0.3,5.1,17.8,4.4,0.1,0.6,1.1,8.9,32.3,0.6,0,0,0,7.2,0.8,1.7,,0,0,0,0,0,0,2.4,0,0,0,,0,
GeoB1031-4,,-21.88,7.1017,-3105,South Atlantic,0.28,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,3.35,0.28,5.37,0,0,0,,0.28,1.13,14.84,1.13,1.27,1.13,3.96,6.22,25.72,4.24,0,0,0,18.24,1.79,0,,0.44,0,0,0,0,0,8.06,0,0,0,,0,
GeoB1031-4,,-21.88,7.1017,-3105,South Atlantic,0.33,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,2.82,0.15,3,1.17,0.01,0,,0.58,3.57,21.52,0.73,0,0,1.75,2.48,35.59,0.88,0,0,0,15.17,2.85,0,,1.04,0.88,0,0,0,0,5.25,0,0,0,,0,
GeoB1101-5,,1.6583,-10.98,-4588,South Atlantic,0.33,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,1.76,0.35,9.94,0,14.51,0,,2.2,0.35,2.64,0.09,0.53,0,0,0,13.98,38.79,0,0,4.4,5.72,0.53,3.87,,0,0,0,0,0.18,0,0.18,0,0,0,,0,
GeoB1101-5,,1.6583,-10.98,-4588,South Atlantic,0.38,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,2.48,0.78,4.17,0.13,13.56,0,,1.96,0.13,2.35,0,0.13,0,0,0,10.82,35.33,0,0,5.87,19.17,0.65,0.91,,0,0,0,0,0,0,0.13,1.43,0,0,,0,
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.78,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,1.63,0,10.95,0.65,3.22,0,,1.2,0.44,19.17,0.87,0,2.61,0,0.44,14.71,7.3,0,0,0,23.97,1.58,2.34,,0,0.87,0,0,0,0,7.41,0,0,0,,0,
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,1.18,0,8.16,0.36,4.34,0,,1.34,1.79,15.51,2.51,0,0,0,0.36,21.24,4.02,0,0,0,25.91,0.9,0.63,,0,0.72,0,0,0,0,9.41,0,0,0,,0,
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,0.87,0,8.4,0.34,2.65,0,,0.76,2.18,9.91,1.68,0,0.67,0,0,28.9,2.93,0,0,0,20.93,0.43,7.32,,0,0.67,0,0,0,0,8.07,0,0,0,,0,
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,1.57,0,6.29,0.25,7.55,0,,2.28,0.5,11.71,3.53,0,0.5,0,0.25,27.46,6.1,0,0,0,14.36,0.76,4.29,,0,0,0,0,0,0,10.96,0,0,0,,0,
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.48,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,2.47,0.25,14.18,0,11.59,0,,3.58,0,14.67,0.74,0.25,0.99,0,0.25,13.81,5.43,0,0,0.12,20.72,0.99,1.97,,0,0.12,0,0,0,0,5.67,0,0,0,,0,
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,3.2,0.06,21.13,0.45,8.3,0,,2.1,0.68,14.28,0.91,0,0.91,0,0,17,3,0,0,0.93,18.58,0.96,2.52,,0,0.45,0,0,0,0,3.4,0,0,0,,0,
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.58,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,5.13,0.15,15.54,0,10.26,0,,2.93,0.88,13.2,0.44,0.29,0.15,0.59,0.29,11.58,6.01,0,0,0,20.97,1.62,2.35,,0,0,0,0,0,0,5.28,0,0,0,,0,
GeoB1115-4,,-3.5583,-12.58,-2921,South Atlantic,0.63,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,3.05,0.1,14.97,0.31,6.31,0,,1.32,0.41,17.92,0,0.2,0.92,0.41,0.31,12.32,7.03,0,0,0.2,25.25,1.02,0.61,,0,0.61,0,0,0,0,6.01,0.71,0,0,,0,
GeoB1115-4,,-3.5583,-12.58,-2921,South Atlantic,0.68,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,3.32,0,16.78,0,5.91,0,,1.76,0.93,20.62,0,0,0.31,0,0,4.87,14.51,0,0,0,21.04,0.52,1.76,,0.21,1.24,0,0,0,0,6.11,0.1,0,0,,0,
GeoB1117-2,,-3.815,-14.8967,-3984,South Atlantic,0.53,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,2.54,0,16.75,0.25,19.8,0,,3.3,1.02,8.12,0,0,1.02,0,2.54,11.42,9.64,0,0,1.02,7.36,2.03,2.54,,0,0.25,0,0,0.25,0.25,5.84,0,0,0,,0,
GeoB1117-2,,-3.815,-14.8967,-3984,South Atlantic,0.58,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,2.28,0,13.03,0.65,6.51,0,,2.61,1.3,8.14,0,0,2.6,6.51,0.33,6.84,6.51,0,0,2.61,19.87,3.26,2.28,,0,0,0,0,0.98,0,8.79,0,0,0,,0,
GeoB1117-2,,-3.815,-14.8967,-3984,South Atlantic,0.63,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,1.91,0,6.53,0.87,7.05,0,,2,0,9.92,0.35,0.09,0.35,0,0.17,20.28,6.53,0,0,0,31.77,1.74,3.48,,0,0.35,0,0,0,0,4.7,0,0,0,,0,
GeoB1214-1,,-24.69,7.24,-3210,South Atlantic,0.23,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,1.5,0,7.88,1.16,1.3,0.02,,1.32,0.29,19.21,0,0.26,1.68,1.03,3.36,30.37,0.39,0,0,0,15.83,2.61,0.53,,0.57,0.16,0,0,0,0,8.95,0,0.52,0,,0,
GeoB1214-1,,-24.69,7.24,-3210,South Atlantic,0.28,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,1.3,0,7.66,0.35,0.15,0,,1.45,0.09,20.13,0.35,0.17,1.9,2.42,3.63,34.9,0.11,0,0,0,15.59,1.75,0.28,,0.87,0.76,0,0,0,0,5.71,0,0,0,,0,
GeoB1220-1,,-24.0333,5.3067,-2265,South Atlantic,0.33,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,3.31,0.6,7.9,0,0.1,0,,1.02,1.8,17,0.8,0,1.6,0,3.4,36.21,0,0,0,0,12.8,5.74,0.2,,1.01,0.9,0,0,0,0,4.8,0,0,0.8,,0,
GeoB1220-1,,-24.0333,5.3067,-2265,South Atlantic,0.38,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,2.11,0,9.06,0.85,0,0,,1.28,0.64,18.34,1.71,0,3.41,0,4.91,26.87,0,0,0,0,16.1,7.23,0.85,,0.87,1.07,0,0,0,0,4.69,0,0,0,,0,
GeoB1306-1,,-35.2067,-26.765,-4057,South Atlantic,0.19,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,0.2,0.03,4.7,0,0,0,,0.1,0.01,14.02,0.1,0,0,0,0.41,60.78,0.1,0,0,0,13.99,3.28,0.01,,1.47,0,0.41,0,0,0,0.41,0,0,0,,0,
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,1.54,1.33,21.96,0.91,0.58,0,,0.46,7.55,4.8,8,0.46,1.83,0,0,16.47,0,0,0,0,13.62,11.83,0,,3.29,3.09,0,0,0,0,1.6,0,0,0,,0,
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,1.19,0.7,28.06,0.5,1.95,0,,1.71,12.33,0.63,4.38,0,2.07,0,0.75,11.27,0,0,0,0,13.78,10.18,0,,2.68,5.07,0,0,0,0,2.75,0,0,0,,0,
GeoB1701-4,,1.95,3.5517,-4162,South Atlantic,0.98,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,3.17,0.18,23.7,0.18,5.11,0,,2.91,0.79,2.2,0,0.79,0.7,0,0,4.05,28.28,0,0,0,12.42,0,5.9,,0,0.62,0,0,0,0,7.75,1.06,0,0.18,,0,
GeoB1701-4,,1.95,3.5517,-4162,South Atlantic,1.03,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,2.45,0.52,31.98,0.13,5.82,0,,2.71,0.26,2.58,0.13,0.71,2.2,0.13,0.13,2.07,25.78,0,0,0,10.34,0.19,2.65,,0.39,1.23,0,0,0.13,0,7.17,0.32,0,0,,0,
GeoB1701-4,,1.95,3.5517,-4162,South Atlantic,1.08,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,2.07,0.47,28.98,0,6.02,0,,2.73,0.85,3.86,0.38,0.75,1.88,0,0,3.39,25.49,0,0,0,8.94,0,2.73,,0.28,0.75,0,0,0,0,9.69,0.75,0,0,,0,
GeoB1701-4,,1.95,3.5517,-4162,South Atlantic,1.13,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,3.16,0,19.58,0,9.66,0,,3.6,0.35,1.84,0,0.09,2.81,0,0.53,13.43,23.27,0,0,0,15.54,0,3.51,,0,1.14,0,0,0,0,1.49,0,0,0,,0,
GeoB1701-4,,1.95,3.5517,-4162,South Atlantic,1.18,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,2.92,0.24,19.71,0,5.84,0,,3.41,0,4.38,0,0,0.97,0,0.24,18.73,24.09,0,0,0,10.22,0,4.38,,0,1.22,0,0,0,0,3.41,0,0,0.24,,0,
GeoB1706-2,,-19.5617,11.175,-980,South Atlantic,1.23,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,1.26,0,0,1.67,0,0,,0.42,0,15.48,0.42,0,0.42,6.69,51.46,8.79,0,0,0,0,3.77,0,1.26,,0,0,0,0,0,0,7.53,0,0,0,,0,
GeoB1706-2,,-19.5617,11.175,-980,South Atlantic,1.28,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,0.55,0,1.1,2.21,0,0,,0.55,0,7.73,0,0,0,3.31,58.56,20.99,0,0,0,0,1.66,0,0,,0.55,0,0,0,0,0,2.76,0,0,0,,0,
GeoB1706-2,,-19.5617,11.175,-980,South Atlantic,1.33,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,0.85,0,0,0,0,0,,0,0,9.75,0,0,0,3.39,66.95,13.98,0,0,0,0,0.42,0,0.42,,0,0,0,0,0,0,3.81,0,0,0,,0.42,
GeoB1706-2,,-19.5617,11.175,-980,South Atlantic,1.38,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,0.49,0,0,0.99,0,0,,0.99,0,6.4,0.49,0,0.49,2.46,64.04,16.26,0,0,0,0,1.48,0,0.99,,0,0,0,0,0,0,3.94,0,0,0,,0,
GeoB1711-4,,-23.315,12.3767,-1967,South Atlantic,1.73,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,0,0,0.3,0,0,0,,0,0,8,0,0,0,4.2,70.8,11.5,4.2,0,0,0,0.7,0,0,,0,0,0,0,0,0,0.3,0,0,0,,0,
GeoB1711-4,,-23.315,12.3767,-1967,South Atlantic,1.78,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,0,0,0,0,0,0,,0,0,14.1,0,0,0,4.3,61.6,11.8,6.7,0,0,0,0.8,0,0.4,,0,0,0,0,0,0,0.4,0,0,0,,0,
GeoB1711-4,,-23.315,12.3767,-1967,South Atlantic,1.83,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,0,0,0,0,0,0,,0,0,8.7,0,0,0,4,66.1,14.4,5.1,0,0.4,0,0.7,0.4,0,,0,0,0,0,0,0,0.4,0,0,0,,0,
GeoB1711-4,,-23.315,12.3767,-1967,South Atlantic,1.88,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,0,0,0.3,0,0,0,,0,0,4.9,0,0,0,6.3,61.6,13.1,10.1,0,0,0,1.9,0,0,,0,0.3,0,0,0,0,1.1,0,0,0,,0,
GeoB1711-4,,-23.315,12.3767,-1967,South Atlantic,1.93,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,0,0,0,0,0,0,,0,0,8.9,0.3,0,0,8.6,58.3,8,10.1,0,0,0,4,0.3,0,,0,0,0,0,0,0,0.9,0,0,0,,0,
GeoB1711-4,,-23.315,12.3767,-1967,South Atlantic,1.98,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,0.3,0,0.3,0,0,0,,0.3,0,8.4,0,0,0,4.7,58.7,16.8,6.8,0,0,0,2.4,0.3,0,,0,0.5,0,0,0,0,0.3,0,0,0,,0,
GeoB1711-4,,-23.315,12.3767,-1967,South Atlantic,2.03,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,0,0,0,0,0,0,,0,0,9.3,0,0,0,0.7,61.9,18.9,6.5,0,0,0,0.7,0.3,0,,0,0,0,0,0,0,1,0,0,0,,0,
GeoB1711-4,,-23.315,12.3767,-1967,South Atlantic,2.08,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,0,0,0,0.2,0,0,,0,0,7.4,0.2,0,0,3,65.4,15.3,2.6,0,0.7,0.2,0.9,0.2,0,,0,0.7,0,0,0,0,1.9,0,0,0,,0.2,
GeoB1711-4,,-23.315,12.3767,-1967,South Atlantic,2.13,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,0,0,0,0.3,0,0,,0,0,5.8,0,0,0,2.9,63.1,21.5,3.4,0,0,0,0.5,0,0,,0,0,0,0,0,0,1.3,0,0,0,,0,
GeoB1711-4,,-23.315,12.3767,-1967,South Atlantic,2.18,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,0,0,0,0,0,0,,0,0,19,0.7,0,0,0,51.8,21.9,5.8,0,0,0,0,0,0,,0,0,0,0,0,0,0.7,0,0,0,,0,
GeoB1711-4,,-23.315,12.3767,-1967,South Atlantic,2.23,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,0,0,0.3,0,0,0,,0,0,6.8,0,0.3,0,7.1,61.5,17.4,4.3,0,0,0,0.3,0,0,,0,0.6,0,0,0,0,0.9,0,0,0,,0,
GeoB1711-4,,-23.315,12.3767,-1967,South Atlantic,2.28,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,0.4,0,0,0,0.4,0,,0,0,12.4,0,0,0,5.4,53.7,19.8,4.5,0,0,0,1.2,0,0,,0,0.4,0,0,0,0,1.2,0,0,0,,0,
GeoB1711-4,,-23.315,12.3767,-1967,South Atlantic,2.33,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,0.4,0,0,0,0,0,,0,0,13.3,0,0,0,5.9,48.4,20.7,6.3,0,0,0,3.1,0,0,,0,0,0,0,0,0,1.2,0,0,0,,0,
GeoB1711-4,,-23.315,12.3767,-1967,South Atlantic,2.38,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,0.5,0,0.5,0,0,0,,0,0,10.4,0,0,0,5,56.3,23,2.3,0,0.5,0,0.5,0,0,,0,0.5,0,0,0,0,0,0,0,0,,0,
GeoB1711-4,,-23.315,12.3767,-1967,South Atlantic,2.43,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,0,0,0.5,0,0,0,,0,0,6,0,0,0,0.5,70.4,18.1,2,0,0.5,0,0.5,0,0,,0,0.5,0,0,0,0,0,0,0,0,,0,
GeoB1711-4,,-23.315,12.3767,-1967,South Atlantic,2.48,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,0,0,0,0,0,0,,0,0,8.6,0,0,0,3.2,55.6,19.4,9.2,0,0,0,0.6,1,0,,0,0.3,0,0,0,0,1.6,0,0,0,,0,
GeoB1711-4,,-23.315,12.3767,-1967,South Atlantic,2.53,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,0,0,0,0,0,0,,0,0,14.2,0,0,0,3.1,55.9,19.5,4.2,0,0,0,1.5,0.4,0.4,,0,0,0,0,0,0,0.8,0,0,0,,0,
GeoB1722-1,,-29.45,11.75,-3973,South Atlantic,0.23,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,0.73,0,3.31,0,0.47,0,,1.04,0,12.23,0,0,1.26,0.16,1.73,39.09,2.26,0,0,0,25.35,4.48,0.16,,0.9,0.64,0,0,0.16,0,4.73,0,0,0,,0,
GeoB1722-1,,-29.45,11.75,-3973,South Atlantic,0.28,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,0.56,0,5.39,0,0.17,0,,0.3,0.39,9.48,0,0.33,0.52,1.03,1.55,61.65,0.91,0,0,0,13.75,0.71,0.16,,0.7,0,0,0,0,0,1.55,0,0,0,,0,
GeoB2004-2,,-30.87,14.3433,-2569,South Atlantic,0.68,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,0.68,0,2.29,0.22,1.29,0,,2.13,0.01,11.92,0,0,0,1.31,0,59.91,2.84,0,0,0,10.38,2.54,0.01,,0.87,0.22,0,0,0.03,0,2.94,0,0,0.44,,0,
GeoB2004-2,,-30.87,14.3433,-2569,South Atlantic,0.73,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,1.44,0,3.01,0,0.12,0,,1.48,0.18,13.96,0,0,0.69,0.46,0,60.83,0.64,0,0,0,12.14,2.41,0.06,,0.51,0.64,0,0,0.06,0,1.39,0,0,0,,0,
GeoB2004-2,,-30.87,14.3433,-2569,South Atlantic,0.78,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,0.59,0,1.52,0,0.36,0,,0.32,0.77,11.83,0,0,1.07,0.46,0.31,69.88,0.35,0,0,0,9.57,1.26,0.04,,0.53,0.46,0,0,0,0,0.54,0,0,0.15,,0,
GeoB2016-1,,-31.9,-1.33,-3385,South Atlantic,0.18,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,0.64,0.01,8.13,0,0,0,,1.64,0,33.1,1.83,0.11,1.14,0,0.69,20.34,0,0,0,0,14.29,9.14,0.29,,3.01,1.06,0.46,0,0,0,3.89,0,0.23,0,,0,
GeoB2019-1,,-36.06,-8.7783,-3825,South Atlantic,0.33,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,0.24,0,1.49,0,0,0,,0,0,34,0,0,0.37,3.55,2.89,29.95,0,0,0,0,18.49,4.19,0.42,,1.36,0.09,0.37,0,0,0,2.19,0,0,0,,0,
GeoB2021-5,,-36.8333,-14.4033,-3575,South Atlantic,0.13,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,0.77,0,0.49,0,0,0,,0,0,26.89,0,0.2,0,6.34,6.14,27.72,0.1,0,0,0,20.38,4.78,0.49,,0.36,0.2,0,0,0,0,5.05,0,0,0,,0,
GeoB1903-3,,-8.675,-11.845,-3161,South Atlantic,0.48,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,2.72,1.15,22.63,0,13.61,0,,3.72,0.57,4.15,0.14,0.57,4.44,0,0,3.87,13.04,0,0,0,8.6,3.87,1,,0,1.72,0,0,0,0.14,13.47,0.29,0,0.29,,0,
GeoB1903-3,,-8.675,-11.845,-3161,South Atlantic,0.53,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,2.47,0.95,17.19,0,14.53,0,,3.13,1.9,4.84,0.38,0.47,2.18,0,0,11.02,9.31,0,0,0,12.06,4.46,2.47,,0,2.18,0,0,0,0,9.21,1.04,0,0.19,,0,
GeoB1903-3,,-8.675,-11.845,-3161,South Atlantic,0.58,,,,,Bremen,,Niebler et al. (in press),M.W.,May-03,2.27,1.16,20.71,0.12,13.67,0,,2.97,4.3,4.25,0.12,0.17,6.4,0.35,0.12,13.03,6.98,0,0,0,8.84,2.68,3.26,,0,0.87,0,0,0,0,7.62,0,0,0.12,,0,
