Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Sample depth - lower (m),calendar age estimate (cal ky BP),Chronostratigraphic quality (chronozone level),sedimentation rate (cm/ky),Laboratory,Instrument,Publication,added by (name),date of addition,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber,Globoturborotalita tenella,Globigerinoides sacc,Sphaeroidinella dehiscens,Globigerinella adamsi,Globigerinella siphonifera,Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides,Globorotalia crassaformis,Globorotalia crassula,Globorotalia hirsuta,Globorotalia scitula,Dentagloborotalia anfracta,Globorotalia menardii flexuosa,Globorotalia menardii & Globorotalia tumida,Candeina nitida ,Globigerinita glutinata,Globorotalia theyeri,Tenuitella iota,Turborotalita humilis & Berggrenia pumilio,Globigerinita uvula,Other ID,Other UnID
GIK23294-4,,72.3797,-10.5923,-2215,North Atlantic,1.2,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0.4,0,0,0,0,96.8,2.8,0,,,0,0,0,0,,0,0,,,0,0,0,,,0,0,,
GIK23262-2,,72.2252,14.4273,-1130,North Atlantic,2.6,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0.2,0,0,0,0.5,95.1,4,0,,,0,0,0,0,,0,0,,,0,0,0.2,,,0,0,,
V27-60,,72.183,8.583,-2525,North Atlantic,2,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0.3,0,0,0,0.3,95.6,3.1,0,,,0,0,0,0,,0,0,,,0,0,0.6,,,0,0,,
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.12,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0.2,94.5,2.6,0,,,0,0,0,0,,0,0,,,0,0,2.8,,,0,0,,
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.15,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0.2,94.5,2.6,0,,,0,0,0,0,,0,0,,,0,0,2.8,,,0,0,,
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.21,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,96.7,1.5,0,,,0,0,0,0,,0,0,,,0,0,1.8,,,0,0,,
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.25,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,96.7,1.5,0,,,0,0,0,0,,0,0,,,0,0,1.8,,,0,0,,
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.31,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,96.7,1.5,0,,,0,0,0,0,,0,0,,,0,0,1.8,,,0,0,,
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.35,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,96.7,1.5,0,,,0,0,0,0,,0,0,,,0,0,1.8,,,0,0,,
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.42,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,96.7,1.5,0,,,0,0,0,0,,0,0,,,0,0,1.8,,,0,0,,
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.46,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0.4,95.3,1.6,0,,,0,0,0,0,,0,0,,,0,0,2.7,,,0,0,,
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.52,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0.4,95.3,1.6,0,,,0,0,0,0,,0,0,,,0,0,2.7,,,0,0,,
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.56,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0.4,95.3,1.6,0,,,0,0,0,0,,0,0,,,0,0,2.7,,,0,0,,
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.62,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0.4,95.3,1.6,0,,,0,0,0,0,,0,0,,,0,0,2.7,,,0,0,,
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.65,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0.4,95.3,1.6,0,,,0,0,0,0,,0,0,,,0,0,2.7,,,0,0,,
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.71,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0.1,95,2.6,0,,,0,0,0,0,,0,0,,,0,0,2.3,,,0,0,,
