_id,Core,Coring_device,Latitude,Longitude,Water_Depth,Ocean,Sample_depth_upper,Sample_depth_lower,chronozone_level,sedimentation_rate,Publication,added_by,date_of_addition,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber,Globoturborotalita tenella,Globigerinoides sacculifer,Sphaeroidinella dehiscens,Globigerinella adamsi,Globigerinella siphonifera,Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beella digitata,Globoturborotalita rubescens,Turborotalita humilis,Turborotalita quinqueloba,Neogloboquadrina pachyderma,Neogloboquadrina incompta,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globoconella inflata,Truncorotalia truncatulinoides,Truncorotalia crassaformis,Truncorotalia crassula,Hirsutella hirsuta,Hirsutella scitula,Menardella menardii,Globorotalia tumida,Globorotalia flexuosa,Hirsutella theyeri,Micro,Other_ID,Other_UnID,Total_Planktics,percent_or_Raw,no_decimals,Total,Current_sum,BFD,Ocean2,sp_rich,rarefy_sr,simpson,simpsonEve,FRic,MorphoAgeAbun,LinAgeAbun
34,V28-25,TW,76.81666667,-1.333333333,3136,Atlantic,0,0.01,4,NA,"Prell_et_al.,_1999_(""Brown_Database"")",M.W.,10.02.1999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,702,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721,R,N,Y,NA,Y,Atlantic,4,2.76257691005594,0.0514503473177375,0.263560267291293,0.185064607478481,10.8163661581137,10.871359223301
35,V27-74,TW,76.465,6.9082,2778,Nordic_Seas,0,0.01,5,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,526,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,P,N,Y,100,N,Atlantic,3,2.98411945213651,0.0968343129716276,0.369072184783811,0.114077045197372,10.942238267148,11.1611913357401
36,GIK23398-2,BC,76.438,8.9932,2229,Nordic_Seas,0,0.01,4,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,980,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1058,P,N,Y,100,N,Atlantic,3,2.9921790515974,0.139865053442724,0.387536089153816,0.114077045197372,11.6625118035883,12.7839943342776
37,V27-56,TW,76.158,-5.3982,2736,Nordic_Seas,0,0.01,4,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,644,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661,P,N,Y,100,N,Atlantic,3,2.41639225896603,0.0473783287419651,0.349911558166772,0.114077045197372,10.8130303030303,10.8505303030303
38,V29-215,TW,75.933,-5.1167,3139,Nordic_Seas,0,0.01,5,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,638,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,668,P,N,Y,100,N,Atlantic,4,3.39312216752638,0.0677513783956368,0.268168806267324,0.185064607478481,10.9515885022693,11.1805597579425
39,PS1229-1,BC,75.837,11.527,2120,Nordic_Seas,0,0.01,4,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,1,0,0,0,0,0,0,3,0,0,0,0,15,491,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,527,P,N,Y,100,N,Atlantic,5,4.41648635359647,0.123660770975057,0.228222123780228,0.303148321402949,11.2367619047619,11.8644761904762
40,PS2616-7,BC,75,-7.3383,3401,Nordic_Seas,0,0.01,4,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,527,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531,P,N,Y,100,N,Atlantic,3,2.40651575094439,0.0149737020368064,0.338400440701522,0.127076542128762,10.8052730696798,10.8340866290019
41,V27-82,TW,74.993,-10.807,2895,Nordic_Seas,0,0.01,5,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,474,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,P,N,Y,100,N,Atlantic,3,2.96235033857558,0.0746022407004349,0.360205468387598,0.114077045197372,10.9062880324544,11.0705882352941
42,GIK23390-1,BC,74.953,13.005,2114,Nordic_Seas,0,0.01,4,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,48,346,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,P,N,Y,100,N,Atlantic,4,3.66105769226041,0.292356231508876,0.353285100684294,0.185064607478481,12.4740384615385,14.6915865384615
43,PS1706-1,BC,74.23,-10.038,3011,Nordic_Seas,0,0.01,4,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,492,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,P,N,Y,100,N,Atlantic,4,3.15527033166747,0.0199830775396846,0.255097635837123,0.185064607478481,10.8438631790744,10.939939637827
