Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Sample depth - lower (m),calendar age estimate (cal ky BP),Chronostratigraphic quality (chronozone level),sedimentation rate (cm/ky),Laboratory,Instrument,Publication,added by (name),date of addition,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber,Globoturborotalita tenella,Globigerinoides sacc,Sphaeroidinella dehiscens,Globigerinella siphonifera,Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides,Globorotalia crassaformis,Globorotalia hirsuta,Globorotalia scitula,Turborotalita humilis & Berggrenia pumilio,Candeina nitida ,Globigerinita glutinata
MD972148,Piston,19.8,117.54,2830,South China Sea,10.835,,20.07,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,0.44,0.44,12.56,1.32,5.95,0,0.66,2.42,5.73,0.22,0,1.1,1.1,0,0,48.02,0,0,2.64,0.88,0,0.66,0,0,3.3,0,12.56
MD972148,Piston,19.8,117.54,2830,South China Sea,10.915,,20.16,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.86,0,12.07,0.62,8.05,0,1.24,3.1,4.02,0,0.31,0.62,0.31,0,0,50.15,0.62,0,1.24,1.24,1.24,1.55,0,0,2.48,0,9.29
MD972148,Piston,19.8,117.54,2830,South China Sea,11.075,,20.34,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.01,0,14.86,0.34,4.05,0,2.03,6.76,8.11,0.68,0.34,1.01,0,0,0,45.27,0.68,0,2.7,2.36,0.34,1.01,0,0,0.68,0,7.77
MD972148,Piston,19.8,117.54,2830,South China Sea,11.155,,20.43,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.03,0,16.78,1.37,3.08,0,1.37,7.53,9.93,0.68,0.34,1.03,0,0,0,38.36,1.37,0,2.05,4.45,0.34,0.68,0,0,1.03,0,8.56
MD972148,Piston,19.8,117.54,2830,South China Sea,11.235,,20.52,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.45,0,12.73,1.82,4.36,0,1.82,8,8.36,0,0,1.09,0,0,0,41.82,2.55,0,1.82,5.09,0.36,1.45,0,0,0.36,0,6.91
MD972148,Piston,19.8,117.54,2830,South China Sea,11.315,,20.6,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,2.73,0,14.84,1.17,6.64,0.39,1.17,6.25,9.38,0.39,0,0.39,0,0,0,37.5,0.78,0,2.34,8.59,0,0,0,0,1.17,0,6.25
MD972148,Piston,19.8,117.54,2830,South China Sea,11.395,,20.69,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.82,0,12,0.36,4.73,0,1.09,10.55,7.64,0.36,0,0.73,0,0,0,42.55,0.73,0,1.09,5.09,0,1.45,0,0,1.45,0,8.36
MD972148,Piston,19.8,117.54,2830,South China Sea,11.475,,20.78,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,0.88,0.44,11.06,0.88,8.41,0,0.88,11.5,8.41,1.33,0,1.33,0,0,0,44.25,1.33,0,1.77,0.88,0.88,1.33,0,0,0.88,0,3.54
MD972148,Piston,19.8,117.54,2830,South China Sea,11.555,,20.87,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.87,0,11.61,1.12,4.49,0,1.5,5.62,9.36,0.37,0,0,0,0,0,48.31,1.5,0,1.12,0.75,0,1.87,0,0,1.5,0,8.99
MD972148,Piston,19.8,117.54,2830,South China Sea,11.635,,20.96,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,0.49,0.25,11.79,0.49,3.93,0,0.98,7.86,12.53,0.25,0,0.98,0,0,0,45.7,1.23,0,1.97,0.74,0,0.74,0,0,1.72,0,8.35
