Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Sample depth - lower (m),calendar age estimate (cal ky BP),Chronostratigraphic quality (chronozone level),sedimentation rate (cm/ky),Laboratory,Instrument,Publication,added by (name),date of addition,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber,Globoturborotalita tenella,Globigerinoides sacc,Sphaeroidinella dehiscens,Globigerinella siphonifera,Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides,Globorotalia crassaformis,Globorotalia hirsuta,Globorotalia scitula,Turborotalita humilis & Berggrenia pumilio,Candeina nitida ,Globigerinita glutinata
DGKS9603,Piston core,28.15,127.27,1100,"Pacific, East China Sea",188,,20.62685,1,12,,,"Li et al. 2001, Paleo3, 176, 133-146",Thorsten Kiefer,25-Aug-03,1.44,0.5,21.33,0,4.67,0,1.94,1.22,6.54,1.58,0,7.61,5.89,0,1.94,21.11,0,0,4.02,1.94,2.37,1.8,0.32,0,1.22,0,2.01
DGKS9603,Piston core,28.15,127.27,1100,"Pacific, East China Sea",191,,20.88351,1,12,,,"Li et al. 2001, Paleo3, 176, 133-146",Thorsten Kiefer,25-Aug-03,1.29,0.44,21.01,0,4.88,0,1.85,1.04,6.21,1.41,0,8.36,6.36,0,1.78,20.86,0,0,4.44,2.14,2.22,1.92,0.52,0,1.07,0,1.7
DGKS9603,Piston core,28.15,127.27,1100,"Pacific, East China Sea",193,,21.05461,1,12,,,"Li et al. 2001, Paleo3, 176, 133-146",Thorsten Kiefer,25-Aug-03,1.07,0.5,20.41,0,4.62,0,1.64,1.21,6.68,1.49,0,8.67,6.4,0,1.56,20.9,0,0,4.48,2.2,1.99,1.56,0.43,0,1.14,0,1.85
DGKS9603,Piston core,28.15,127.27,1100,"Pacific, East China Sea",195,,21.22572,1,12,,,"Li et al. 2001, Paleo3, 176, 133-146",Thorsten Kiefer,25-Aug-03,1.04,0.35,20.47,0,4.53,0,1.46,1.32,6.34,1.32,0,8.77,6.55,0,1.32,19.57,0,0,4.94,2.23,2.3,1.74,0.56,0,1.18,0,2.23
DGKS9603,Piston core,28.15,127.27,1100,"Pacific, East China Sea",197,,21.39682,1,12,,,"Li et al. 2001, Paleo3, 176, 133-146",Thorsten Kiefer,25-Aug-03,0.81,0.54,20.26,0,4.79,0,1.22,1.42,6.62,1.42,0,8.91,6.48,0,1.62,19.78,0,0,5,1.89,2.03,1.82,0.47,0,0.91,0,2.77
DGKS9603,Piston core,28.15,127.27,1100,"Pacific, East China Sea",199,,21.56792,1,12,,,"Li et al. 2001, Paleo3, 176, 133-146",Thorsten Kiefer,25-Aug-03,0.89,0.49,21.76,0,4.69,0,1.13,1.29,5.99,1.46,0,8.41,5.83,0,1.46,20.47,0,0,4.85,2.18,2.1,1.94,0.32,0,1.13,0,2.67
DGKS9603,Piston core,28.15,127.27,1100,"Pacific, East China Sea",201,,21.73903,1,12,,,"Li et al. 2001, Paleo3, 176, 133-146",Thorsten Kiefer,25-Aug-03,1.18,0.86,20.02,0,4.87,0,1.26,1.49,5.97,0.94,0,8.48,6.12,0,1.33,19.32,0,0,5.73,2.28,3.46,1.65,0.39,0.04,1.02,0,2.51
DGKS9603,Piston core,28.15,127.27,1100,"Pacific, East China Sea",204,,21.99569,1,12,,,"Li et al. 2001, Paleo3, 176, 133-146",Thorsten Kiefer,25-Aug-03,1.22,0.75,20.52,0,5.25,0,1.22,1.5,6.75,1.5,0,8.53,5.44,0,1.31,19.4,0,0,4.78,2.44,2.91,1.78,0.28,0,1.17,0,2.62
DGKS9603,Piston core,28.15,127.27,1100,"Pacific, East China Sea",206,,22.16679,1,12,,,"Li et al. 2001, Paleo3, 176, 133-146",Thorsten Kiefer,25-Aug-03,1.27,0.82,20.63,0,5.36,0,1.45,1.36,5.36,1.64,0,5.72,5.54,0,1.64,20.35,0,0,5.22,2.45,3,1.91,0.45,0,1.23,0,2.91
DGKS9603,Piston core,28.15,127.27,1100,"Pacific, East China Sea",208,,22.3379,1,12,,,"Li et al. 2001, Paleo3, 176, 133-146",Thorsten Kiefer,25-Aug-03,1.23,0.73,19.81,0,5.57,0,1.64,1.55,5.66,1.83,0,6.12,6.02,0,1.83,19.35,0,0,5.84,2.37,2.56,2.37,0.32,0,1.32,0,3.01
DGKS9603,Piston core,28.15,127.27,1100,"Pacific, East China Sea",210,,22.509,1,12,,,"Li et al. 2001, Paleo3, 176, 133-146",Thorsten Kiefer,25-Aug-03,1.29,1.13,16.52,0,8.7,0,1.85,0.64,8.86,1.77,0,6.53,5.88,0,2.34,16.44,0,0,5.08,1.05,2.58,0.56,0.64,0,1.85,0,3.38
DGKS9603,Piston core,28.15,127.27,1100,"Pacific, East China Sea",212,,22.66922,1,12,,,"Li et al. 2001, Paleo3, 176, 133-146",Thorsten Kiefer,25-Aug-03,1.26,0.78,19.51,0,7.2,0,1.39,1.04,8.76,1.82,0,4.25,6.85,0,2.34,18.73,0,0,4.77,2.08,2.52,1.21,0.35,0,1.3,0,2.69
DGKS9603,Piston core,28.15,127.27,1100,"Pacific, East China Sea",215,,22.90955,1,12,,,"Li et al. 2001, Paleo3, 176, 133-146",Thorsten Kiefer,25-Aug-03,1.36,0.68,19.98,0,6.21,0,1.19,1.19,7.99,1.53,0,4.34,6.89,0,1.96,19.73,0,0,5.36,1.7,2.64,1.36,0.34,0,1.15,0,2.47
ODP506B,Hydraulic piston core,0.61,-86.092,2711,"Pacific, eastern equ.",97,99,19.79,2,7,,,"Mart地ez et al. 2003, Paleoceanography 18, doi: 10.1029/2002PA000877",Thorsten Kiefer,25-Aug-03,0.71,0.24,4.76,0,0.71,0,1.9,1.43,17.38,0,0.24,0.24,0,0,6.19,49.05,0,0,1.19,5.48,0,0,0,0,6.9,0,3.57
ODP506B,Hydraulic piston core,0.61,-86.092,2711,"Pacific, eastern equ.",100,101,20.09,2,7,,,"Mart地ez et al. 2003, Paleoceanography 18, doi: 10.1029/2002PA000877",Thorsten Kiefer,25-Aug-03,1.06,0,4.44,0.85,0.21,0,1.27,1.27,12.26,0,0,0.42,0,0,6.98,50.32,0,0,1.06,8.46,0,0.63,0,0,7.4,0,3.38
ODP506B,Hydraulic piston core,0.61,-86.092,2711,"Pacific, eastern equ.",102,104,20.55,2,7,,,"Mart地ez et al. 2003, Paleoceanography 18, doi: 10.1029/2002PA000877",Thorsten Kiefer,25-Aug-03,0.28,0,3.37,0.56,0.56,0,0.84,0.56,12.08,0,0,0.56,0,0,7.02,49.16,0,0.28,0.84,9.55,0,0,0,0,9.83,0,4.49
ODP506B,Hydraulic piston core,0.61,-86.092,2711,"Pacific, eastern equ.",110,111,21.61,2,7,,,"Mart地ez et al. 2003, Paleoceanography 18, doi: 10.1029/2002PA000877",Thorsten Kiefer,25-Aug-03,0.31,0,5.02,0.94,0,0,0.31,0,8.15,0.31,0,0,0,0,2.51,59.87,0,0,0.31,6.27,0,0.63,0,0,10.03,0,5.33
ODP506B,Hydraulic piston core,0.61,-86.092,2711,"Pacific, eastern equ.",114,115,22.22,2,7,,,"Mart地ez et al. 2003, Paleoceanography 18, doi: 10.1029/2002PA000877",Thorsten Kiefer,25-Aug-03,1.68,0,5.03,0.28,1.4,0,1.68,0,10.06,0,0,0.28,0,0,3.07,59.22,0,0,1.4,4.19,0,0,0,0,10.34,0,1.4
ODP506B,Hydraulic piston core,0.61,-86.092,2711,"Pacific, eastern equ.",118,119,22.83,2,7,,,"Mart地ez et al. 2003, Paleoceanography 18, doi: 10.1029/2002PA000877",Thorsten Kiefer,25-Aug-03,2.91,0,3.49,0.29,1.16,0,1.16,0,13.08,0,0,0.29,0,0,2.62,54.07,0,0,0.58,3.49,0,0.29,0,0,11.05,0,5.52
ODP677B,Hydraulic piston core,1.202,-83.737,3461,"Pacific, eastern equ.",104,105,19.2,2,4,,,"Mart地ez et al. 2003, Paleoceanography 18, doi: 10.1029/2002PA000877",Thorsten Kiefer,25-Aug-03,0.87,0,7.51,0.29,0.58,0,0,0,6.36,0,1.16,0.29,0,0,7.8,58.09,0,0,0.29,1.73,0,0.29,0,0,9.25,0,5.49
ODP677B,Hydraulic piston core,1.202,-83.737,3461,"Pacific, eastern equ.",107,108,19.5,2,4,,,"Mart地ez et al. 2003, Paleoceanography 18, doi: 10.1029/2002PA000877",Thorsten Kiefer,25-Aug-03,1.66,0,3.65,0,0.66,0,0.33,0.66,5.65,0,0,0,0,0,9.3,61.46,0,0,0.33,2.66,0,0,0,0,10.63,0,2.99
ODP677B,Hydraulic piston core,1.202,-83.737,3461,"Pacific, eastern equ.",110,111,19.79,2,4,,,"Mart地ez et al. 2003, Paleoceanography 18, doi: 10.1029/2002PA000877",Thorsten Kiefer,25-Aug-03,2.08,0,5.64,0,0.59,0,0.59,0,6.53,0,0,0,0,0,5.64,63.8,0,0,0.59,3.86,0,0,0,0,7.12,0,3.56
ODP677B,Hydraulic piston core,1.202,-83.737,3461,"Pacific, eastern equ.",113,114,20.89,2,4,,,"Mart地ez et al. 2003, Paleoceanography 18, doi: 10.1029/2002PA000877",Thorsten Kiefer,25-Aug-03,1.35,0,6.74,0,1.35,0,0,0.27,6.74,0,0,0.54,0,0,6.74,52.83,0,0,0.54,4.85,0,0.27,0,0.27,13.75,0,3.77
ODP677B,Hydraulic piston core,1.202,-83.737,3461,"Pacific, eastern equ.",116,117,21.99,2,4,,,"Mart地ez et al. 2003, Paleoceanography 18, doi: 10.1029/2002PA000877",Thorsten Kiefer,25-Aug-03,1.95,0,3.58,0.33,1.3,0,0.98,0,4.89,0,0,0,0,0,5.21,63.19,0,0,1.3,2.61,0,0.33,0,0,11.07,0,3.26
ODP677B,Hydraulic piston core,1.202,-83.737,3461,"Pacific, eastern equ.",119,120,23.08,2,4,,,"Mart地ez et al. 2003, Paleoceanography 18, doi: 10.1029/2002PA000877",Thorsten Kiefer,25-Aug-03,0.63,0,4.76,0,0,0,0.32,2.22,6.03,0,0,0,0,0,8.57,51.75,0,0,1.9,3.81,0,0.32,0,0,14.92,0,4.76
ODP846B,Hydraulic piston core,-3.05,-90.49,3307,"Pacific, eastern equ.",78,79,19.79,2,9,,,"Mart地ez et al. 2003, Paleoceanography 18, doi: 10.1029/2002PA000877",Thorsten Kiefer,25-Aug-03,1.67,0,1.33,0,1,0,1.33,0.67,12.33,0.33,0,0,0,0,2.67,46.67,0,0.33,0,26.33,0,0,0,0,3.67,0,1.67
ODP846B,Hydraulic piston core,-3.05,-90.49,3307,"Pacific, eastern equ.",81,82,20.1,2,9,,,"Mart地ez et al. 2003, Paleoceanography 18, doi: 10.1029/2002PA000877",Thorsten Kiefer,25-Aug-03,0.58,0,0.58,0,0.58,0,0.29,0,26.53,0,0,0,0,0,4.08,48.69,0,0,0,11.95,0,0,0,0,5.25,0,1.46
ODP846B,Hydraulic piston core,-3.05,-90.49,3307,"Pacific, eastern equ.",85,86,20.42,2,9,,,"Mart地ez et al. 2003, Paleoceanography 18, doi: 10.1029/2002PA000877",Thorsten Kiefer,25-Aug-03,0.67,0.33,1.33,0.33,0,0,0.67,0,19.33,0,0,0.33,0,0,6.67,40,0,0,0.33,22.67,0,0.67,0,0,4,0,2.67
ODP846B,Hydraulic piston core,-3.05,-90.49,3307,"Pacific, eastern equ.",88,89,20.58,2,9,,,"Mart地ez et al. 2003, Paleoceanography 18, doi: 10.1029/2002PA000877",Thorsten Kiefer,25-Aug-03,0.24,0,0.94,0,0.47,0,0.47,0.47,21.41,0,0,0,0,0,12.24,40.24,0,0,0.24,16.24,0,0,0,0,2.59,0,3.53
ODP846B,Hydraulic piston core,-3.05,-90.49,3307,"Pacific, eastern equ.",89,90,20.73,2,9,,,"Mart地ez et al. 2003, Paleoceanography 18, doi: 10.1029/2002PA000877",Thorsten Kiefer,25-Aug-03,2.25,0,2.25,0,0.96,0,0,0.32,13.83,0.32,0,0,0,0,3.86,36.33,0,0.64,0.64,32.8,0,0.96,0,0,4.82,0,0
ODP846B,Hydraulic piston core,-3.05,-90.49,3307,"Pacific, eastern equ.",93,94,21.05,2,9,,,"Mart地ez et al. 2003, Paleoceanography 18, doi: 10.1029/2002PA000877",Thorsten Kiefer,25-Aug-03,1.65,0,1.32,0,0.33,0,0,0.33,18.48,0,0.33,0,0.33,0,2.31,52.48,0,0.33,0.33,15.18,0,0,0,0,4.62,0,1.98
ODP846B,Hydraulic piston core,-3.05,-90.49,3307,"Pacific, eastern equ.",97,98,21.36,2,9,,,"Mart地ez et al. 2003, Paleoceanography 18, doi: 10.1029/2002PA000877",Thorsten Kiefer,25-Aug-03,1.66,0,1.66,0,0.33,0,0.66,0,10.3,0,0.33,0,0,0,4.98,59.47,0,0.66,0,13.29,0,0,0,0,3.99,0,2.33
ODP846B,Hydraulic piston core,-3.05,-90.49,3307,"Pacific, eastern equ.",100,101,21.87,2,9,,,"Mart地ez et al. 2003, Paleoceanography 18, doi: 10.1029/2002PA000877",Thorsten Kiefer,25-Aug-03,1.23,0,1.84,0,0.61,0,0.31,0.92,15.03,0,0,0,0,0,13.8,51.23,0,0,0.31,9.51,0,0,0,0,3.07,0,1.53
ODP846B,Hydraulic piston core,-3.05,-90.49,3307,"Pacific, eastern equ.",104,104,22.38,2,9,,,"Mart地ez et al. 2003, Paleoceanography 18, doi: 10.1029/2002PA000877",Thorsten Kiefer,25-Aug-03,3.99,0,2.33,0,1.99,0,0,0,12.62,0,0,0,0.66,0,2.33,60.8,0,0.66,0.33,10.96,0,0,0,0,1,0,1.99
ODP846B,Hydraulic piston core,-3.05,-90.49,3307,"Pacific, eastern equ.",108,109,22.97,2,9,,,"Mart地ez et al. 2003, Paleoceanography 18, doi: 10.1029/2002PA000877",Thorsten Kiefer,25-Aug-03,5,0,1.92,0,0,0,0,0,6.15,0,0,0,0,0,4.23,60.77,0,0,0,15,0,0,0,0,4.23,0,2.69
TR163-11,,6.45,-85.822,1950,"Pacific, eastern equ.",36,37,19.79,3,1,,,"Mart地ez et al. 2003, Paleoceanography 18, doi: 10.1029/2002PA000877",Thorsten Kiefer,25-Aug-03,0.33,0,3.3,0,0.66,0,1.65,0,11.22,0,0,0,0,0,7.26,42.24,0,0.99,0.33,0,0,0,0,0,30.03,0,1.65
TR163-33,,-1.913,-82.568,2230,"Pacific, eastern equ.",76,,19.79,2,10,,,"Mart地ez et al. 2003, Paleoceanography 18, doi: 10.1029/2002PA000877",Thorsten Kiefer,25-Aug-03,1.13,0,1.69,0.28,0.28,0,0.85,0,18.08,0,0,0,0,0,9.04,53.95,0,0,0,9.32,0,0.56,0,0.28,1.69,0,2.82
TR163-33,,-1.913,-82.568,2230,"Pacific, eastern equ.",78,,19.99,2,10,,,"Mart地ez et al. 2003, Paleoceanography 18, doi: 10.1029/2002PA000877",Thorsten Kiefer,25-Aug-03,0.67,0,2,0,0.33,0,0.33,0,21,0,0,0,0,0,8.67,42,0,0,0,17.67,0,0,0,0,4,0.33,3
TR163-33,,-1.913,-82.568,2230,"Pacific, eastern equ.",82,,20.38,2,10,,,"Mart地ez et al. 2003, Paleoceanography 18, doi: 10.1029/2002PA000877",Thorsten Kiefer,25-Aug-03,1,0,1.33,0,0.33,0,1,0.33,20.67,0,0,0.33,0,0,7.67,48.33,0,0,0.67,11.33,0,1,0,0.33,2,0,3.67
TR163-33,,-1.913,-82.568,2230,"Pacific, eastern equ.",84,,20.58,2,10,,,"Mart地ez et al. 2003, Paleoceanography 18, doi: 10.1029/2002PA000877",Thorsten Kiefer,25-Aug-03,0.96,0,2.57,0,0.64,0,0.64,0,13.18,0,0,0,0,0,6.75,51.13,0,0,0,19.29,0,0,0,0.64,2.57,0,1.61
TR163-33,,-1.913,-82.568,2230,"Pacific, eastern equ.",86,,20.77,2,10,,,"Mart地ez et al. 2003, Paleoceanography 18, doi: 10.1029/2002PA000877",Thorsten Kiefer,25-Aug-03,3.09,0.31,3.4,0,0.62,0,0,0,19.14,0,0,0,0.31,0,6.17,45.06,0,0.31,0.31,16.36,0,0,0,0,2.47,0,2.47
TR163-33,,-1.913,-82.568,2230,"Pacific, eastern equ.",88,,20.97,2,10,,,"Mart地ez et al. 2003, Paleoceanography 18, doi: 10.1029/2002PA000877",Thorsten Kiefer,25-Aug-03,0.56,0,0.28,0,1.13,0,0.28,0,23.94,0,0,0,0,0,7.61,45.92,0,0,0,11.83,0,0.28,0,0.28,2.82,0,5.07
TR163-33,,-1.913,-82.568,2230,"Pacific, eastern equ.",90,,21.16,2,10,,,"Mart地ez et al. 2003, Paleoceanography 18, doi: 10.1029/2002PA000877",Thorsten Kiefer,25-Aug-03,3,0,1,0.33,0,0,0.67,0,16.67,0,0,0,0,0,9.33,44.67,0,0,0.33,20,0,0.33,0,0,1.67,0,2
TR163-33,,-1.913,-82.568,2230,"Pacific, eastern equ.",92,,21.36,2,10,,,"Mart地ez et al. 2003, Paleoceanography 18, doi: 10.1029/2002PA000877",Thorsten Kiefer,25-Aug-03,2.2,0,2.83,0,0.63,0,0,0,20.13,0,0,0,0.31,0,3.14,36.16,0,0,0.63,28.3,0,0,0,0,3.77,0,1.89
PC17,,21.36,-158.19,503,"Pacific, off Hawaii",370,,19.91,2,2.6,,,"Lee & Slowey 1999, Nature 397, 512-514",Thorsten Kiefer,26-Aug-03,0,1.28,33.46,10.6,12.07,0,2.19,2.74,2.56,7.68,0,7.68,0,0,0,0.18,0.18,0.18,0,0.18,2.93,0,0,1.46,4.02,0,8.96
PC17,,21.36,-158.19,503,"Pacific, off Hawaii",374,,21.44,2,2.6,,,"Lee & Slowey 1999, Nature 397, 512-514",Thorsten Kiefer,26-Aug-03,0,1.72,33.66,5.16,14,0,0.74,2.21,2.46,6.88,0,9.34,0,0,0,0,0.98,0.98,0,0.25,4.67,0,0,1.72,3.2,0.25,8.6
PC17,,21.36,-158.19,503,"Pacific, off Hawaii",378,,22.96,2,2.6,,,"Lee & Slowey 1999, Nature 397, 512-514",Thorsten Kiefer,26-Aug-03,0,2.4,29.33,6.97,17.55,0,1.2,3.37,1.68,7.21,0.24,6.73,0,0,0,0.24,0.24,0.24,0,0,3.6,0,0,1.2,1.44,0.24,12.74
GIK17940-2,,20.12,117.38,1727,"Pacific, South China Sea",875,,19.1,1,15,,,"Wang et al. 1999, Marine Geology 156, 245-284",Thorsten Kiefer,26-Aug-03,0.3,0.1,12.1,3.1,2.9,0,0.5,4.1,15.1,0.8,0.6,0,0.8,0.2,9.6,25,0,0,1.3,0.5,0.3,0.3,0,1.9,0.9,0,14.4
GIK17940-2,,20.12,117.38,1727,"Pacific, South China Sea",885,,19.77,1,15,,,"Wang et al. 1999, Marine Geology 156, 245-284",Thorsten Kiefer,26-Aug-03,0.7,0.2,11.7,3.5,2.4,0,0.5,3.3,14.9,0.8,0.2,0,0.5,0.1,10.4,23.6,0,0,1.4,3.7,0.1,1,0,1.1,1.6,0,14.6
GIK17940-2,,20.12,117.38,1727,"Pacific, South China Sea",895,,20.44,1,15,,,"Wang et al. 1999, Marine Geology 156, 245-284",Thorsten Kiefer,26-Aug-03,0.1,0.1,14.6,2,3.1,0,0.4,4.6,13,0.6,0.5,0,0.8,0,8.6,25.4,0,0,1.9,3,0.3,0.7,0,1.3,1.1,0,12.4
GIK17940-2,,20.12,117.38,1727,"Pacific, South China Sea",905,,21.1,1,15,,,"Wang et al. 1999, Marine Geology 156, 245-284",Thorsten Kiefer,26-Aug-03,0.8,0,15.5,1.9,3.4,0,0.9,3.2,13.9,0.9,0.1,0,0.9,0.2,9.1,23.5,0,0,2.8,2.9,0,0.6,0,1.2,0.7,0,13.1
GIK17940-2,,20.12,117.38,1727,"Pacific, South China Sea",915,,21.77,1,15,,,"Wang et al. 1999, Marine Geology 156, 245-284",Thorsten Kiefer,26-Aug-03,1.4,0,21.8,2.3,3.7,0,0.9,2.7,14.5,1.3,0.2,0,0.3,0.4,10.4,19.9,0,0,1.8,0.5,0,0.6,0,1.1,0.8,0,11.6
GIK17940-2,,20.12,117.38,1727,"Pacific, South China Sea",925,,22.44,1,15,,,"Wang et al. 1999, Marine Geology 156, 245-284",Thorsten Kiefer,26-Aug-03,2.3,0,14.7,1.1,3.5,0,1.2,0.9,11.4,1.7,0,0,1,0.1,9.8,24.4,0,0,0.7,1.6,0,0.8,0,1.5,1.8,0,13.4
GIK17940-2,,20.12,117.38,1727,"Pacific, South China Sea",935,,23.06,1,15,,,"Wang et al. 1999, Marine Geology 156, 245-284",Thorsten Kiefer,26-Aug-03,0.6,0.3,14.6,1.7,3.9,0,1.1,3.3,15,1.1,0.5,0,0.9,0.2,9.1,27.2,0,0,0.9,0.1,0.3,1.5,0,0.8,1.3,0,12.6
GIK17954,,14.8,111.53,1520,"Pacific, South China Sea",102.5,,19.881,2,7,,,"Wang et al. 1999, Marine Geology 156, 245-284",Thorsten Kiefer,26-Aug-03,0.6,0,30.3,0.5,7.9,0.3,1.9,3.4,7.7,0,2.7,0.2,0,0,11.6,11.8,0,0,3.2,2.1,0,0.3,0,3.5,2.9,0.2,8.6
GIK17954,,14.8,111.53,1520,"Pacific, South China Sea",112.5,,21.306,2,7,,,"Wang et al. 1999, Marine Geology 156, 245-284",Thorsten Kiefer,26-Aug-03,2.1,0.3,29.1,0.8,8.4,1,1.8,2.3,6.5,0,1.7,0.7,0,0,14,13.9,0,0,3.4,0.8,0,0.7,0,1.9,4.3,0,6.7
GIK17954,,14.8,111.53,1520,"Pacific, South China Sea",122.5,,22.731,2,7,,,"Wang et al. 1999, Marine Geology 156, 245-284",Thorsten Kiefer,26-Aug-03,0.8,0.6,28.5,0,10.9,2.5,4.3,4.9,6.6,0.6,1.3,0.2,0,0.2,12.4,8.9,0,0,3.8,0.9,0.8,1.9,0.2,1.1,2.3,0,7.4
6706-2,,42.16,-124.94,1120,"Pacific, NE",259,260,16-22,3,,,,"Ortiz, J.D., A.C. Mix, S. Hostetler, and M. Kashgarian, 1997, The California Current of the Last Glacial Maximum at 42oN: Reconstruction Based on Multiple Proxies, Paleoceanography, 12, 191-206, 1997",Thorsten Kiefer,26-Aug-03,0,0,0,0,0,0,0,0,38.8,0,0,0,3.3,54,0.9,0.9,0,0,0,0,0,0,0,0,0,0,2.1
W8709A-13PC,,42.12,-125.75,2717,"Pacific, NE",275,276,16-22,2,22,,,"Ortiz, J.D., A.C. Mix, S. Hostetler, and M. Kashgarian, 1997, The California Current of the Last Glacial Maximum at 42oN: Reconstruction Based on Multiple Proxies, Paleoceanography, 12, 191-206, 1997",Thorsten Kiefer,26-Aug-03,0,0,0,0,0,0,0,0,35.4,0,0,0,4.2,51.5,3.3,0,0,0,0,0,0,0,0,0.4,0,0,5.3
W8809A-53GC,,42.75,-126.26,2408,"Pacific, NE",168,169,16-22,2,8,,,"Ortiz, J.D., A.C. Mix, S. Hostetler, and M. Kashgarian, 1997, The California Current of the Last Glacial Maximum at 42oN: Reconstruction Based on Multiple Proxies, Paleoceanography, 12, 191-206, 1997",Thorsten Kiefer,26-Aug-03,0,0,0,0,0,0,0,0,42.6,0,0,0,5.3,41.5,2.1,2.4,0,0,0,0,0,0,0,0,0,0,5.9
W8809A-21GC,,42.14,-126.91,2799,"Pacific, NE",140,141,16-22,2,,,,"Ortiz, J.D., A.C. Mix, S. Hostetler, and M. Kashgarian, 1997, The California Current of the Last Glacial Maximum at 42oN: Reconstruction Based on Multiple Proxies, Paleoceanography, 12, 191-206, 1997",Thorsten Kiefer,26-Aug-03,0,0,0,0,0,0,0,0,23.7,0,0,0,7.4,54.4,3.5,1.1,0,0,0,0,0,0,0,1.1,0,0,8.5
W8709A-08PC,,42.26,-127.68,3111,"Pacific, NE",22,23,16-22,2,14,,,"Ortiz, J.D., A.C. Mix, S. Hostetler, and M. Kashgarian, 1997, The California Current of the Last Glacial Maximum at 42oN: Reconstruction Based on Multiple Proxies, Paleoceanography, 12, 191-206, 1997",Thorsten Kiefer,26-Aug-03,0,0,1.1,0,0,0,0,0,26.6,0,0,0,4.2,54.2,4.5,3.1,0,0,0,0.3,0,0,0,0.3,0,0,5.9
W8809A-29GC,,41.8,-129,3136,"Pacific, NE",156,157,16-22,2,3,,,"Ortiz, J.D., A.C. Mix, S. Hostetler, and M. Kashgarian, 1997, The California Current of the Last Glacial Maximum at 42oN: Reconstruction Based on Multiple Proxies, Paleoceanography, 12, 191-206, 1997",Thorsten Kiefer,26-Aug-03,0,0,0,0,0,0,0,0,43.3,0,0,0,9.2,38.3,3.3,0.8,0,0,0,0,0,0,0,0.8,0,0,4.2
W8809A-31GC,,41.68,-130.01,3136,"Pacific, NE",15,16,16-22,2,2,,,"Ortiz, J.D., A.C. Mix, S. Hostetler, and M. Kashgarian, 1997, The California Current of the Last Glacial Maximum at 42oN: Reconstruction Based on Multiple Proxies, Paleoceanography, 12, 191-206, 1997",Thorsten Kiefer,26-Aug-03,0.9,0,0,0,0,0,0,0,36.8,0,0,0,10.7,40.2,3.8,0.5,0,0,0,0,0,0,0,1.1,0,0,5.8
W8909A-57GC,,41.58,-130.62,3330,"Pacific, NE",22,23,16-22,2,1.5,,,"Ortiz, J.D., A.C. Mix, S. Hostetler, and M. Kashgarian, 1997, The California Current of the Last Glacial Maximum at 42oN: Reconstruction Based on Multiple Proxies, Paleoceanography, 12, 191-206, 1997",Thorsten Kiefer,26-Aug-03,0.6,0,0,0,0,0,0,0,45.2,0,0,0,4.7,37,3.6,1.8,0,0,0,0,0,0,0,0,0,0,7.1
W8709A-01BC,,41.54,-131.96,3680,"Pacific, NE",21,22,16-22,3,,,,"Ortiz, J.D., A.C. Mix, S. Hostetler, and M. Kashgarian, 1997, The California Current of the Last Glacial Maximum at 42oN: Reconstruction Based on Multiple Proxies, Paleoceanography, 12, 191-206, 1997",Thorsten Kiefer,26-Aug-03,0.2,0,0,0,0,0,0,0,27.5,0,0,0,0,42.8,25,4.7,0,0,0,0,0,0,0,0,0,0,0
W8909A-48GC,,41.33,-132.67,3670,"Pacific, NE",17,18,16-22,3,,,,"Ortiz, J.D., A.C. Mix, S. Hostetler, and M. Kashgarian, 1997, The California Current of the Last Glacial Maximum at 42oN: Reconstruction Based on Multiple Proxies, Paleoceanography, 12, 191-206, 1997",Thorsten Kiefer,26-Aug-03,0.6,0,0,0,0,0,0,0,32.4,0,0,0,1,35.2,26.3,3.8,0,0,0,0,0,0,0,0,0,0,0
CHAT 1K,,-41.58,-171.5,3556,Pacific SW,40,,19.9,3,3,,,"Weaver et al., 1998, Paleoceanography 13, 70-83",Thorsten Kiefer,27-Aug-03,0.65,0,0.33,0,0,0,0,0.33,14.01,2.61,0,0,3.26,0.33,28.66,2.61,0,0,0,34.2,5.21,3.58,0,0.33,0,0,3.91
CHAT 1K,,-41.58,-171.5,3556,Pacific SW,50,,23.29,3,3,,,"Weaver et al., 1998, Paleoceanography 13, 70-83",Thorsten Kiefer,27-Aug-03,0.26,0,0.26,0,0,0,0,0,18.25,3.86,0,0,3.34,0,32.9,5.14,0,0,0,22.62,5.92,4.63,0,0,0,0,2.83
RC8-94,,-27.283,-102.083,233,Pacific,16,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,1.2,15.61,33.82,6.76,0.99,0,0.94,1.98,3.17,4.68,0.42,0.78,0,0,0,0,0.16,0.62,0,1.04,8.43,3.23,0,0,0.31,0.1,15.76
