Core,Latitude,Longitude,Coring device,Water depth (m),Sample depth - upper (m),Chronostratigraphic quality (chronozone level),sedimentation rate (cm/ky),Publication,added by (name),date of addition,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber,Globoturborotalita tenella,Globigerinoides sacc,Sphaeroidinella dehiscens,Globigerinella adamsi,Globigerinella siphonifera,Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita humilis,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides,Globorotalia crassaformis,Globorotalia crassula,Globorotalia hirsuta,Globorotalia scitula,Dentagloborotalia anfracta,Globorotalia menardii,Globorotalia tumida,Globorotalia menardii flexuosa,Candeina nitida ,Globigerinita glutinata,Globorotalia theyeri,Tenuitella iota,Globigerinita uvula,Other ID
V29-015,11.95,88.733,,3173,0.7,4,3.398058252,Prell (1985),TTB,37622,0.8,2,,5,,1.1,,2.8,2,7.8,0.8,0.6,0.3,,0,0,0,16.5,7,0.8,3.9,0,0,0,,0,0,,,,,,23.2,,,,
V29-029,5.116666667,77.58333333,,2673,0.8,2,3.883495146,Prell et al. (1980),TTB,37622,3,1,,5,,0,0,7,3,47,4,0,4,0,0,0,1,74,1,6,16,0,0,1,,0,2,,29,1,0,0,61,,,,
V29-030,3.083333333,76.25,,3651,0.8,4,3.883495146,Prell et al. (1980),TTB,37622,4,0,,4,,0,1,6,5,18,1,1,1,0,0,0,11,53,3,9,40,0,0,1,,0,1,,61,1,0,0,37,,,,
V29-045,-6,69.817,,2860,0.4,3,1.941747573,CLIMAP (1981),TTB,37622,6,1,,4,,0,0,8,2,19,0,3,6,1,0,1,18,27,1,5,18,0,0,3,,0,0,,25,2,0,0,67,,,,
V29-048,-6.266666667,63.43333333,,3882,0.2,2,0.970873786,Prell et al. (1980),TTB,37622,3,11,,2,,1,0,15,9,9,0,3,2,0,0,0,12,47,1,6,14,0,0,2,,0,4,,39,4,0,0,26,,,,
V29-064,-27.283,74.867,,3404,0.3,3,1.45631068,CLIMAP (1981),TTB,37622,8,4,,2,,0,0,12,12,14,2,7,5,0,0,0,2,0,0,0,0,22,35,2,,3,12,,0,0,0,1,26,,,,
V33-065,-22.73333333,112.5833333,,1692,0.4,3,1.941747573,Wells and Wells (1994),TTB,37622,1,0,,9,,0,0,11,0,6,7,0,1,0,0,2,6,17,0,0,6,104,6,0,,0,1,,4,1,0,1,55,,,,
V34-087,13.273,57.348,,2144,1,4,4.854368932,Prell (1985),TTB,37622,1.6,0,,1,,0,,1.2,3.4,25,12.5,0,2,,0,0,0,10.3,0,0.2,2.2,0,0.6,0.2,,0,0.6,,,,,,17.7,,,,
V34-088,16.54,59.755,,2171,1,4,4.854368932,Prell (1985),TTB,37622,2.1,0,,2.7,,0,,0.6,4,21,10.6,0,4.3,,2.1,0,0.3,11.2,0,0.3,0.9,0,1.2,0,,0,0.9,,,,,,19.5,,,,
V34-091,20.937,64.033,,3393,0.7,4,3.398058252,Prell (1985),TTB,37622,1.6,0.6,,1,,0,,3.5,2.5,16.8,4.4,0.3,0.6,,0,0.3,0,13,0,0.3,4.1,0,1.3,0,,0,0,,,,,,9.5,,,,
V34-092,21.148,65.118,,3166,0.85,4,4.126213592,Prell (1985),TTB,37622,9.3,0,,0.8,,0,,7,3.5,3.1,20.6,0.8,0,,0,0,0,2.7,0,0,1.9,0,0,0,,0,0,,,,,,5.8,,,,
V34-101,17.488,67.423,,3038,0.4,4,1.941747573,Prell (1985),TTB,37622,2.8,1.2,,1.9,,0,,1.4,3.5,5.1,4.7,0.3,0.7,,0,0,0,6.3,0,0,5.6,0,0.7,0,,0,0.5,,,,,,17.5,,,,
V34-109,19.733,66.083,,2742,0.8,4,3.883495146,Prell (1985),TTB,37622,6.1,0.3,,1.8,,0,,2.6,4.7,5.8,10,0,1.3,,0,0,0,6.1,0,0.3,4.5,0,0.8,0,,0,0,,,,,,15,,,,
V34-111,17.617,63.883,,3623,0.6,4,2.912621359,Prell (1985),TTB,37622,1.9,3.1,,1.9,,0.3,,3.8,3.4,5,4.4,0.3,0.3,,0,0,0,9.1,0,0,4.1,0,2.2,0,,0,0,,,,,,14.4,,,,
Z2108,-33.3765,161.6125,,1448,0.75,2,3.640776699,"Nelson et al., (1993b); Barrows et al. (2000)",TTB,37622,7,0,,1,,0,0,0,10,49,20,0,1,0,104,2,51,37,1,0,0,110,11,5,,1,5,,1,0,,0,26,,,3,
Z2112,-33.53,166.53,,2858,0.935,2,4.538834951,Samson (1996),TTB,37622,5,0,,0,,0,0,4,7,69,31,0,3,1,0,3,193,6,0,0,0,140,17,10,0,2,2,0,0,0,0,0,8,0,0,0,6
