,bn,bs,sn,ss,sst,sal,po4,light,chl_total,fe,mld
242,0.5593706507247698,0.4040857112753884,0.031207204953661385,0.005336433046180583,6.17482,34.95522,3.630724e-07,223.01642,3.1564732,6.071314e-10,139.62614
243,0.5608959751075634,0.39655498177367493,0.03338261410539174,0.009166429013369911,6.6106377,34.942085,3.1684223e-07,223.01642,3.1032834,5.893246e-10,135.63768
244,0.5465213252832108,0.3838049002571863,0.046164868258311474,0.023508906201291393,8.075062,35.00256,2.811447e-07,223.01642,2.9890769,5.870674e-10,131.58768
245,0.5018249008727329,0.38775478957207127,0.07905128522465094,0.03136902433054479,10.738941,35.1136,2.792176e-07,223.01642,2.7502217,6.133988e-10,171.77306
246,0.49666464785403286,0.402516744872208,0.08071061065715533,0.020107996616603667,10.72783,35.114952,3.0904306e-07,223.01642,2.719473,6.2803546e-10,199.62221
247,0.5187951166836955,0.4017291130884779,0.07000856347341369,0.00946720675441295,9.894663,35.08533,3.4391064e-07,223.01642,2.7482316,6.2580197e-10,217.09206
248,0.5373797598593603,0.4015814087052093,0.06103882956696705,1.868463533916332e-09,9.203391,35.064995,3.8371488e-07,223.01642,2.7554843,6.2768923e-10,231.69179
249,0.5420941658273203,0.40472658932843364,0.053179243692118044,1.1521280403904112e-09,8.4686985,35.039776,4.275433e-07,223.01642,2.805677,6.2978145e-10,228.0848
250,0.5454108513996956,0.40556739869296954,0.04902174865036716,1.256967633608457e-09,8.005601,35.02258,4.432784e-07,223.01642,2.8775926,6.249514e-10,215.858
251,0.5457379262554112,0.4057469947835802,0.04770526604989789,0.0008098129111107326,7.7951717,35.010788,4.4299173e-07,223.01642,2.939562,6.152771e-10,202.9645
252,0.5195994382789466,0.348420629233219,0.07286447990290235,0.059115452584931914,11.282232,35.094807,1.6981696e-07,243.45715,2.720039,5.28654e-10,136.76363
253,0.5731729718318462,0.3115784885763209,0.059590953703173216,0.05565758588865961,11.682787,35.11481,1.3516785e-07,243.45715,2.4992483,5.2013893e-10,124.076645
254,0.6879537600766001,0.2695581644349219,0.017807057109206412,0.024681018379271582,12.378347,35.127563,1.02390345e-07,243.45715,2.2487228,5.1845245e-10,106.20492
255,0.9999998138718313,1.5501132059029168e-07,1.8763419679332248e-08,1.2353428491819269e-08,13.112479,35.193993,8.406256e-08,243.45715,1.861762,5.4585086e-10,124.03113
257,9.228612859031781e-08,5.689716980339371e-08,2.3126056384693373e-08,0.9999998276906452,17.971376,34.898697,2.8820676e-08,243.45715,1.7883576,3.3093472e-10,39.324993
258,0.2588219382010018,0.2061763084161882,0.2543058758386003,0.28069587754420977,19.731869,34.90271,1.0751434e-08,243.45715,1.1901762,3.1142777e-10,31.122252
259,0.2804134441134892,0.23948921288300928,0.22821285978117375,0.2518844832223277,19.258617,34.97742,1.347904e-08,243.45715,1.2902218,3.084062e-10,35.798912
260,0.5648444335007508,0.2527610726991023,0.09284167103313842,0.08955282276700835,17.4459,35.095337,4.863047e-08,243.45715,1.6715269,3.2053504e-10,64.02047
261,0.43506744633645267,0.2510061353189324,0.1678238883325693,0.14610253001204557,17.413029,35.148254,3.2590094e-08,243.45715,1.3730941,3.0855796e-10,64.28352
262,0.5102679332572239,0.27193441924347594,0.11429323472583325,0.10350441277346693,16.788961,35.153564,3.61467e-08,243.45715,1.513461,3.0708183e-10,66.17236
263,0.585176606982586,0.2756962433144252,0.0701602169424214,0.06896693276056723,16.102713,35.144756,4.1952124e-08,243.45715,1.661463,3.073836e-10,64.30254
264,0.9999997348793285,2.053520983001756e-07,2.5333111374203858e-08,3.443546177422733e-08,15.121989,35.13856,5.917043e-08,243.45715,1.9008502,3.147742e-10,75.30498
265,0.5856524580750033,0.2461311816111049,0.07141055132832429,0.09680580898556751,13.922476,35.130608,8.597557e-08,243.45715,2.217285,3.289445e-10,92.952934
266,0.5619550570593155,0.29063969432144127,0.06868978044009456,0.07871546817914882,12.846011,35.115707,1.0842666e-07,243.45715,2.3614013,3.4141096e-10,104.17177
267,0.556269976220393,0.3108080395649635,0.06145844228828317,0.07146354192636033,12.061382,35.09953,1.2215547e-07,243.45715,2.4727101,3.4837255e-10,105.8238
268,0.5729089076060915,0.3144858881626848,0.04967274372447611,0.0629324605067477,11.72734,35.09247,1.1983461e-07,243.45715,2.469456,3.4580508e-10,102.7214
269,0.7697684492279465,0.2302315431270209,3.0728953707223064e-09,4.572137142151233e-09,12.1172285,35.106808,8.5969525e-08,243.45715,2.2092001,3.3278086e-10,85.25158
270,0.5151493937056993,0.3108512188581424,0.08748721219028915,0.0865121752458691,13.678061,35.118073,3.804471e-08,243.45715,1.6665914,4.539823e-10,58.136086
273,0.6723056465467824,0.08449211949625791,1.0043684297565906e-08,0.24320222391327556,15.181279,35.236603,5.8553205e-08,243.45715,2.0696602,5.706408e-10,50.625435
274,0.8388882206067707,0.11872819937594128,0.03505194504282911,0.007331634974458741,13.887589,35.271496,8.9365e-08,243.45715,2.055278,5.8956084e-10,102.94493
275,0.577533302898053,0.3121806555667665,0.07018622487456139,0.04009981666061912,12.04189,35.225975,1.355233e-07,243.45715,2.3918188,6.0019845e-10,140.45105
276,0.5468501580574816,0.3531303454379929,0.056480967216708866,0.04353852928781659,10.278974,35.143093,1.7571921e-07,243.45715,2.7212198,5.9444716e-10,134.53873
277,0.5431730371871161,0.36220942522122773,0.048301930992846645,0.04631560659880943,9.526604,35.097294,1.7479573e-07,243.45715,2.8553095,5.778631e-10,116.10748
278,0.5602943343133044,0.3551687095163895,0.03834267825493147,0.046194277915374414,9.216087,35.048313,1.5770856e-07,243.45715,2.8578007,5.5080535e-10,107.155876
279,0.6246175352750742,0.3415284675649296,0.012144690263757403,0.02170930689623879,9.917561,35.032425,1.1863276e-07,243.45715,2.5615497,5.7266925e-10,105.527824
280,0.5993624836844076,0.3284115243765497,0.026029618530165197,0.04619637340887751,11.118374,35.10195,1.3552538e-07,243.45715,2.495295,5.7480326e-10,96.837395
281,0.6544591382754457,0.136222902429493,0.1172896362935162,0.09202832300154497,15.041052,35.180656,9.606026e-08,243.45715,2.0456445,5.798049e-10,105.848076
282,0.718564124249888,0.20671319015267536,0.04665865047433272,0.02806403512310396,15.425841,35.169697,6.2726784e-08,243.45715,1.7015969,5.788078e-10,104.1125
283,0.6559933520074853,0.17472815787776547,0.1167793962826432,0.052499093832106075,14.270558,35.158524,9.738401e-08,243.45715,2.091756,5.7468225e-10,139.6736
284,0.5233673873875094,0.31159191234329464,0.0960213703963622,0.06901932987283357,13.089851,35.138977,1.3810512e-07,243.45715,2.4440649,5.7347654e-10,151.01173
285,0.4997683846332101,0.35484572297495065,0.08453980028062748,0.06084609211121181,11.899684,35.111828,1.8629522e-07,243.45715,2.7281961,5.7468486e-10,154.74586
286,0.49818299925758774,0.3677254781231741,0.07578853994799314,0.05830298267124518,11.049971,35.087345,2.1461184e-07,243.45715,2.8871355,5.6835553e-10,145.90045
287,0.5016835269449952,0.36679225388407277,0.0717704822341282,0.05975373693680394,10.773097,35.07573,2.086656e-07,243.45715,2.9228532,5.5146e-10,135.23378
288,0.5225046919941498,0.30202935421188115,0.09040728032531588,0.08505867346865315,14.832258,35.14332,3.8409954e-08,260.78278,1.6520574,4.7603765e-10,75.21016
293,0.497364578319513,0.25287133533244016,0.13050420620100642,0.11925988014704055,18.669048,34.97584,3.876527e-08,260.78278,1.5031171,3.3741118e-10,61.92962
294,0.3829437532283007,0.2250887246112687,0.21282340270181874,0.1791441194586118,18.467714,35.063057,2.9053922e-08,260.78278,1.2929592,3.1801226e-10,73.60867
295,0.3832150482797081,0.22828932164493362,0.2160008517379732,0.17249477833738508,18.127686,35.116013,2.877018e-08,260.78278,1.2877781,3.1371147e-10,82.35958
296,0.42887345004422656,0.23535218599101676,0.19645864962935258,0.13931571433540402,17.500376,35.18375,3.3910105e-08,260.78278,1.3058338,3.1173547e-10,95.05968
297,0.48029154742873187,0.24103840896620718,0.17017665693244471,0.10849338667261615,16.971157,35.23453,4.3277666e-08,260.78278,1.3362008,3.121423e-10,118.105095
298,0.43908201148694165,0.24125179080089548,0.19113763476489443,0.1285285629472684,16.61433,35.25333,3.8992273e-08,260.78278,1.2948968,3.0869496e-10,118.46628
299,0.4057938134413763,0.24161578909585138,0.1998174472166303,0.15277295024614193,16.538815,35.233208,3.2150595e-08,260.78278,1.2796031,3.031946e-10,96.38779
300,0.3268282929413353,0.2154107388148453,0.23405012615710677,0.22371084208671269,17.026592,35.18668,1.9402785e-08,260.78278,1.2111287,2.9037833e-10,61.219105
301,0.2746352080948412,0.23466478801679147,0.23303351936622696,0.2576664845221403,17.677118,35.104553,1.0437182e-08,260.78278,1.192265,2.737758e-10,30.633902
302,0.35804253461539676,0.29508549658440414,0.16262155028049924,0.1842504185196998,16.092463,35.108044,2.224371e-08,260.78278,1.4723566,2.8247357e-10,49.645184
303,0.40609116061963546,0.31369369464370167,0.13296887840846275,0.14724626632820004,15.176422,35.103397,2.7201665e-08,260.78278,1.5815145,2.8473268e-10,54.96589
304,0.39232446106007035,0.3165699220107286,0.13405892188507998,0.157046695044121,15.042648,35.09779,2.5152215e-08,260.78278,1.5798594,2.8005734e-10,46.428085
305,0.44400703394978697,0.3076107904704565,0.12077845471870034,0.12760372086105617,14.822852,35.131798,3.099574e-08,260.78278,1.5722789,2.9290065e-10,59.978985
306,0.5382910618829275,0.3025684024659931,0.0866011679799346,0.0725393676711447,13.779491,35.19548,4.6703992e-08,260.78278,1.6608586,4.9723325e-10,91.65154
309,0.5947630083705682,0.2696518774987591,0.06537100224753921,0.07021411188313346,16.606815,35.293915,4.4284366e-08,260.78278,1.6698645,5.544181e-10,57.739002
310,0.3995609040957295,0.26291379411390936,0.17763253431154866,0.15989276747881254,16.47573,35.315403,2.8581194e-08,260.78278,1.3554466,5.639899e-10,71.886345
311,0.5562499974222227,0.2852374889962121,0.08426225542688263,0.07425025815468249,15.124314,35.30097,3.8985227e-08,260.78278,1.5909464,5.742639e-10,82.84496
312,0.999999826514564,1.4765491928223549e-07,1.0595770037291327e-08,1.523474675794367e-08,13.267449,35.20362,5.3636708e-08,260.78278,2.0218995,5.514265e-10,71.17082
313,0.6566486411989508,0.2681095610392438,0.02984347000054243,0.045398327761262916,12.897142,35.147102,3.9610086e-08,260.78278,1.9996943,5.1903287e-10,50.642643
314,0.5903544501550065,0.30610325071304767,0.044473365780836736,0.059068933351108945,12.6695595,35.102676,3.7411517e-08,260.78278,1.9565542,5.0692067e-10,49.677174
315,0.5169733747263953,0.3186710295067069,0.0826063871987677,0.08174920856813013,12.924085,35.045914,3.7885723e-08,260.78278,1.7193807,7.06366e-10,75.54627
317,0.5123474410331338,0.26705394514879577,0.12129073519882275,0.09930787861924774,16.814291,35.17869,4.114645e-08,260.78278,1.4877155,5.660148e-10,76.39681
318,0.5399874949745996,0.25512779598961377,0.13052584403943845,0.07435886499634818,16.2501,35.16389,5.035541e-08,260.78278,1.4345852,5.763025e-10,133.16217
