Event,Latitude,Longitude,Elevation [m],Depth [m],Sample comment,O. universa [#],G. conglobatus [#],G. ruber p [#],G. ruber w [#],G. ruber [#] (sum of G. ruber pink and G. r...),G. tenellus [#],G. sacculifer wo sac [#],G. sacculifer sac [#],G. sacculifer [#] (sum of G. sacculifer no sac a...),S. dehiscens [#],G. adamsi [#],G. aequilateralis [#],G. calida [#],G. bulloides [#],G. falconensis [#],G. digitata [#],G. rubescens [#],G. humilis [#],G. quinqueloba [#],N. pachyderma s [#],N. pachyderma d [#],G. dutertrei [#],G. conglomerata [#],G. hexagona [#],P. obliquiloculata [#],G. inflata [#],G. truncatulinoides s [#],G. truncatulinoides d [#],G. crassaformis [#],G. pachyderma [#],G. hirsuta [#],G. scitula [#],G. anfracta [#],G. menardii [#],G. tumida [#],G. tumida flexuosa [#],"G. menardii [#] (sum of G. menardii, G. tumida...)",C. nitida [#],G. glutinata [#],G. iota [#],G. bradyi [#],G. pumilio [#],H. pelagica [#],H. digitata [#],Foram plankt oth [#]
RC11-116,-34.92,67.583,-4548,0,,2,2,0,3,3,0,1,0,1,0,0,1,3,15,0,0,0,0,0,5,52,0,0,0,0,170,23,1,0,25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RC11-117,-36.48,69.55,-4367,0,,1,0,0,6,6,0,0,0,0,0,0,2,0,31,2,2,1,0,3,4,78,0,0,0,0,73,16,0,1,38,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2
RC11-12,0.917,-43.77,-4145,0,,3,5,9,129,138,0,64,21,85,0,0,17,3,0,0,0,0,0,0,0,0,12,0,0,17,0,0,0,0,0,0,0,0,33,4,0,37,0,19,0,0,0,0,0,8
RC11-122,-38.03,83.483,-3490,0,,5,0,0,4,4,0,0,0,0,0,0,4,10,70,27,2,1,0,5,0,26,3,0,0,0,47,24,1,0,38,6,0,0,0,0,0,0,0,9,0,0,0,0,0,3
RC11-128,-28.07,95.967,-3926,0,,9,6,0,76,76,1,7,1,8,0,0,15,4,18,5,7,1,0,0,4,3,0,0,0,0,76,25,23,0,0,7,2,0,5,1,0,6,0,8,0,0,0,0,0,2
RC11-13,1.683,-41.52,-4378,0,,2,6,1,56,57,0,65,30,95,4,0,10,1,0,0,3,0,0,0,0,0,18,0,0,23,0,0,0,1,0,0,0,0,67,36,0,103,0,6,0,0,0,0,0,5
RC11-138,-33.8,112.98,-3069,0,,2,0,0,50,50,4,5,1,6,0,0,6,5,29,10,0,1,0,0,0,5,23,0,0,0,87,9,2,0,1,1,6,0,4,1,0,5,0,20,0,0,0,0,0,0
RC11-139,-33.8,112.98,-3157,0,,2,1,0,8,8,0,3,0,3,0,0,3,2,14,2,0,0,0,0,2,0,1,0,0,0,41,13,0,0,1,1,1,0,2,1,0,3,0,3,0,0,0,0,0,0
RC11-141,-31.57,114.12,-4347,0,,0,0,0,16,16,0,0,0,0,0,0,2,1,5,0,0,0,0,1,0,1,19,0,0,0,196,7,2,0,0,4,1,0,18,0,0,18,0,10,0,0,0,0,0,0
RC11-146,-21.42,112.8,-2371,0,,2,3,0,108,108,11,17,4,21,0,0,6,16,28,10,0,10,0,0,0,0,25,0,0,6,1,0,1,1,2,0,2,0,24,1,2,27,0,51,0,0,0,0,0,3
