corename,latitude,longitude,depth, Orbulina universa, Globigerinoides conglobatus, Globigerinoides ruber (total of pink & white), Globigerinoides tenellus, Globigerinoides sacculifer (total), Sphaeroidinella dehiscens, Globigerinella aequilateralis, Globigerina calida , Globigerina bulloides, Globigerina falconensis, Globigerina digitata, Globigerina rubescens, Globigerina quinquiloba," Neogloboquadrina pachyderma, left coiling"," Neogloboquadrina pachyderma, right coiling", Neogloboquadrina dutertrei (includes p/d intergrade), Globoquadrina conglomerata, Globoquadrina hexagona, Pulleniatina obliquiloculata, Globorotalia inflata," Globorotalia truncatulinoides, left coiling"," Globorotalia truncatulinoides, right coiling", Globorotalia crassaformis, Globorotalia hirsuta, Globorotalia scitula, Globigerinita glutinata
V 22168,-17.467,-5.183,31,3.2,0.3,10.3,0,5.8,0,2.1,0.3,2.6,2.4,0,0,0,0.5,2.9,10.3,0,0,0.5,34.9,2.4,15.3,2.1,0,0.3,3.7
V 22171,-13.1,-9.333,20,0.6,0.6,29.5,1.4,4.8,0,2.5,2.5,1.7,13.9,0.3,1.7,0,0,2.3,7.1,0,0,0,8.5,0.3,3.7,2.5,0,1.7,14.4
V 22171,-13.1,-9.333,20,0.7,0.7,26.8,2.3,9.2,0,3.3,2.3,4.6,12.1,0.7,0.3,0,0,0.7,9.2,0,0,0,6.2,0,4.2,2.9,0.3,0.3,13.4
V 22172,-12.667,-9.817,20,0.4,1.2,27,2.2,8.7,0,2,2,2,12.6,0.4,0.6,0.3,0,0.1,10.3,0,0,0.3,10.7,0.7,4.4,3.8,0.1,0.9,9.1
V 22174,-10.067,-12.817,57,0.8,1.7,26.8,1.7,9.5,0,4.2,1.1,3.6,4.7,0.6,6.1,0,0,0.6,14.2,0,0,0.3,7.8,0.3,4.7,2,0,1.7,7.5
V 22177,-7.75,-14.601,70,2.3,0.2,23,0.2,14.4,0,3.7,0.9,2.3,0,0.2,2.1,0,0,3,21.2,0,0,0.5,10.7,0,4,2.1,0,1.6,7.4
V 22182,-0.535,-17.267,71,0.2,0,10.5,0.2,6.9,0,0.8,0.4,5.1,0.4,0.2,0,0.2,1.2,3.2,43.4,0,0.2,0.4,14.1,0.2,5.7,1.6,0,0,5.1
V 24221,-32.033,-2.817,30,2.2,0.3,7.5,0,0.3,0,0.6,0,8.7,22.6,0,0,0.8,0.3,10.3,4.5,0,0,0,25.4,9.5,0,0.3,4.5,0.6,1.7
V 24229,-34.45,-10.6,30,0,0,4.3,0,0,0,0,0,17.9,15.8,0,0,1.8,0,21.6,6.7,0,0,0,17.3,8.5,0,0.3,3.6,0.6,1.5
V 24235,-33.25,-19.55,10,0.3,0.3,14.3,0.6,0.3,0,0.6,0.6,5.4,26,0.3,0.3,0,0.3,13.7,0.6,0,0,0,17.1,11.1,0.6,0,2.9,3.4,1.4
V 24237,-32.2,-26.733,10,0.3,0,17.6,0.3,0.6,0,0.9,0,0.6,6.8,0,0,0,0.6,29.8,15.2,0,0,0,14.9,7.1,0,0,3.3,1.5,0.6
V 24240,-31.733,-28.2,20,0.5,1.1,16,0,0.8,0,0.3,0,1.9,3.5,0.5,0,0,0.8,35.1,13,0,0,0,14.4,7.6,0.5,0,3.3,0,0.5
V 25 56,-3.536,-35.219,99,1.1,0.3,45.8,0.3,20.3,0,3.4,0,0.3,0.8,0,2.8,0,0,0.3,6.5,0,0,0,1.1,0,4.8,0,0,0.3,11.9
V 26 53,0.3,-14.8,50,0,0,1.1,0,6.9,0,0.7,0,0.2,0,0.7,0,0,0,0.2,74.8,0,0,0,0.7,0.2,1.5,10.2,0,0.4,2.4
V 26 63,-23.952,-37.951,30,0,0.2,54.1,2.7,3.7,0,0.5,0.5,2.7,2.2,0.5,1,0,0,0,0.7,0,0,0,8.4,1.7,2,0,0.7,1,17.1
V 26 82,-27.751,-40.385,20,0.3,2,44.9,2,5.3,0,3,0,2.5,2.5,0.3,2.3,0,0,1.5,0.8,0,0,0,8.3,3,2,0.5,0.8,3.5,14.8
V 26104,-0.083,-41.783,155,0.3,0.6,42.8,0,20.3,0,0.9,0,0,0.9,0,0.9,0,0,0,10.2,0,0,0,0.9,0.3,9.5,0,0,0.3,12
V 27228,-10.068,11.435,90,0.3,0,26.4,0,16.9,0,3.8,1.1,1.9,0.5,0,0.5,0,0.3,12.3,23.2,0,0,0.3,5.2,0,0,1.1,0,0.8,5.4
V 27232,-0.219,7.535,60,1.9,0,41.3,0,10.6,0,1.6,1.9,6.4,0.3,0.3,0.3,0,0,0,24,0,0,0,1,0,0.6,4.2,0,0.6,4.8
V 27239,-7.819,-1.502,20,3.8,0,4.9,0,7.7,0,0.8,0.5,5.5,0.5,0.3,0.3,0,0,1.6,44.5,0,0,0.5,20.9,0,0.3,5.5,0,0.3,1.9
RC  8 18,-24.067,-15.117,20,1,0.8,34.5,6.3,7.6,0,4.6,0.8,2.5,4.8,1,4.6,0,1.3,0.5,0.3,0,0,0,11.2,1.5,1.8,0.5,1.3,1.5,11.7
RC 11 21,-17.252,-35.967,30,1.1,0.5,69.2,1.9,4.1,0,1.4,0.8,0.8,0.8,0,1.1,0,0,0,0,0,0,0,1.4,0.3,0.5,0.5,0,1.1,14.6
RC 11 26,-28.583,-30.051,30,1.5,2.2,43.3,1.5,2.2,0,4,1.5,3.5,5.2,0.2,2,0,0.2,2.7,0.5,0,0,0,10.2,8.2,1.7,1.2,1.7,1.2,5
RC 11 86,-35.783,18.45,45,0.5,0,2,0,1.2,0,3,0.5,7.4,2.7,0,0.5,1,4.2,27.8,28.5,0,0,0,16.1,0.7,0,0.7,0.2,0,2.7
RC 12234,-55.135,-63.985,70,0,0,0,0,0,0,0,0,9.2,0,0,0,0,87.6,1.6,0.3,0,0,0,1.1,0,0,0,0,0,0.3
RC 12241,-43.467,-57.651,70,0,0,0,0,0,0,0,0,32.8,0,0,0,1.2,24.4,3.6,5.7,0,0,0,25.3,5.1,0,0,0,0.3,1.5
RC 12291,-42.584,-17.8,80,0,0,0.3,0,0,0,0,0,15.3,0.3,0,0,8.3,25.2,14.6,9.2,0,0,0,21.7,1.6,0,1.9,0,0,1.6
RC 12294,-37.252,-10.086,40,0,0,0.8,0,0,0,0,0,35.4,0.8,0,0,9.8,5.3,20.1,8.2,0,0,0,10,4.5,0.3,0,0,0.3,4.7
RC 13197,4.517,-0.718,110,0.2,0,33,0,7.8,0,0.7,1.1,11.7,0,0,1.6,0,0.2,9.9,23.6,0,0,0.2,1.8,0,1.4,5,0,0.2,1.4
RC 13205,-2.284,5.183,50,2.8,0,17.1,0.9,8.9,0,0.3,0.6,3.1,2.8,0,1.5,0,0.3,4,35.2,0,0,0.3,8,0,0,4.6,0,1.2,8.6
RC 13210,-9.135,-10.601,40,1.9,0.8,23.8,0.3,14.9,0,1.6,1.1,3.3,2.2,0,0.5,0,0,0,21.4,0,0,0,12.2,0,3,5.1,0,0.8,7
RC 13227,-21.869,8.868,40,0.8,0,2.7,0,0.5,0,0.3,0,12,1.1,0.8,0,0.5,9.6,24.3,30.9,0,0,0,14.8,0.3,0,0.3,0.3,0.3,0.5
RC 13229,-25.485,11.301,80,1.2,0,0.6,0,0.3,0,0.3,0.6,11.7,0.6,0,0,0,3.2,27.9,39.9,0,0,0,10.6,0.3,0,0,1.2,0.6,1.2
RC 15 93,-46.086,-13.218,102,0,0,0,0,0,0,0,0,20.8,0,0,0,14.2,52.4,2.8,0,0,0,0,5.7,1.3,0,0.3,0,0.3,2.2
RC 15 94,-42.969,-20.851,120,0,0,0,0,0,0,0,0,4.9,0,0,0,0.9,46.4,16.9,4,0,0,0,23.8,1.3,0,0,0,0,1.8
E45-78,-45.033,114.35,31,0.3,0,0,0,0,0,0,0,51.8,0,0,0,5.8,14.5,4.3,0.5,0,0,0,17.3,1.5,0,0.3,0,0.3,3.8
E48-11,-29.667,97.533,32,0.6,0,15.7,0,0.9,0,0.3,1.2,4.5,0.6,0,0.6,0,0.6,9.5,6.8,0,0,0,47.8,7.7,0.9,0.6,0,0,1.8
E48-22,-39.9,85.417,82,0,0,0,0,0,0,0,0,42.3,0,0,0,8,10.8,17.6,2.6,0,0,0,6.3,2.3,0,0,0,0.6,9.7
V20-175,-22.3,68,20,0.9,0.9,46.8,2.8,9.9,0,1.7,5.4,1.9,0.5,0.9,3.1,0,0,0.2,0.9,0,0.2,0,1.4,0.2,5.2,0.5,0,0.2,16.1
RC14-35,-0.833,89.95,35,0.8,0.8,27.5,0,12,0,2.7,3.5,8.5,0.4,0,2.3,0,0,0,10.5,5.4,1.2,10.1,0,0,0,1.9,0,0,12.4
