Event,Latitude,Longitude,Elevation [m],Depth [m],SST (1-12) [°C],O. universa [%],G. conglobatus [%],G. ruber [%],G. tenellus [%],G. sacculifer [%],S. dehiscens [%],G. aequilateralis [%],G. calida [%],G. bulloides [%],G. falconensis [%],G. digitata [%],G. rubescens [%],G. quinqueloba [%],N. pachyderma s [%],N. pachyderma d [%],N. dutertrei [%],G. conglomerata [%],G. hexagona [%],P. obliquiloculata [%],G. inflata [%],G. truncatulinoides s [%],G. truncatulinoides d [%],G. crassaformis [%],G. hirsuta [%],G. scitula [%],G. glutinata [%]
LSDH-104G,28.617,-123.983,,0.05,18.439,0,3.7,9.88,0,13.58,1.23,4.94,9.88,0,0,2.47,0,0,0,0,34.57,2.47,1.23,11.11,0,0,0,0,0,0,4.94
M70-68,6.183,139.85,-4095,0,29.208,2.04,6.12,0,0,0,6.12,8.16,0,0,0,0,0,0,0,0,30.61,0,0,26.53,2.04,0,12.24,6.12,0,0,0
M70-PC-49,-8.067,154.58,-3850,0.01,29.149,1.99,3.1,27.57,0.89,0,0,12.96,14.4,0,0,0.33,0.33,0,0,0,0,0.33,0,11.85,0,0,0.55,0,0,0,25.69
M70-PC-61,5.55,154.57,-4660,0,29.163,0,1.56,0,0,0,0,1.56,4.69,0,0,3.13,0,0,0,0,18.75,0,0,68.75,0,0,0,0,0,0,1.56
MD76-132,16.99,71.513,-1430,0,28.412,0.41,0.2,25.59,6.42,5.81,0,1.94,1.73,15.29,6.01,0,4.18,0,0,0,4.79,0.2,0.31,1.22,0,0,0,0,0,0,25.89
MD76-135,14.433,50.518,-1895,0,27.236,0.88,0,23.94,1.41,5.28,0,2.82,2.46,36.8,5.81,0.35,4.93,1.41,0,0,9.68,0.53,0.53,1.41,0,0,0.35,0,0.35,0,1.06
MD77-168,8.43,95.09,-2592,0,28.372,0.3,0.2,27.98,0.91,3.84,0,2.73,0.71,19.19,0.3,0,1.92,0,0,0,15.35,1.01,1.92,7.47,0,0,0,0,0,0.2,15.96
MD77-169,10.13,95.03,-2360,0,28.122,0.62,1.03,29.44,2.27,6.51,1.24,3.1,1.24,10.95,0.21,0.21,2.48,0,0,0,13.43,1.86,2.07,3.62,0,0,0,0,0,0,19.73
MD77-170,11.09,93.41,-2284,0,28.136,0.71,1.41,32.26,3.63,3.93,0.5,2.02,1.61,13.71,0.91,0.2,0,0,0,0,10.28,0.71,1.81,6.65,0,0,0,0,0,0,19.66
MD77-171,11.46,94.09,-1760,0,28.076,0.2,0.61,30.29,2.33,5.67,0,3.95,3.75,14.18,0,0,2.53,0,0,0,13.58,1.72,1.93,3.34,0,0,0,0,0,0,15.91
