Event,Latitude,Longitude,Elevation [m],Depth [m],SST (1-12) [°C],O. universa [%],G. conglobatus [%],G. ruber [%],G. tenellus [%],G. sacculifer [%],S. dehiscens [%],G. aequilateralis [%],G. calida [%],G. bulloides [%],G. falconensis [%],G. digitata [%],G. rubescens [%],G. quinqueloba [%],N. pachyderma s [%],N. pachyderma d [%],N. dutertrei [%],G. conglomerata [%],G. hexagona [%],P. obliquiloculata [%],G. inflata [%],G. truncatulinoides s [%],G. truncatulinoides d [%],G. crassaformis [%],G. hirsuta [%],G. scitula [%],G. glutinata [%]
CAP-48HG,-8.483,-116.483,,0,25.622,0,2.38,0,0,0,4.76,2.38,2.38,0,0,2.38,2.38,0,0,0,59.52,2.38,0,19.05,0,0,0,0,0,0,2.38
CAP-49BG,9.283,-124.15,,0,26.986,1.43,1.43,0,1.43,0,1.43,1.43,4.29,0,0,1.43,0,0,0,0,38.57,8.57,1.43,22.86,0,0,0,1.43,0,0,14.29
CAP-4BG,-4.133,171.77,-3670,0.03,29.188,0,2.13,15.96,0,12.77,0,11.7,8.51,0,0,0,1.06,0,0,0,6.38,2.13,0,19.15,0,0,0,0,0,0,20.21
CAP-50HG,-4.383,-121.2,,0,24.836,0,1.35,0,0,0,1.35,1.35,1.35,0,0,1.35,0,0,0,0,79.73,1.35,1.35,8.11,0,0,0,1.35,0,0,1.35
CAP-5HG,-3.183,171.25,-3882,0.03,29.029,0,2.2,8.79,0,12.09,0,12.09,3.3,0,0,0,0,0,0,0,5.49,2.2,0,45.05,0,0,0,0,0,0,8.79
CAP-6HG,-4.267,171.93,-3363,0.09,29.188,0,0,25.77,1.03,7.22,0,6.19,3.09,0,0,0,7.22,0,0,0,2.06,2.06,0,6.19,0,0,0,0,0,0,39.18
CAP-8-2,5.817,-124.05,,0,26.392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,16,0,0,0,0,0,0,0
CH10-98,-7.38,-101.55,,0,24.241,0,0.4,0.4,0.4,1.21,0.81,0.81,0,0.81,0,0,0,0,0,0,87.62,0.4,0.4,6.33,0,0,0,0,0,0,0.4
CHA-164B,-34.217,151.633,-673,0,19.729,0,0,0,0,0,1.09,1.09,0,8.7,5.43,0,0,0,0,0,20.65,0,0,1.09,50,0,4.35,2.17,1.09,1.09,3.26
CHA-296,-38.1,-88.033,-2997,0,15.192,1.05,1.05,0,0,0,1.05,1.05,0,30.53,1.05,1.05,0,1.05,5.26,0,10.53,1.05,1.05,0,20,0,16.84,5.26,0,1.05,1.05
CHA-300,-33.7,-78.3,-2258,0,17.012,3.23,1.08,0,0,0,1.08,1.08,0,12.9,0,1.08,0,1.08,27.96,0,19.35,1.08,2.15,0,18.28,0,4.3,1.08,2.15,1.08,1.08
CHA-302,-42.717,-82.183,-2381,0,12.904,1.01,0,0,0,0,0,1.01,0,30.3,1.01,1.01,0,7.07,24.24,0,1.01,0,1.01,0,17.17,0,7.07,1.01,0,1.01,6.06
CHM-5,13.417,-91.583,,0,28.228,0,0,0,0,0,0,0,0,3.66,0,0,0,0,0,0,76.83,0,0,0,0,0,0,0,0,0,19.51
CHU-23,6.2,-125.45,,0,26.643,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0
CHU-23G,6.2,-125.45,,0,26.643,0,7.14,0,0,0,7.14,0,0,0,0,7.14,0,0,0,0,64.29,0,0,7.14,0,0,0,0,0,0,7.14
CHU-24,5.483,-125.483,,0,26.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.71,0,0,35.29,0,0,0,0,0,0,0
CHU-26,3.55,-125.317,,0,25.723,0,0,0,0,0,3.77,0,0,0,0,0,0,0,0,0,86.79,0,0,9.43,0,0,0,0,0,0,0
CHU-30,7.3,-127.417,,0,26.885,0,0,0,0,0,10.71,0,0,0,0,0,0,0,0,0,46.43,0,0,42.86,0,0,0,0,0,0,0
CHU-X1,10.883,-105.15,,0,27.708,1.75,3.51,0,0,0,0,3.51,7.02,0,0,0,0,0,0,0,57.89,0,0,1.75,0,0,0,0,0,0,24.56
CIRCE-21,11.383,87.783,-3308,0,28.619,0.75,2.9,33.83,0,15.25,0.21,3.44,2.15,7.3,0.21,0.21,0,0.21,0,0,14.93,3.11,1.07,2.9,0,0,0,0,0,0,11.49
CIRCE-239,-8.28,-11.12,-3248,0,25.097,1.36,0.57,47.29,0.34,21.15,0,6.9,1.7,0,0.34,0.57,0.79,0,0,0.34,3.85,0,0,2.26,0.57,0,0,1.13,0,0.34,10.52
CIRCE-24,14.267,80.867,-2845,0,28.261,0.97,0.76,14.5,2.16,5.19,0.22,3.57,0.97,23.16,0,0.76,0,0,0,0,14.61,1.19,1.62,0.97,0,0,0,0,0,0.22,29.11
CIRCE-26,15.3,87.317,-2831,0,28.455,0.51,2.56,0.85,0.51,7.52,1.88,11.62,0.85,3.59,0.51,9.57,0,0,0,0,41.88,8.21,1.03,3.93,0,0,0,0,0,0,4.96
CIRCE-27,15.217,91.233,,0,28.258,1.46,1.46,4.01,1.09,4.37,3.64,10.75,2.19,2.91,0,23.13,0,0,0,0,34.24,6.38,0.36,1.82,0,0,0,0,0,0,2.19
CIRCE-32,19,91.533,,0,28.099,0.45,0,17.93,0.91,7.6,0,3.06,0.91,12.26,1.48,2.38,0.23,0.23,0,0,20.09,1.48,3.29,1.7,0,0,0,0,0,0,25.99
CIRCE-36,20.333,89.317,-435,0,27.978,0.31,0.21,23.15,1.95,8.44,0.21,3.4,2.16,18.21,0.62,0.51,0.21,0,0,0,14.92,0,0.93,6.58,0,0,0,0,0,0,18.21
CIRCE-38,13.483,86.9,-3076,0,28.57,1.91,4.27,3.39,0,16.94,2.5,9.28,1.62,6.77,0.29,2.5,0,0,0,0,22.53,13.55,2.5,7.36,0,0,0,0,0,0.29,4.27
CIRCE-42,6.917,89.033,-3741,0,28.406,0,3.17,5.92,0,10.97,2.6,5.63,0.43,8.23,0,0.72,0,0,0,0,38.1,5.34,1.15,11.83,0,0,0,0,0,0.14,5.77
CIRCE-44,4.183,88.583,-4057,0,28.513,0,2.57,3.37,0,3.37,7.13,7.13,0.79,2.18,0.4,1.19,0,0,0,0,44.55,5.54,0,17.23,0,0,0,0,0.4,0,4.16
CUS-3G,40.933,-125.633,,0.04,12.278,2.08,0,0,0,0,0,0,0,0,0,0,0,2.08,70.83,13.54,11.46,0,0,0,0,0,0,0,0,0,0
DIS-385D,-58.683,-64.733,-3638,0,2.519,0,0,0,0,0,0,0,0,5.88,0,0.98,0,0.98,88.24,0,0,0,0,0,0.98,0,0.98,0,0,0.98,0.98
DIS-386D,-57.767,-65.7,-4773,0,3.738,0,0,0,0,0,0,0,0,3,0,0,0,0,90,0,0,0,0,0,6,0,1,0,0,0,0
DODO-117PG,-18.35,62.067,-3394,0,25.32,0.32,1.48,47.83,0.74,14.81,0,6.46,0.74,2.12,2.12,0.74,1.06,0,0,0,2.86,0,0.74,2.54,0,0.32,1.06,0,0,0.74,13.33
DODO-119PG,-14.033,62.5,-3703,0,26.683,0.63,2.32,35.93,1.9,13.91,0,8.43,2.95,2.32,0,0.32,0,0,0,0,4.21,0,1.58,1.9,0,0,0.63,0,0,0,22.97
DODO-126PG,-8.933,55.5,-3485,0,27.141,0.73,3.83,22.69,0.41,13.58,0,5.28,2.28,6.42,0,1.55,0,0,0,0,11.71,0,2.69,7.56,0,0,0,0.41,0.41,0,20.41
DODO-144G,-25.417,70.367,-3357,0,22.53,1.45,1.14,45.8,1.66,9.02,0,9.22,0.52,1.45,1.14,0.83,1.66,0,0.31,0,0,0,0,0.31,3.94,0.31,8.39,0,0.52,1.97,10.36
DODO-173G,-8.317,69.017,-3977,0,28.026,0.87,3.71,12.34,0,16.48,0.44,3.17,0,3.17,0,0.87,0.87,0,0,0,31.11,1.86,1.86,14.63,0,0.44,0,0,0,0,8.19
DODO-191,-2.45,71.217,-3918,0,28.664,0,3.26,32.92,0.79,19.78,0,7.75,1.35,1.12,0.22,0.56,0.22,0.79,0,0.22,12.36,5.28,3.26,3.03,0,0,0,0,0.22,0.56,6.29
DODO-192G,-2.333,70.233,-3922,0,28.682,0,2.4,10.73,0,16.24,0.56,5.93,1.41,1.98,0,0.99,0.56,0,0.56,0,33.33,8.33,1.98,11.3,0.56,0,0.56,0,0.56,0.99,0.99
DODO-193,-2.2,69.25,-3494,0,28.729,0.44,3.08,35.05,0,17.91,0,4.73,3.96,3.08,0.44,0.77,0.44,0,0,0,7.36,4.73,5.82,4.29,0,0,0,0.44,0,1.21,6.26
DODO-195G,4.4,84.717,-4092,0,28.429,0,0,3.92,0,3.92,2.61,9.48,0,2.61,0,1.31,0,0,0,0,40.85,1.31,0,27.12,0,0,0,0,0,0,6.86
DODO-197,2.97,88.85,-4017,0,28.647,0,2.6,21.02,0,16.84,0.56,5.31,1.02,9.49,0,0.56,0,0,0,0,14.69,3.16,3.73,8.93,0,0,0,0,0,2.15,9.94
DODO-200V,2.917,91.05,-3472,0,28.785,0.42,1.27,38.96,0,15.39,0.42,4.14,2.44,5.84,0,0.42,0.85,0,0,0,11.57,4.14,3.29,6.26,0,0,0,0,0,0.42,4.14
DODO-201G,2.983,91.683,-4131,0,28.785,1.03,1.62,4.27,0,14.58,3.83,8.69,2.21,9.72,0.59,1.62,0,0,0,0,30.78,12.37,0,8.1,0,0,0,0,0,0,0.59
DODO-202V,3.083,92.533,-4208,0,28.76,0,2.16,11.46,0,15.63,2.16,5.66,2.16,8.63,0,1.48,0,0,0,0,32.08,9.3,0,8.63,0,0,0,0,0,0,0.67
DODO-204,3.15,94.1,,0,28.885,0,0.85,21.37,1.71,25.64,0,4.27,0.85,2.56,0,0.85,0,0,0,0,11.11,4.27,5.98,15.38,0,0,0,0,0,0,5.13
DODO-220V,-0.567,97.883,-2863,0,28.8,0.64,2.34,16.37,0,15.41,0,6.7,1.38,3.29,0,0,0,0,0,0,31.14,1.7,2.34,12.01,0,0,0,0,0,0,6.7
DODO-220V,-0.567,97.883,-2863,0,28.8,0,1.27,14.94,0,15.36,0,9.43,0.42,6.46,0,0,0,0,0,0,26.06,1.69,1.69,12.39,0,0,0,0,1.27,0.42,8.58
DWD-100B,-19.283,-79.533,,0,19.51,2.7,1.35,0,0,0,2.7,2.7,2.7,8.11,1.35,1.35,1.35,1.35,6.76,0,24.32,2.7,1.35,13.51,18.92,0,1.35,1.35,0,1.35,2.7
DWD-108B,-12.817,-78,,0,18.31,3,0,0,0,0,0,0,11,0,0,0,0,0,63,0,19,0,0,0,0,0,1,0,0,0,3
DWD-10BG,6.9,-131,,0,26.974,0,5.88,0,5.88,0,5.88,0,0,0,0,5.88,0,0,0,0,29.41,5.88,0,41.18,0,0,0,0,0,0,0
DWD-10BG,6.9,-131,,0.02,26.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.67,0,0,58.33,0,0,0,0,0,0,0
DWD-10HH,3.333,-130.617,-4490,0,26.062,1.67,0,0,0,0,0,1.67,3.33,0,1.67,1.67,0,0,0,0,53.33,3.33,1.67,21.67,1.67,0,1.67,1.67,0,1.67,3.33
DWD-11BG,5.433,-131.316,,0.02,26.762,2.7,1.35,8.11,0,12.16,1.35,2.7,0,0,0,0,0,0,0,0,33.78,13.51,0,21.62,0,0,0,0,0,0,2.7
DWD-12BG,3.2,-131.517,,0,26.149,0,0,0,0,0,2.08,2.08,0,0,0,0,0,0,0,0,93.75,0,0,2.08,0,0,0,0,0,0,0
DWD-12HH,-6.033,-131.6,,0,26.436,2.38,0,0,0,0,9.52,2.38,2.38,0,0,2.38,0,0,2.38,0,40.48,0,0,33.33,2.38,0,2.38,0,0,0,0
DWD-137G,-9.88,-110.68,-2770,0.03,24.67,0,0,25.29,4.6,9.2,0,1.15,3.45,0,0,0,3.45,0,0,0,4.6,5.75,0,3.45,0,0,0,0,0,0,39.08
DWD-13BG,1.017,-132.233,,0,25.694,0,0,0,0,0,1.19,1.19,1.19,0,0,0,0,0,0,0,83.33,1.19,0,9.52,0,0,0,1.19,0,0,1.19
DWD-13HH,-9.98,-133.38,-4340,0.03,26.874,0,1.15,17.24,0,12.64,0,12.64,3.45,0,0,0,0,0,0,0,2.3,9.2,2.3,12.64,0,0,0,0,0,0,26.44
DWD-143,-3.617,-114.3,,0,24.068,0,0,0,0,0,0,0,1.23,0,0,1.23,0,0,0,0,96.3,0,0,1.23,0,0,0,0,0,0,0
DWD-147B,1.45,-116.217,-4000,0,24.177,1.14,0,0,0,0,1.14,1.14,1.14,0,0,1.14,0,0,0,0,88.64,1.14,0,2.27,0,0,0,1.14,0,0,1.14
DWD-149,4.133,-115.767,-4160,0,25.594,0,0,0,0,0,1.39,0,0,0,0,0,0,0,0,0,94.44,0,0,4.17,0,0,0,0,0,0,0
DWD-15BG,-3.03,-131.88,,0.02,25.74,0,1.16,10.47,0,15.12,0,5.81,4.65,0,0,0,0,0,0,0,17.44,9.3,2.33,12.79,0,0,0,0,0,0,20.93
DWD-16BG,-6.083,-132.883,,0,26.506,0,0,0,0,0,12.5,6.25,0,0,0,6.25,0,0,0,0,31.25,0,0,43.75,0,0,0,0,0,0,0
DWD-34HG,-44.217,-127.333,-4600,0,10.948,0.98,0,0,0,0,0,0,0,38.24,0,0.98,0.98,1.96,28.43,0,0,0,0,0,14.71,0,12.75,0,0,0.98,0
DWD-35HH,-44.35,-127.233,-4675,0,10.948,1,0,0,0,0,0,0,0,39,0,1,0,0,16,0,0,0,0,0,25,0,18,0,0,0,0
DWD-36HG,-45.5,-119.833,-3770,0,10.421,0.98,0,0,0,0,0,0,0,35.29,0,0.98,0,12.75,32.35,0,0.98,0,0,0,4.9,0,6.86,0,0,0.98,3.92
DWD-46BG,-36.383,-137.25,-4680,0,16.713,1.06,4.26,0,1.06,0,0,0,0,7.45,0,1.06,0,0,3.19,0,2.13,0,0,0,19.15,0,38.3,22.34,0,0,0
DWD-47B,1.45,-116.217,,0,24.177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.59,0,0,2.41,0,0,0,0,0,0,0
DWD-47BG,-36.55,-137.4,-4700,0,16.713,1.04,2.08,0,0,0,0,0,0,3.13,0,0,0,0,3.13,0,1.04,0,0,0,29.17,0,32.29,26.04,0,0,2.08
DWD-48BG,-37.083,-137,-4940,0,15.856,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,50,0,33,0,0,0,0
DWD-48HG,-42,-102,-4240,0,11.425,3.96,0,0,0,0,0,0.99,0,40.59,0.99,0.99,0,2.97,11.88,0,0.99,0,0.99,0,20.79,0,10.89,0.99,0,0.99,1.98
DWD-49BG,-38.85,-135.5,-5060,0,15.158,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,59,0,0,20,0,0,7
DWD-50HG,-42.9,-97.083,-4550,0,11.076,2.08,0,0,0,0,0,0,0,55.21,0,2.08,0,1.04,10.42,0,0,0,0,0,10.42,0,18.75,0,0,0,0
DWD-54HG,-38.817,-83.35,-4080,0,15.346,0.98,0,0,0,0,0,0,0,12.75,0,0.98,0,0,0.98,0,45.1,0,0,0,19.61,0,12.75,5.88,0,0,0.98
DWD-56BG,-42.267,-125.833,-4650,0,11.644,0,0,0,0,0,0,0,0,38.61,0,0,0,0,9.9,0,0.99,0,0,0,27.72,0,21.78,0.99,0,0,0
DWD-56HG,-37.05,-81.833,-3994,0,15.91,1.02,0,0,1.02,0,0,1.02,0,3.06,0,1.02,0,0,0,0,66.33,0,0,0,12.24,0,12.24,2.04,0,0,0
DWD-58BG,-43.117,-125.383,-4640,0,11.274,0.99,0,0,0,0,0,0,0,37.62,0,0.99,0,0,2.97,0,0.99,0,0,0,27.72,0,27.72,0.99,0,0,0
DWD-58HH,-34.5,-79.5,-3780,0,16.896,1.02,1.02,0,0,0,1.02,1.02,0,1.02,0,1.02,0,0,1.02,0,80.61,0,0,0,6.12,0,3.06,2.04,0,0,1.02
DWD-59BG,-44.383,-124.65,-4500,0,10.885,2.08,0,0,0,0,0,0,0,39.58,0,1.04,0,1.04,15.63,0,0,0,0,0,20.83,0,19.79,0,0,0,0
DWD-60BG,-45.45,-124.017,-4040,0,10.464,2,0,0,0,0,0,0,0,45,0,1,0,3,19,0,0,0,0,0,16,0,11,0,0,1,2
DWD-61BG,-46.8,-123.017,-4250,0,10.025,0.98,0,0,0,0,0,0,0,45.1,0,0.98,0,2.94,25.49,0,0.98,0,0,0,12.75,0,6.86,0,0,0.98,2.94
DWD-62BG,-47.617,-121.033,-3800,0,9.518,1,0,0,0,0,0,1,0,54,0,1,0,4,17,0,0,0,0,0,12,0,6,0,0,1,3
DWD-63BG,-47.833,-120.533,-3830,0,9.46,0,0,0,0,0,0,0,0,29,0,0,0,8,55,0,0,0,0,0,3,0,1,0,0,1,3
DWD-64BG,-46.717,-118.333,-3480,0,9.856,0.99,0,0,0,0,0,0,0,35.64,0,0.99,0,6.93,30.69,0,0.99,0,0,0,9.9,0,3.96,0,0,0.99,8.91
DWD-68BG,-48.467,-114.3,-2820,0,8.698,0.99,0,0,0,0,0,0,0,26.73,0.99,0.99,0,13.86,27.72,0,0,0,0,0,11.88,0,4.95,0,0,0.99,10.89
DWD-70BG,-48.483,-113.283,-2580,0,8.69,0.98,0,0,0,0,0,0,0,26.47,0,0.98,0,10.78,28.43,0,0.98,0,0,0,14.71,0,5.88,0,0,0.98,9.8
DWD-71BG,-46.6,-113.567,-2790,0,9.684,2.97,0,0,0,0,0,0,0,28.71,0.99,0.99,0,18.81,20.79,0,0.99,0,0,0,9.9,0,3.96,0.99,0,0.99,9.9
DWD-73BG,-43.8,-108.15,-3080,0,11.051,15.05,0,0,0,0,0,0,0,21.51,6.45,1.08,0,19.35,8.6,0,0,0,0,0,10.75,0,4.3,1.08,0,1.08,10.75
DWD-74BG,-43.717,-107.6,-3220,0,11.007,5.05,0,0,0,0,0,1.01,0,37.37,3.03,0,0,11.11,19.19,0,0,0,1.01,0,7.07,0,7.07,1.01,0,1.01,6.06
DWD-75BG,-43.55,-108.3,-3650,0,11.051,7.29,0,0,0,0,0,1.04,0,27.08,1.04,1.04,0,6.25,16.67,0,1.04,0,1.04,0,20.83,0,7.29,1.04,0,1.04,7.29
DWD-76BG,-43.75,-104.467,-3840,0,10.941,12.09,0,0,0,0,0,1.1,0,35.16,3.3,1.1,0,4.4,13.19,0,1.1,0,1.1,0,15.38,0,7.69,0,0,1.1,3.3
DWD-77BG,-44.15,-101.583,-3820,0,10.28,3.96,0,0,0,0,0,0.99,0,41.58,0.99,0.99,0,8.91,15.84,0,0.99,0,0.99,0,9.9,0,6.93,0.99,0,0.99,5.94
DWD-78BG,-44.133,-100.967,-4100,0,10.184,3.92,0,0,0.98,0,0,0,0,55.88,0.98,0.98,0,2.94,10.78,0,0.98,0,0,0,4.9,0,12.75,0,0,0.98,3.92
DWD-79BG,-44.1,-100.067,-3940,0,10.184,3,0,0,0,0,0,1,0,39,2,1,0,4,24,0,1,0,0,0,12,0,7,0,0,1,5
DWD-83BG,-44.067,-95.7,-4660,0,9.894,0.98,0,0,0,0,0,0,0,61.76,0,0.98,0,5.88,14.71,0,0,0,0.98,0,2.94,0,9.8,0,0,0.98,0.98
DWD-89HH,-4.03,-113.3,,0,24.269,1.1,0,0,0,0,1.1,1.1,1.1,0,0,1.1,0,0,0,0,86.81,1.1,1.1,3.3,0,0,0,1.1,0,0,1.1
DWD-89HH,-4.03,-113.3,,0.03,24.269,0,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,95.29,0,0,3.53,0,0,0,0,0,0,0
DWD-93BG,-23.467,-72.967,-3850,0,17.749,0,0,0,0,0,1.09,1.09,0,1.09,0,1.09,0,0,0,0,92.39,0,0,0,1.09,0,0,1.09,0,0,1.09
ELT-1101,-57.883,-90.767,,0,5.377,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,87,0,4,0,0,0,0
ELT-1110,-59.65,-89.75,-4338,0,4.333,0,0,0,0,0,0,0,0,2.97,0,0,0,0,95.05,0,0,0,0,0,0.99,0,0.99,0,0,0,0
ELT-1164,-58,-130.117,-3819,0,2.154,0,0,0,0,0,0,0,0,9,0,0,0,4,76,0,0,0,0,0,10,0,1,0,0,0,0
ELT-1189,-54.017,-159.983,-4191,0,5.276,0,0,0,0,0,0,0,0,30.69,0,0.99,0,10.89,31.68,0,1.98,0,0,0,13.86,0,1.98,0,0,0.99,6.93
ELT-1246,-59.967,-136.967,-3742,0,1.102,0,0,0,0,0,0,0,0,0.99,0,0,0,0,98.02,0,0,0,0,0,0.99,0,0,0,0,0,0
ELT-1271,-57.067,-125.4,-4158,0,3.558,0,0,0,0,0,0,0,0,20.79,0,0,0,0.99,60.4,0,0,0,0,0,11.88,0,1.98,0,0,0.99,2.97
ELT44.027-PC,-53.038,119.735,-3542,0,3.696,0,0,0,0,0,0,0,0,27.39,0,0,0,0.5,57.3,0.7,0,0,0,0,11.08,0.5,0,0.3,0,0,2.22
ELT45.029-PC,-44.877,106.518,-3867,0.02,9.29,3.75,0,0,0,0,0,0,0,30.8,5.67,0,0,1.93,6.99,14.18,2.63,0,0,0,19.66,8.11,0.2,0.41,0,0,5.67
ELT45.070-PC,-48.008,114.478,-3726,0,6.59,0,0,0,0,0,0,0,0,49.65,0,0,0,2.01,16.75,4.31,1.3,0,0,0,15.75,5.22,0,0,0,0,5.02
ELT45.073-PC,-47.533,114.423,-3768,0,7.433,0.4,0,0,0,0,0,0,0,45.85,0,0,0,1.9,18.22,5.21,5.61,0,0,0,13.71,4.1,0.2,0,0,0.4,4.4
ELT45.077-PC,-46.448,114.417,-3854,0,8.21,1.41,0,0,0,0,0,0,0,51.06,0,0,0,0,10.95,4.72,2.01,0,0,0.8,18.89,7.74,0.6,0,0,0,1.81
ELT45.081-PC,-43.953,114.368,-4318,0,10.359,4.52,0,0,0,0,0,0,0,38.09,0,0,0,0.6,4.52,9.15,2.31,0,0,0,29.75,7.44,0.4,0,0,1.61,1.61
ELT49.022-PC,-45.022,95.082,-2734,0,8.133,0,0,0,0,0,0,0,0,32.4,0,0,0,2.61,12.94,10.53,5.52,0,0,0,16.85,4.71,0.5,0,0,0,13.94
ELT49.023-PC,-47.128,95.08,-3285,0,6.649,0,0,0,0,0,0,0,0,42.73,0,0,0,3.43,21.31,3.13,1.41,0,0,0,15.56,3.74,0.3,0,0.3,0,8.08
ELT49.024-PC,-47.988,95.037,-3240,0,6.649,0,0,0,0,0,0,0,0,41.5,0,0,0,3,25.4,1.7,3,0,0,0,11,2.7,0,0,0,0,11.7
ELT49.025-PC,-49.378,94.832,-3366,0,5.296,0,0,0,0,0,0,0,0,43.43,0,0,0,0,26.46,3.43,0.71,0,0,0,18.28,2.02,0.3,0,0,0.3,5.05
ELT-C100,-43.117,176.167,-457,0,13.097,0.96,0,0,0,0,0,0.96,0,17.31,0.96,0.96,0,9.62,16.35,0,9.62,0,0,0,35.58,0,2.88,0.96,0.96,0.96,1.92
EQA-27,7.617,-134.017,,0,27.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,60,0,0,0,0,0,0,0
FANHMS2G,30.28,-118.23,,0.01,17.144,0.1,0,0.2,0,0,0,0.2,0,1.3,0.2,0.4,0,0,1.6,73.1,22.1,0,0,0,0.8,0,0,0,0,0,0
FANHMS4G,28.47,-118.02,,0.01,18.1,0.3,0,0,0,0,0,0.3,0.3,0.3,0,0.9,0,0,1.2,57.1,38.7,0,0,0,0.9,0,0,0,0,0,0
JSB-5P,32.667,-117.35,,0,16.341,2.04,0,3.06,0,0,0,0,0,21.43,0,0,0,11.22,3.06,25.51,32.65,0,0,0,0,0,0,0,0,0,1.02
JSB-6P,32.667,-117.383,,0,16.341,2.04,0,2.04,0,0,0,0,0,12.24,0,0,0,11.22,2.04,20.41,47.96,0,0,0,0,0,0,0,0,0,2.04
JYN2-007G,40.333,173.983,-4340,0.05,15.867,0,0,0,0,0,0,0,0,27.55,0,0,0,1.02,37.76,22.45,4.08,0,0,0,7.14,0,0,0,0,0,0
JYN5-019G,6.467,-148.383,-4690,0,27.644,0,0,0,0,0,5.41,0,0,0,0,0,0,0,0,0,21.62,0,0,72.97,0,0,0,0,0,0,0
KM1-41,24.5,-16.95,-1530,0,19.062,0.21,0,10.68,0.21,6.26,0,0.41,2.16,12.22,4.11,0,0.21,0.62,0.41,6.47,28.75,0,0,2.16,17.56,3.29,0.82,0.41,0,0,3.08
KNR733P,0.37,-106.18,-3606,0,24.018,0.2,0.2,2.97,0,3.18,0,1.02,1.23,4.71,0,0,0,0,0,0,79.3,1.95,0.51,1.02,0,0,0,0,0,0,3.69
KNR735P,4.03,-114.02,,0,25.574,0.37,1.59,1.1,0,5.37,1.1,3.41,0.37,2.68,0,0,0,0,0,0,71.1,2.32,0,9.15,0,0,0,1.1,0,0,0.37
LFGS-36G,54.433,-135.05,-2585,0.05,9.493,0,0,0,0,0,0,0,0,25.25,0,0,0,0,53.54,14.14,6.06,0,0,0,0,0,0,0,0,1.01,0
LFGS-38G,54.133,-136.8,-2739,0.05,9.444,0,0,0,0,0,0,0,0,45.92,0,0,0,1.02,40.82,6.12,4.08,0,0,0,0,0,0,0,0,0,2.04
LFGS-45G,42.317,-130.65,-4321,0.06,14.054,0,0,0,0,0,0,0,0,70.71,0,0,0,0,27.27,2.02,0,0,0,0,0,0,0,0,0,0,0
LSDA-103V,-5.383,72.783,-2530,0,28.315,0.41,2.06,32.58,1.23,17.57,0,4.21,2.98,5.04,0,0.41,4.21,0,0,0,10.07,1.23,2.98,5.86,0,0,0,0,0,0,9.15
LSDA-106G,-5.567,63.717,-4090,0,28.012,0.46,2.07,19.06,0,9.07,0,3.33,1.26,3.33,0.46,0,0.8,0,0,0.46,37.31,0.8,1.26,10.79,0,0,0,0.8,0,0,8.73
LSDA-107GA,-5.433,59.25,-4010,0,28.531,0,2.73,5.29,0,5.29,1.37,3.92,0,3.24,0,0.68,0,0,0,0,59.56,0,0,12.63,0,0.68,0,4.61,0,0,0
LSDA-113G,-10.35,58.517,-3495,0,27.281,2.76,1.23,28.6,0,10.32,0,6.74,2.04,5.62,0.82,0.82,0,0,0,0,11.95,1.23,3.58,3.58,0,0,0,0,0,0.82,19.92
LSDA-117G,-13.683,59.683,-3900,0,26.945,1.34,0.93,29.76,0,14.62,0.41,7.31,2.27,3.71,0.41,2.27,0,0,0,0,8.24,0,1.34,6.9,0,0.41,0,0,0.41,0.41,19.26
LSDA-128G,-44.633,70.967,-3616,0,9.9,0,0,0,0,0,0,0.4,0,30.46,0.4,0,0,0.4,24.65,7.72,5.81,0,0,0,22.34,3.91,0,0,0.4,0,3.51
LSDA-136G,-31.5,114.383,-3860,0,20.415,0,0.97,23.38,0.65,5.82,0,0.32,1.29,3.23,5.17,0.65,0,0,0,0.65,16.7,0,0,0.32,19.94,1.29,0.32,0,0.65,1.29,17.35
LSDA-SCS-002G,6.8,114.733,-2886,0,28.718,3.63,0.91,0,1.81,0,0,3.63,0,27.89,0,0.91,1.81,1.81,0,0,29.71,0,0,12.59,0,0,0,0,0,0,15.31
LSDA-SCS-003G,8.233,115.617,-2818,0,28.751,3.89,0,0,0.75,0,0.75,7.91,0.75,18.09,0,0.75,0.75,0,0,0,27.89,0,0,11.81,0,0,0,0,0,0.75,25.88
LSDA-SCS-006G,9.183,115.133,-2360,0,28.629,0.81,2.29,0,0.81,0,0,21.97,0.81,10.92,0,4.31,0,0,0,0,30.59,0,0,12.94,0,0,0.81,0,0,0.81,12.94
LSDA-SCS-008G,9.333,114.017,-2700,0,28.545,2.02,0.47,0,0,0,8.85,17.7,0,5.43,0,0.47,0,0,0,0,39.44,0,0,14.29,0,0,0.47,0,0,0,10.87
