Event,Latitude,Longitude,Elevation [m],SST (1-12) [°C],Symbiosis,Spinose,Depth [m],Relative_Abundance
AH-5,10.333,117.97,-1152,28.577,No,Yes,0,0.21230000000000002
AH-5,10.333,117.97,-1152,28.577,Yes,No,0,0.45539999999999997
AH-5,10.333,117.97,-1152,28.577,Yes,Yes,0,0.2773
AH-7,8.75,116.95,-914,28.813,No,No,0,0.038400000000000004
AH-7,8.75,116.95,-914,28.813,No,Yes,0,0.2596
AH-7,8.75,116.95,-914,28.813,Yes,No,0,0.4572
AH-7,8.75,116.95,-914,28.813,Yes,Yes,0,0.25739999999999996
AH-8,8.367,116.81,NA,28.813,No,No,0,0.0315
AH-8,8.367,116.81,NA,28.813,No,Yes,0,0.4483
AH-8,8.367,116.81,NA,28.813,Yes,No,0,0.4004
AH-8,8.367,116.81,NA,28.813,Yes,Yes,0,0.1121
All5402P,-6.16,-96.33,NA,23.774,No,No,0,0.015899999999999997
All5402P,-6.16,-96.33,NA,23.774,No,Yes,0,0.0227
All5402P,-6.16,-96.33,NA,23.774,Yes,No,0,1.0023
All5402P,-6.16,-96.33,NA,23.774,Yes,Yes,0,0.05670000000000001
All5423P,-2.24,-90.52,NA,22.525,No,No,0,0.0062
All5423P,-2.24,-90.52,NA,22.525,No,Yes,0,0.0861
All5423P,-2.24,-90.52,NA,22.525,Yes,No,0,0.8744000000000001
All5423P,-2.24,-90.52,NA,22.525,Yes,Yes,0,0.05599999999999999
All5424P,-2.45,-86.46,NA,22.404,No,No,0,0.023499999999999997
All5424P,-2.45,-86.46,NA,22.404,No,Yes,0,0.20450000000000002
All5424P,-2.45,-86.46,NA,22.404,Yes,No,0,0.6549
All5424P,-2.45,-86.46,NA,22.404,Yes,Yes,0,0.22460000000000002
All542P,-3.37,-87.21,NA,22.189,No,No,0,0.0084
All542P,-3.37,-87.21,NA,22.189,No,Yes,0,0.231
All542P,-3.37,-87.21,NA,22.189,Yes,No,0,0.7505
All542P,-3.37,-87.21,NA,22.189,Yes,Yes,0,0.10039999999999999
AMPH-005G,8.217,-127.483,-4520,26.955,No,No,0,0
AMPH-005G,8.217,-127.483,-4520,26.955,No,Yes,0,0
AMPH-005G,8.217,-127.483,-4520,26.955,Yes,No,0,0.8572
AMPH-005G,8.217,-127.483,-4520,26.955,Yes,Yes,0,0.14279999999999998
AMPH-007PG,-0.5,-130.133,-4525,25.327,No,No,0,0.0141
AMPH-007PG,-0.5,-130.133,-4525,25.327,No,Yes,0,0
AMPH-007PG,-0.5,-130.133,-4525,25.327,Yes,No,0,0.9577999999999999
AMPH-007PG,-0.5,-130.133,-4525,25.327,Yes,Yes,0,0.0282
AMPH-011P,-7.467,-113.533,-3728,25.085,No,No,0,0.3149
AMPH-011P,-7.467,-113.533,-3728,25.085,No,Yes,0,0.0189
AMPH-011P,-7.467,-113.533,-3728,25.085,Yes,No,0,0.4551
AMPH-011P,-7.467,-113.533,-3728,25.085,Yes,Yes,0,0.2817
AMPH-012G,-7.6,-110.967,-3480,24.743,No,No,0.04,0.0471
AMPH-012G,-7.6,-110.967,-3480,24.743,No,Yes,0.04,0
AMPH-012G,-7.6,-110.967,-3480,24.743,Yes,No,0.04,0.5529
AMPH-012G,-7.6,-110.967,-3480,24.743,Yes,Yes,0.04,0.5765
AMPH-013G,-7.533,-110.117,-3395,24.743,No,No,0.03,0.023
AMPH-013G,-7.533,-110.117,-3395,24.743,No,Yes,0.03,0
AMPH-013G,-7.533,-110.117,-3395,24.743,Yes,No,0.03,0.5748
AMPH-013G,-7.533,-110.117,-3395,24.743,Yes,Yes,0.03,0.5402
AMPH-016G,-7.85,-108.917,-3240,24.648,No,No,0.03,0.0507
AMPH-016G,-7.85,-108.917,-3240,24.648,No,Yes,0.03,0
AMPH-016G,-7.85,-108.917,-3240,24.648,Yes,No,0.03,0.5569
AMPH-016G,-7.85,-108.917,-3240,24.648,Yes,Yes,0.03,0.5318
AMPH-017G,-7.983,-108.617,-3200,24.648,No,No,0.03,0.0466
AMPH-017G,-7.983,-108.617,-3200,24.648,No,Yes,0.03,0
AMPH-017G,-7.983,-108.617,-3200,24.648,Yes,No,0.03,0.593
AMPH-017G,-7.983,-108.617,-3200,24.648,Yes,Yes,0.03,0.5232999999999999
AMPH-019G,-8.333,-107.783,-3090,24.533,No,No,0.03,0.0698
AMPH-019G,-8.333,-107.783,-3090,24.533,No,Yes,0.03,0
AMPH-019G,-8.333,-107.783,-3090,24.533,Yes,No,0.03,0.6045999999999999
AMPH-019G,-8.333,-107.783,-3090,24.533,Yes,Yes,0.03,0.44189999999999996
AMPH-021G,-8.483,-107.433,-3120,24.592,No,No,0.03,0.056799999999999996
AMPH-021G,-8.483,-107.433,-3120,24.592,No,Yes,0.03,0
AMPH-021G,-8.483,-107.433,-3120,24.592,Yes,No,0.03,0.4886
AMPH-021G,-8.483,-107.433,-3120,24.592,Yes,Yes,0.03,0.6478
AMPH-022G,-8.567,-107.2,-3240,24.592,No,No,0.05,0.0682
AMPH-022G,-8.567,-107.2,-3240,24.592,No,Yes,0.05,0
AMPH-022G,-8.567,-107.2,-3240,24.592,Yes,No,0.05,0.5341
AMPH-022G,-8.567,-107.2,-3240,24.592,Yes,Yes,0.05,0.5112
AMPH-023G,-8.7,-106.9,-3291,24.548,No,No,0.03,0.0722
AMPH-023G,-8.7,-106.9,-3291,24.548,No,Yes,0.03,0
AMPH-023G,-8.7,-106.9,-3291,24.548,Yes,No,0.03,0.5783
AMPH-023G,-8.7,-106.9,-3291,24.548,Yes,Yes,0.03,0.4577000000000001
AMPH-024G,-8.867,-106.417,-3370,24.548,No,No,0.03,0.0941
AMPH-024G,-8.867,-106.417,-3370,24.548,No,Yes,0.03,0
AMPH-024G,-8.867,-106.417,-3370,24.548,Yes,No,0.03,0.4941
AMPH-024G,-8.867,-106.417,-3370,24.548,Yes,Yes,0.03,0.5648000000000001
AMPH-107G,-3.867,-155.883,-4915,27.281,No,No,0,0
AMPH-107G,-3.867,-155.883,-4915,27.281,No,Yes,0,0
AMPH-107G,-3.867,-155.883,-4915,27.281,Yes,No,0,0.9591
AMPH-107G,-3.867,-155.883,-4915,27.281,Yes,Yes,0,0.0408
AMPH-130G,-5.967,-142.717,-4450,27.114,No,No,0,0.0625
AMPH-130G,-5.967,-142.717,-4450,27.114,No,Yes,0,0
AMPH-130G,-5.967,-142.717,-4450,27.114,Yes,No,0,0.7291
AMPH-130G,-5.967,-142.717,-4450,27.114,Yes,Yes,0,0.25010000000000004
AMPH-131G,-5.2,-142.333,-4530,27.114,No,No,0,0.0784
AMPH-131G,-5.2,-142.333,-4530,27.114,No,Yes,0,0
AMPH-131G,-5.2,-142.333,-4530,27.114,Yes,No,0,0.7646999999999999
AMPH-131G,-5.2,-142.333,-4530,27.114,Yes,Yes,0,0.196
AMPH-132G,-4.383,-141.9,-4430,26.758,No,No,0,0.1481
AMPH-132G,-4.383,-141.9,-4430,26.758,No,Yes,0,0
AMPH-132G,-4.383,-141.9,-4430,26.758,Yes,No,0,0.6851999999999999
AMPH-132G,-4.383,-141.9,-4430,26.758,Yes,Yes,0,0.2036
AMPH-133G,-3.533,-141.433,-4149,26.539,No,No,0,0.0678
AMPH-133G,-3.533,-141.433,-4149,26.539,No,Yes,0,0
AMPH-133G,-3.533,-141.433,-4149,26.539,Yes,No,0,0.8813
AMPH-133G,-3.533,-141.433,-4149,26.539,Yes,Yes,0,0.0508
AMPH-134G,-2.7,-140.883,-4255,26.239,No,No,0,0.09230000000000001
AMPH-134G,-2.7,-140.883,-4255,26.239,No,Yes,0,0
AMPH-134G,-2.7,-140.883,-4255,26.239,Yes,No,0,0.7846
AMPH-134G,-2.7,-140.883,-4255,26.239,Yes,Yes,0,0.1232
AMPH-135GV,-0.067,-138.95,-4350,25.943,No,No,0,0.013500000000000002
AMPH-135GV,-0.067,-138.95,-4350,25.943,No,Yes,0,0
AMPH-135GV,-0.067,-138.95,-4350,25.943,Yes,No,0,0.9865
AMPH-135GV,-0.067,-138.95,-4350,25.943,Yes,Yes,0,0
AMPH-137GV,2.317,-135.133,-4380,26.093,No,No,0,0
AMPH-137GV,2.317,-135.133,-4380,26.093,No,Yes,0,0
AMPH-137GV,2.317,-135.133,-4380,26.093,Yes,No,0,0.9865
AMPH-137GV,2.317,-135.133,-4380,26.093,Yes,Yes,0,0
AMPH-138GV,3.55,-133.167,-4300,26.288,No,No,0,0.0161
AMPH-138GV,3.55,-133.167,-4300,26.288,No,Yes,0,0
AMPH-138GV,3.55,-133.167,-4300,26.288,Yes,No,0,0.9678
