Latitude,Longitude,Event,Elevation [m],Depth [m],G. bulloides [%],G. crassaformis [%],N. dutertrei [%],G. inflata [%],N. pachyderma d [%],N. pachyderma s [%],G. ruber w [%],G. scitula [%],O. universa [%],G. aequilateralis [%],G. calida [%],G. falconensis [%],G. glutinata [%],G. hirsuta [%],G. menardii [%],H. pelagica [%],P/D int [%],G. quinqueloba [%],G. ruber p [%],G. ruber hsp [%],G. sacculifer wo sac [%],G. sacculifer sac [%],G. tumida [%],G. tenellus [%],G. truncatulinoides d [%],G. truncatulinoides s [%],G. conglobatus [%],G. conglomerata [%],G. menardii flexuosa [%],S. dehiscens [%],G. digitata [%],T. humilis [%],C. nitida [%],G. rubescens white [%],G. rubescens pink [%],G. hexagonus [%],G. bradyi [%],P. obliquiloculata [%],D. anfracta [%],G. theyeri [%],T. iota [%],Foram plankt [#]
-11.7705,11.6819,GeoB1016-3,-3411,0.88,8.01,1.17,4.49,23.83,21.88,0.39,5.08,1.76,21.29,0.59,0,0,1.17,0,0,0,0,0,5.08,0.39,0.59,0.39,0,0,0,0,0,0,0,0,0.78,0,0,0.2,0,0,0,0,0,2.93,0,393
-20.104,9.1858,GeoB1028-5,-2209,0.93,29.36,0.5,0.74,11.53,29.47,16.22,1.18,0.99,0.69,0.12,0.02,0,3.84,0.2,0,0,0.25,3.96,0,0,0,0,0,0,0.17,0.02,0,0,0,0,0.25,0,0,0.5,0,0,0,0,0,0,0,469
-20.104,9.1858,GeoB1028-5,-2209,0.98,28.3,1.3,0.9,7.3,29.9,13.5,0.4,0,1.7,0.7,4,2.2,1.3,0.6,0,0,0,3.4,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0.4,0,0,0,
-20.104,9.1858,GeoB1028-5,-2209,1.03,28.89,0.14,1.04,9.07,32.06,13.26,0.55,1.11,4.06,0.52,0.6,0,6.49,0.01,0,0,0.76,1.11,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650
-20.104,9.1858,GeoB1028-5,-2209,1.08,17.8,1.7,0.6,7.2,32.3,8.9,0.6,0,12.6,0.3,5.1,4.4,2.4,0,0,0,0,1.1,0,0,0,0,0,0,0.2,0.6,0,0,0,0,0.1,0,0,0.6,0,0,0,0,0,0,0,
-21.88,7.1017,GeoB1031-4,-3105,0.28,14.84,0,4.24,18.24,25.72,6.22,3.11,0,3.35,0.28,1.13,1.13,8.06,0.44,0,0,2.54,3.96,0.99,1.27,0,0,0,0,0.92,0.87,0.28,0,0,0,1.27,0,0,0,1.13,0,0,0,0,0,0,420
-21.88,7.1017,GeoB1031-4,-3105,0.33,21.52,0,0.88,15.17,35.59,2.48,1.17,0.88,2.82,0.58,3.57,0.73,5.25,1.04,0,0,0.58,1.75,0.73,1.1,0,0.01,0,1.17,0.94,1.91,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543
-22.915,6.0367,GeoB1032-3,-2505,0.38,15.71,0,0.71,20.39,34.4,2.26,2.83,0.57,3.02,1.15,0.28,1.7,5.38,1.59,0,0,1.42,0.57,0.71,1.42,0,0,0,0.85,1.79,2.12,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,428
-22.915,6.0367,GeoB1032-3,-2505,0.43,14.05,0.07,0.92,14.98,34.84,2.77,4.55,1.19,3.19,0.93,4.09,1.58,6.47,0.77,0,0,0.66,0,1.19,2.05,0.07,0.13,0,1.06,1.19,2.66,0,0,0,0,0.07,0,0,0,0.53,0,0,0,0,0,0,587
-21.735,5.4217,GeoB1034-3,-3772,0.23,17.48,0.09,1.06,21.92,26.87,1.77,10.39,1.46,3.01,1.06,0.09,0.53,4.91,0.64,0,0,1.68,1.77,0,0,0.42,0.11,0,0,1.9,2.06,0,0,0,0,0.09,0,0,0.71,0,0,0,0,0,0,0,780
-3.475,-7.6,GeoB1041-3,-4033,0.53,18.11,2.56,9.71,31.53,14.23,0,11.55,0,2.44,1.16,0,0,3.68,0,0,0,1.6,0,0.32,0,1.8,0.88,0,0,0.24,0,0.04,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,558
-3.475,-7.6,GeoB1041-3,-4033,0.58,12.47,2.97,7.07,37.19,14.6,0.61,8.29,2.13,3.8,0.68,0,0,3.95,0,0.08,0,1.52,0.61,0.46,0,2.74,0.76,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380
1.6583,-10.98,GeoB1101-5,-4588,0.33,2.64,3.87,38.79,5.72,13.98,0,9.59,0,1.76,2.2,0.35,0.09,0.18,0,0.18,0,0,0,0.35,0,3.87,10.64,0,0,0.53,0,0.35,0,0,0,0.53,0,0,0,0,0,0,4.4,0,0,0,636
1.6583,-10.98,GeoB1101-5,-4588,0.38,2.35,0.91,35.33,19.17,10.82,0,4.17,0,2.48,1.96,0.13,0,0.13,0,0,0,0,0,0,0,6,7.56,0,0.13,0.65,0,0.78,0,0,0,0.13,0,0,0,0,0,0,5.87,0,1.43,0,559
-1.665,-12.4283,GeoB1105-4,-3225,0.78,19.17,2.34,7.3,23.97,14.71,0.44,10.95,0.87,1.63,1.2,0.44,0.87,7.41,0,0,0,0.65,0,0,0,2.02,1.2,0,0.65,1.47,0.11,0,0,0,0,0,0,0,2.61,0,0,0,0,0,0,0,495
-1.665,-12.4283,GeoB1105-4,-3225,0.83,15.51,0.63,4.02,25.91,21.24,0.36,4.66,0.72,1.18,1.34,1.79,2.51,9.41,0,0,0,1.08,0,3.5,0,1.75,2.59,0,0.36,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-1.665,-12.4283,GeoB1105-4,-3225,0.93,9.91,7.32,2.93,20.93,28.9,0,7.48,0.67,0.87,0.76,2.18,1.68,8.07,0,0,0,2.6,0,0.92,0,1.53,1.12,0,0.34,0.43,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,
-1.665,-12.4283,GeoB1105-4,-3225,1.03,11.71,4.29,6.1,14.36,27.46,0.25,5.16,0,1.57,2.28,0.5,3.53,10.96,0,0,0,1.13,0,1.13,0,6.48,1.07,0,0.25,0.76,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,
-5.7783,-10.75,GeoB1112-4,-3125,0.48,14.67,1.97,5.43,20.72,13.81,0.25,12.95,0.12,2.47,3.58,0,0.74,5.67,0,0,0,2.22,0,1.23,0,7.27,4.32,0,0,0.99,0,0.25,0,0,0,0.25,0,0,0.74,0.25,0,0,0.12,0,0,0,587
-5.7783,-10.75,GeoB1112-4,-3125,0.53,14.28,2.52,3,18.58,17,0,7.48,0.45,3.2,2.1,0.68,0.91,3.4,0,0,0,0.45,0,13.65,0,5.24,3.06,0,0.45,0.96,0,0.06,0,0,0,0,0,0,0.91,0,0,0,0.93,0,0,0,
-5.7783,-10.75,GeoB1112-4,-3125,0.58,13.2,2.35,6.01,20.97,11.58,0.29,13.93,0,5.13,2.93,0.88,0.44,5.28,0,0,0,2.35,0.59,1.61,0,6.45,3.81,0,0,1.47,0.15,0.15,0,0,0,0.29,0,0,0.15,0,0,0,0,0,0,0,590
-3.5583,-12.58,GeoB1115-4,-2921,0.63,17.92,0.61,7.03,25.25,12.32,0.31,11.51,0.61,3.05,1.32,0.41,0,6.01,0,0,0,0,0.41,3.46,0,3.97,2.34,0,0.31,1.02,0,0.1,0,0,0,0.2,0,0,0.41,0.51,0,0,0.2,0,0.71,0,690
-3.5583,-12.58,GeoB1115-4,-2921,0.68,20.62,1.76,14.51,21.04,4.87,0,11.19,1.24,3.32,1.76,0.93,0,6.11,0.21,0,0,0,0,5.49,0.1,3.73,2.18,0,0,0.52,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0.1,0,617
-3.815,-14.8967,GeoB1117-2,-3984,0.53,8.12,2.54,9.64,7.36,11.42,2.54,14.47,0.25,2.54,3.3,1.02,0,5.84,0,0,0,4.06,0,2.28,0,19.8,0,0.25,0.25,2.03,0,0,0,0,0,0,0,0.25,1.02,0,0,0,1.02,0,0,0,394
-3.815,-14.8967,GeoB1117-2,-3984,0.58,8.14,2.28,6.51,19.87,6.84,0.33,10.42,0,2.28,2.61,1.3,0,8.79,0,0.98,0,4.89,6.51,2.61,0,6.51,0,0,0.65,3.26,0,0,0,0,0,0,0,0,1.3,1.3,0,0,2.61,0,0,0,307
-3.815,-14.8967,GeoB1117-2,-3984,0.63,9.92,3.48,6.53,31.77,20.28,0.17,6.44,0.35,1.91,2,0,0.35,4.7,0,0,0,1.91,0,0.09,0,5.48,1.57,0,0.87,1.74,0,0,0,0,0,0.09,0,0,0.35,0,0,0,0,0,0,0,593
-24.69,7.24,GeoB1214-1,-3210,0.23,19.21,0.53,0.39,15.83,30.37,3.36,7.88,0.16,1.5,1.32,0.29,0,8.95,0.57,0,0,1.03,1.03,0,0,1.24,0.06,0,1.16,0.24,2.37,0,0,0,0.02,0.26,0,0,1.68,0,0,0,0,0,0,0.52,654
-24.69,7.24,GeoB1214-1,-3210,0.28,20.13,0.28,0.11,15.59,34.9,3.63,7.66,0.76,1.3,1.45,0.09,0.35,5.71,0.87,0,0,0.43,2.42,0,0,0,0.15,0,0.35,0.54,1.21,0,0,0,0,0.17,0,0,1.9,0,0,0,0,0,0,0,688
-24.0333,5.3067,GeoB1220-1,-2265,0.33,17,0.2,0,12.8,36.21,3.4,0,0.9,3.31,1.02,1.8,0.8,4.8,1.01,0,0,0,0,7.9,0,0.1,0,0,0,2.43,3.31,0.6,0,0,0,0,0.8,0,0,1.6,0,0,0,0,0,0,355
-24.0333,5.3067,GeoB1220-1,-2265,0.38,18.34,0.85,0,16.1,26.87,4.91,0,1.07,2.11,1.28,0.64,1.71,4.69,0.87,0,0,0,0,9.06,0,0,0,0,0.85,0.13,7.1,0,0,0,0,0,0,0,0,3.41,0,0,0,0,0,0,395
-35.2067,-26.765,GeoB1306-1,-4057,0.19,14.02,0.01,0.1,13.99,60.78,0.41,4.7,0,0.2,0.1,0.01,0.1,0.41,1.47,0,0,0,0,0,0,0,0,0,0,0.05,3.23,0.03,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,729
-31.6667,-28.6667,GeoB1309-2,-3963,0.18,4.8,0,0,13.62,16.47,0,21.73,3.09,1.54,0.46,7.55,8,1.6,3.29,0,0,0.69,0,0.23,0,0.23,0.35,0,0.91,0.6,11.23,1.33,0,0,0,0.46,0,0,1.83,0,0,0,0,0,0,0,
-31.6617,-29.6567,GeoB1312-2,-3436,0.13,0.63,0,0,13.78,11.27,0.75,26.43,5.07,1.19,1.71,12.33,4.38,2.75,2.68,0,0,0,0,0.94,0.69,1.45,0.5,0,0.5,0.94,9.24,0.7,0,0,0,0,0,0,2.07,0,0,0,0,0,0,0,
-15.68,-9.455,GeoB1413-4,-3789,0.19,9.94,3.43,1.71,18.33,6,0.17,19.1,0.94,1.07,1.97,0.77,7.37,8.57,0.04,0,0,0.26,0.34,0,0.26,6.42,2.7,0.09,1.88,5.1,0.51,0.69,0,0,0,0.26,0,0,2.06,0,0,0,0.04,0,0,0,620
-15.68,-9.455,GeoB1413-4,-3789,0.23,10.47,2.91,1.29,16.01,7.5,0,19.65,1.57,1.57,2.86,0.67,8.06,7.84,0,0,0,0.45,0,0,0,4.93,1.68,0,3.58,7.28,0.22,0.39,0,0,0,0.22,0,0,0.45,0,0,0,0.39,0,0,0,473
-20.3667,-12.7067,GeoB1417-1,-2845,0.33,18.49,1.77,1.01,8.5,5.32,0,24.33,2.58,0.93,2.74,0.44,1.53,7.81,0,0.08,0,0.64,0.32,0.85,0.32,4.71,1.73,0,2.58,5.07,1.25,0.56,0,0,0,0.16,0,0.16,5.48,0,0,0,0,0.64,0,0,696
-20.3667,-12.7067,GeoB1417-1,-2845,0.38,17.07,1.87,0.78,11.95,1.56,0,24.28,1.04,1,2.22,1.13,2.52,9.47,0,0,0.04,0.43,0,0.78,0,6.43,1.82,0.04,2.43,5.39,1,1.22,0,0,0,0.61,0.35,0.22,3.3,0.7,0,0,0,0,0,0.35,713
-15.5367,-17.0683,GeoB1419-2,-4024,0.23,13.79,1.39,0.44,8.22,0.15,0,35.73,0,1.1,1.61,0.07,2.79,6.82,0,0,0,0.44,0,0.44,0,10.12,3.23,0,0,2.49,1.17,1.03,0,0,0,0.66,0,0.22,7.78,0,0,0,0,0.29,0,0,620
-3.6783,-32.0067,GeoB1501-4,-4257,0.33,1.57,0.31,7.72,2.52,5.04,0,28.35,0,1.42,3.46,0.16,0,5.98,0,0.47,0,0,0,1.57,0.16,11.81,13.7,0,0,14.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0,545
-3.6783,-32.0067,GeoB1501-4,-4257,0.38,1.64,1.38,8.56,1.9,5.27,0,29.13,0.35,0.78,2.25,0.78,0,5.1,0,0,0,0,0,0.17,0,19.97,13.31,0,0,8.38,0,0.35,0,0,0,0.17,0.17,0,0,0,0,0,0,0,0.35,0,678
2.3117,-30.6467,GeoB1503-1,-2306,0.28,4.52,0.79,13.1,2.31,9.91,0,16.42,1.01,0.22,1.14,0.98,4.47,16.99,0,0.14,0,0,0.44,6.48,0,6.02,2.75,0,0.65,5.55,0.22,0.16,0,0,0,0.76,0,0.49,3.92,0.44,0,0,0.14,0,0,0,761
2.3117,-30.6467,GeoB1503-1,-2306,0.33,8.17,2.17,10.4,3.41,11.52,0,20.74,1.49,0.25,1.11,0.5,1.36,14.49,0,0,0,0.5,0,6.25,0.19,4.64,3.34,0.19,0.62,3.28,0.31,0.25,0,0,0,0.06,0,0,2.48,2.23,0,0,0.06,0,0,0,741
2.27,-33.01,GeoB1505-1,-3705,0.48,3.99,2.39,9.29,2.56,9.2,0.35,34.03,0,0.17,1.22,0,0.35,13.89,0,0,0,0.95,0,0,0,8.29,4.69,0,0,6.21,0.09,0.35,0,0,0,0.26,0,0.09,1.39,0,0,0,0.09,0.17,0,0,901
2.27,-33.01,GeoB1505-1,-3705,0.53,2.6,2.36,9.92,3.54,8.26,0,32.23,0.71,0.71,1.42,0,0.94,9.92,0,0.12,0,1.3,0,0,0.12,12.51,4.25,0.24,0.24,6.85,0.12,0.71,0,0,0,0.35,0,0.12,0,0,0,0,0.47,0,0,0,715
5.3333,-34.025,GeoB1508-4,-3682,0.28,0.2,1.78,7.13,0,2.38,0.2,31.58,1.19,0.99,5.15,1.09,0,9.8,0,0,0,0,0,2.87,0,19.31,10.5,0,0,3.47,0,0.2,0,0,0,0.1,0,0.3,1.19,0.59,0,0,0,0,0,0,572
4.2383,-43.6667,GeoB1515-1,-3129,0.48,1.16,2.03,3.55,0,1.95,0,38.28,0.29,0.94,1.88,0,0,13.31,0,0,0,0.29,0,0.51,0.58,17.51,7.74,0,0.29,7.45,0.22,0.43,0,0,0,0.14,0,0,1.45,0,0,0,0,0,0,0,542
4.2383,-43.6667,GeoB1515-1,-3129,0.53,0.95,1.95,2.95,0,0,0,34.61,0,2.39,2.04,0,2.01,11.34,0,0,0,0,0,7.3,2.42,12.64,5.08,0.47,0,10.57,0,0.18,0.71,0,0,0,0,0,0.95,0.47,0,0,0.98,0,0,0,
4.2383,-43.6667,GeoB1515-1,-3129,0.63,1.82,1.18,3.39,0.1,1.24,0,39.39,0,4.03,3.04,2.07,0.93,8.36,0,0,0,0,0,4.82,1.2,12.89,4.51,0,0,9.2,0,0.16,0.1,0,0,0,0,0,0.93,0,0,0,0.66,0,0,0,
3.8317,-41.6217,GeoB1523-1,-3292,0.38,0.32,0.48,3.18,0,4.29,0,38.64,0,0.36,1.43,1.27,1.43,11.93,0,0,0,0,0,1.75,0,15.9,6.56,0,0.95,9.52,0.16,0.56,0,0,0,0.16,0,0.16,0.64,0.32,0,0,0,0,0,0,
3.8317,-41.6217,GeoB1523-1,-3292,0.43,0,1.25,1.27,0,0.97,0,37.18,0,0.35,1.39,4.58,0,12.9,0,1.11,0,0.57,0,2.08,0.28,15.83,6.95,0,0.55,9.88,0,0.31,0,0,0,1.39,0,0,0.69,0,0,0,0.47,0,0,0,
1.95,3.5517,GeoB1701-4,-4162,0.98,2.2,5.9,28.28,12.42,4.05,0,7.31,0.62,3.17,2.91,0.79,0,7.75,0,0,0,0,0,16.39,0,3.44,1.67,0,0.18,0,0,0.18,0,0,0,0.79,0.18,0,0,0.7,0,0,0,0,1.06,0,645
1.95,3.5517,GeoB1701-4,-4162,1.03,2.58,2.65,25.78,10.34,2.07,0.13,11.89,1.23,2.45,2.71,0.26,0.13,7.17,0.39,0,0,0,0.13,19.83,0.26,3.62,2.2,0.13,0.13,0.19,0,0.52,0,0,0,0.71,0,0,0.13,2.07,0,0,0,0,0.32,0,906
1.95,3.5517,GeoB1701-4,-4162,1.08,3.86,2.73,25.49,8.94,3.39,0,14.21,0.75,2.07,2.73,0.85,0.38,9.69,0.28,0,0,0,0,14.21,0.56,2.16,3.86,0,0,0,0,0.47,0,0,0,0.75,0,0,0,1.88,0,0,0,0,0.75,0,724
1.95,3.5517,GeoB1701-4,-4162,1.13,1.84,3.51,23.27,15.54,13.43,0.53,3.95,1.14,3.16,3.6,0.35,0,1.49,0,0,0,0,0,15.63,0,5.27,4.39,0,0,0,0,0,0,0,0,0.09,0,0,1.05,1.76,0,0,0,0,0,0,667
1.95,3.5517,GeoB1701-4,-4162,1.18,4.38,4.38,24.09,10.22,18.73,0.24,9.73,1.22,2.92,3.41,0,0,3.41,0,0,0,0,0,9.98,0,4.14,1.7,0,0,0,0,0.24,0,0,0,0,0.24,0,0.24,0.73,0,0,0,0,0,0,411
-19.5617,11.175,GeoB1706-2,-980,1.23,15.48,1.26,0,3.77,8.79,51.46,0,0,1.26,0.42,0,0.42,7.53,0,0,0,0,6.69,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,
-19.5617,11.175,GeoB1706-2,-980,1.28,7.73,0,0,1.66,20.99,58.56,1.1,0,0.55,0.55,0,0,2.76,0.55,0,0,0,3.31,0,0,0,0,0,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-19.5617,11.175,GeoB1706-2,-980,1.33,9.75,0.42,0,0.42,13.98,66.95,0,0,0.85,0,0,0,3.81,0,0,0,0,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,
-19.5617,11.175,GeoB1706-2,-980,1.38,6.4,0.99,0,1.48,16.26,64.04,0,0,0.49,0.99,0,0.49,3.94,0,0,0,0,2.46,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,
-23.315,12.3767,GeoB1711-4,-1967,1.73,8,0,4.2,0.7,11.5,70.8,0.3,0,0,0,0,0,0.3,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-23.315,12.3767,GeoB1711-4,-1967,1.78,14.1,0.4,6.7,0.8,11.8,61.6,0,0,0,0,0,0,0.4,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-23.315,12.3767,GeoB1711-4,-1967,1.83,8.7,0,5.1,0.7,14.4,66.1,0,0,0,0,0,0,0.4,0,0,0,0,4,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,
-23.315,12.3767,GeoB1711-4,-1967,1.88,4.9,0,10.1,1.9,13.1,61.6,0.3,0.3,0,0,0,0,1.1,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-23.315,12.3767,GeoB1711-4,-1967,1.93,8.9,0,10.1,4,8,58.3,0,0,0,0,0,0.3,0.9,0,0,0,0,8.6,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-23.315,12.3767,GeoB1711-4,-1967,1.98,8.4,0,6.8,2.4,16.8,58.7,0.3,0.5,0.3,0.3,0,0,0.3,0,0,0,0,4.7,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-23.315,12.3767,GeoB1711-4,-1967,2.03,9.3,0,6.5,0.7,18.9,61.9,0,0,0,0,0,0,1,0,0,0,0,0.7,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-23.315,12.3767,GeoB1711-4,-1967,2.08,7.4,0,2.6,0.9,15.3,65.4,0,0.7,0,0,0,0.2,1.9,0,0,0,0,3,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0.7,0.2,0.2,0,0,0,
-23.315,12.3767,GeoB1711-4,-1967,2.13,5.8,0,3.4,0.5,21.5,63.1,0,0,0,0,0,0,1.3,0,0,0,0,2.9,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-23.315,12.3767,GeoB1711-4,-1967,2.18,19,0,5.8,0,21.9,51.8,0,0,0,0,0,0.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-23.315,12.3767,GeoB1711-4,-1967,2.23,6.8,0,4.3,0.3,17.4,61.5,0.3,0.6,0,0,0,0,0.9,0,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,
-23.315,12.3767,GeoB1711-4,-1967,2.28,12.4,0,4.5,1.2,19.8,53.7,0,0.4,0.4,0,0,0,1.2,0,0,0,0,5.4,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-23.315,12.3767,GeoB1711-4,-1967,2.33,13.3,0,6.3,3.1,20.7,48.4,0,0,0.4,0,0,0,1.2,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-23.315,12.3767,GeoB1711-4,-1967,2.38,10.4,0,2.3,0.5,23,56.3,0.5,0.5,0.5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,
-23.315,12.3767,GeoB1711-4,-1967,2.43,6,0,2,0.5,18.1,70.4,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,
-23.315,12.3767,GeoB1711-4,-1967,2.48,8.6,0,9.2,0.6,19.4,55.6,0,0.3,0,0,0,0,1.6,0,0,0,0,3.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-23.315,12.3767,GeoB1711-4,-1967,2.53,14.2,0.4,4.2,1.5,19.5,55.9,0,0,0,0,0,0,0.8,0,0,0,0,3.1,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-29.45,11.75,GeoB1722-1,-3973,0.23,12.23,0.16,2.26,25.35,39.09,1.73,3.31,0.64,0.73,1.04,0,0,4.73,0.9,0.16,0,1.3,0.16,0,0,0.47,0,0,0,0,4.48,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,550
