Campaign,Event,Latitude,Longitude,Date/Time,Elevation [m],Depth [m],G. aequilateralis [%],G. bulloides [%],D. grahami [%],G. cavernula [%],G. conglobatus [%],G. crassaformis [%],S. dehiscens [%],G. digitata [%],N. dutertrei [%],G. falconensis [%],G. glutinata [%],G. hirsuta [%],T. humilis [%],G. inflata [%],G. menardii [%],C. nitida [%],P. obliquiloculata [%],N. pachyderma s [%],P/D int [%],G. quinqueloba s [%],G. quinqueloba d [%],G. quinqueloba [%],G. ruber p [%],G. ruber w [%],G. rubescens [%],G. trilobus tril [%],G. trilobus sac [%],G. scitula [%],G. tenellus [%],G. truncatulinoides s [%],G. truncatulinoides d [%],G. truncatulinoides [%],G. tumida [%],O. universa [%],G. uvula [%],G. mentum [%],P/D int [%],N. pachyderma d [%]
ARK-VII/3b,PS1951-1,68.8417,-20.825,27/09/1990,-1459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.9,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1
ARK-VIII/2,PS2129-1,81.3667,17.4717,11/07/1991,-861,0.2,0,0.2,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,96.3,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1
ARK-VIII/2,PS2129-1,81.3667,17.4717,11/07/1991,-861,0.3,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,97.6,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1
ARK-VIII/2,PS2129-1,81.3667,17.4717,11/07/1991,-861,0.4,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,97,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3
ARK-VIII/2,PS2138-1,81.535,30.5933,18/07/1991,-862,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
ARK-VIII/2,PS2138-1,81.535,30.5933,18/07/1991,-862,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.8,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2
ARK-VIII/2,PS2138-1,81.535,30.5933,18/07/1991,-862,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.9,2.8,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,2.8
ARK-VIII/2,PS2138-1,81.535,30.5933,18/07/1991,-862,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.4,3.4,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4
ARK-VIII/2,PS2138-1,81.535,30.5933,18/07/1991,-862,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1.4,0.4,0.3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4
ARK-X/2,PS2613-6,74.1767,-0.48,19/08/1994,-3266,0.3,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,97,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8
ARK-X/2,PS2613-6,74.1767,-0.48,19/08/1994,-3266,0.35,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,97.3,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6
ARK-X/2,PS2613-6,74.1767,-0.48,19/08/1994,-3266,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.7,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3
ARK-X/2,PS2644-5,67.8667,-21.765,19/09/1994,-777,1,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,96.7,2.8,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8
ARK-X/2,PS2644-5,67.8667,-21.765,19/09/1994,-777,1.06,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,96.3,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3
ARK-X/2,PS2644-5,67.8667,-21.765,19/09/1994,-777,1.13,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,99.3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ARK-X/2,PS2644-5,67.8667,-21.765,19/09/1994,-777,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.5,0.4,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
ARK-XIII/2,PS2837-5,81.2333,2.3817,12/07/1997,-1023,3.89,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,97.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
ARK-XIII/2,PS2837-5,81.2333,2.3817,12/07/1997,-1023,3.95,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,97.3,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4
ARK-XIII/2,PS2837-5,81.2333,2.3817,12/07/1997,-1023,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.8,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2
ARK-XIII/3,PS2876-1,81.759,-9.4355,24/08/1997,-1976,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.7,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3
ARK-XIII/3,PS2876-1,81.759,-9.4355,24/08/1997,-1976,0.13,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,96.7,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1
ARK-XIII/3,PS2876-1,81.759,-9.4355,24/08/1997,-1976,0.17,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,96.9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ARK-XIII/3,PS2876-1,81.759,-9.4355,24/08/1997,-1976,0.27,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,96.8,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
ARK-XIII/3,PS2876-1,81.759,-9.4355,24/08/1997,-1976,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.7,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3
