Core,Region,Longitude,Latitude,Water_depth,Dating_ctrl,Confidence_rank,Productivity_anomlies
KN11002-0058PG,AT-EQ,-43.038,4.792,4341,D18o,6,1
KN11002-0091PG,AT-EQ,-43.307,4.76,3810,d18O,6,1
GeoB1520-2,AT-EQ,-41.9333,4.59,3915,N/A,4,-1
KN11002-0066PG,AT-EQ,-43.382,4.563,3547,d18O,6,1
KN11002-0071PG,AT-EQ,-43.697,4.363,3164,d18O,6,1
KN11002-0075PG,AT-EQ,-43.408,4.342,3063,d18O,6,1
KN11002-0082PG,AT-EQ,-43.487,4.337,2816,d18O,6,1
EN06601-0036PG,AT-EQ,-20.212,4.305,4095,d18O/14Cstrat,7,1
GeoB1515-1,AT-WEQ,-43.66666667,4.238333333,3129,d18O,8,-0.5
RC13-184,AT-WEQ,-43.31,3.86,3446,d18O,4.5,
GeoB1523-1,AT-EQ,-41.6217,3.8317,3292,d18O,6,1
GeoB1523-1,AT-WEQ,-41.62166667,3.831666667,3292,d18O,9.25,-0.5
GIK13521-1,AT-EQ,-22.0317,3.02,4505,"14C, d18O",7,-1
EN66-29,AT-EEQ,-19.76,2.46,5104,d18O,7,
EN06601-0029PG,AT-EQ,-19.762,2.46,5105,d18O/14Cstrat,7,1
GeoB1505-2,AT-EQ,-33.015,2.2667,3706,d18O,6,1
RC13-189,AT-WEQ,-30,1.87,3223,"14C, d18O",11,1
GeoB1101-4/5,AT-EEQ,-10.98,1.6583,4588,d18O,6,1
RC16-66,ATL-EQ,-36.617,0.75,4424,d18O,8.98,1
V29-144,AT-EEQ,6.05,-0.2,2685,"14C, d18O",7,1
V30-40,AT-EEQ,-23.15,-0.2,3706,"14C, d18O",9.98,1
V30-41K,AT-EEQ,-23.07,-0.22,3874,"14C, d18O",7,1
V22-182,AT-EEQ,-17.27,-0.55,3776,"14C, d18O",11,1
ODP 663,AT-EEQ,-11.88,-1.2,3708,d18O,7,1
RC24-07,AT-EEQ,-11.92,-1.35,3899,"14C, d18O",11,1
GeoB1105-4,AT-EQ,-12.4283,-1.665,3225,d18O,6,1
GIK16867-2,AT-EQ,5.1017,-2.2017,3891,14C,7,1
RC24-12,AT-EEQ,-11.42,-3.007,3486,d18O,10,1
GeoB1041-3/1,AT-EEQ,-7.6,-3.475,4035,d18O,6,1
GeoB1118-3,AT-EEQ,-16.4283,-3.56,4671,d18O,6,1
GeoB1115-3,AT-EEQ,-12.56,-3.5617,2945,d18O,6,1
GeoB3104-1,AT-EQ,-37.7167,-3.6667,767,14C,7,1
GeoB1117-2/3,AT-EEQ,-14.8967,-3.815,3984,d18O,6,1
GeoB1117-2,AT-EQ,-14.8967,-3.815,3987,d18O,6,-1
GeoB3117-1,AT-EQ,-37.0917,-4.295,800,14C,7,1
175-1075A,AT-EEQ,10.075,-4.7853,2996,d18O,6,1
RC24-16,AT-EEQ,-10.2,-5.03,3543,"14C, d18O",7,1
T78-33,AT-EQ,7.97,-5.18,4120,N/A,4,1
RC24-27,AT-EEQ,-0.363,-5.412,3718,"14C, d18O",5,
GeoB1112-4,AT-EEQ,-10.75,-5.7783,3125,d18O,6,-1
GeoB1112-4,AT-EQ,-10.75,-5.7783,3125,d18O,6,1
GeoB1008-3,AT-EEQ,10.31333333,-6.581666667,3913,d18O,9,1
