,dbn,dbs,dsn,dss,dsst,dsal,dpo4,dchl,dfe
6705,-1.3201934e-10,-1.3765201e-10,-7.2228195e-06,-4.1960692e-11,-2.7047415,-0.24958038,-3.675467e-09,-0.0056593716,5.42515e-11
6706,-3.1945468e-10,-1.4605905e-10,-0.00418742,-3.470514e-11,-2.7521324,-0.3055153,-2.7661446e-08,-0.02343887,4.095537e-11
6707,-0.025440877,-8.443977e-06,-0.038505685,-4.0853564e-11,-2.406187,-0.3360443,-7.646075e-08,-0.06857689,1.4351444e-11
6708,-0.052248348,-0.020572642,-0.05259121,-3.90393e-11,-2.206087,-0.37874603,-1.1766154e-07,-0.08280179,-8.945428e-12
6709,-0.06559317,-0.040157355,-0.04217925,-3.4551723e-11,-1.8356237,-0.42455673,-1.4441711e-07,-0.08164762,-2.6868785e-11
6710,-0.07788559,-0.07121463,-0.049049143,-3.684294e-11,-1.2947531,-0.44905853,-1.9774316e-07,-0.09655984,-4.9154625e-11
6711,-0.095481545,-0.10520944,-0.060616016,-4.3011816e-11,-0.7748976,-0.45684433,-2.460515e-07,-0.11086552,-6.504268e-11
6712,-0.095776245,-0.11143096,-0.06107011,-4.1538627e-11,-0.5680647,-0.47795486,-2.668563e-07,-0.11105049,-7.086038e-11
6713,-0.103924766,-0.118068084,-0.067002244,-4.119137e-11,-0.42826653,-0.49201965,-2.1924751e-07,-0.11301467,-6.564667e-11
6714,-0.058890708,-0.058803145,-0.07056342,-4.83536e-11,-2.3645496,-0.5395889,-7.580589e-09,-0.011539578,-9.698056e-11
6716,-0.10618788,-0.13874,-0.080379605,-8.202658e-11,0.032271385,0.100315094,-6.641369e-08,-0.046273902,-1.5509538e-10
6717,-0.076543614,-0.09400379,-0.057632152,-5.4418983e-11,-0.21026993,-0.0013504028,-2.7311245e-08,-0.043860227,-7.200905e-11
6718,-0.10366963,-0.118050866,-0.07204777,-6.143326e-11,0.023773193,-0.055137634,-1.7367225e-07,-0.087033674,-8.0951884e-11
6719,-0.0936169,-0.091324195,-0.06209342,-4.2801623e-11,-0.091178894,-0.12443924,-2.549327e-07,-0.09402868,-9.2085034e-11
6720,-0.09564,-0.08666052,-0.060334243,-3.5571254e-11,-0.06538582,-0.1877594,-3.6069966e-07,-0.107384786,-1.1319354e-10
6721,-0.08551023,-0.07424034,-0.051049,-2.9820688e-11,-0.16950607,-0.27545166,-4.488918e-07,-0.105089486,-1.3647825e-10
6722,-0.08314939,-0.07593338,-0.049446724,-2.9659386e-11,-0.19960594,-0.36273193,-5.016784e-07,-0.10103664,-1.5340038e-10
6723,-0.07498525,-0.06760588,-0.044302464,-2.8999803e-11,-0.1422596,-0.43012238,-4.829181e-07,-0.09392154,-1.6059172e-10
6724,-0.11551391,-0.11729032,-0.07348887,-3.9372478e-11,1.0869865,-0.27640533,-3.3240838e-07,-0.11699411,-1.5567418e-10
6725,-0.12423666,-0.14457718,-0.08470398,-6.0914426e-11,1.6924429,-0.22382355,-2.334382e-07,-0.10500312,-1.2582431e-10
6726,-0.07894262,-0.08742011,-0.05251646,-4.4766524e-11,0.6549959,-0.26965332,-2.278928e-07,-0.07590315,-1.2106821e-10
6727,-0.052374206,-0.05135851,-0.03604734,-4.166066e-11,-0.67202854,-0.31599808,-1.9904348e-07,-0.05353555,-1.12339735e-10
6728,-0.035042822,-0.025462173,-0.02583231,-3.8295783e-11,-1.7011442,-0.3649826,-1.4385591e-07,-0.038692236,-1.0126605e-10
6729,-0.01577393,0.014666695,-0.012004472,-1.72177e-11,-1.932622,-0.40323257,-1.74315e-07,-0.030501276,-1.12360926e-10
6730,-0.019876853,0.012092724,-0.014248855,-1.263234e-11,-1.5136566,-0.41770554,-2.42653e-07,-0.03303051,-1.2842405e-10
6731,-0.026976302,0.0017089695,-0.019258998,-1.3830034e-11,-1.1340656,-0.44052887,-3.0711104e-07,-0.03280914,-1.408e-10
6732,-0.10530791,-0.113897674,-0.069413826,-8.4255936e-11,-0.12765789,-0.38514328,-1.8299113e-07,-0.10463762,-1.1510891e-10
6733,-0.10940009,-0.11277693,-0.07618643,-7.850637e-11,-0.23866272,-0.4237213,-1.3851735e-07,-0.0952512,-1.15573995e-10
6734,-0.079041004,-0.0752611,-0.084402926,-6.270867e-11,0.32416058,-0.21087265,-8.7786276e-08,-0.090062305,-6.951624e-11
6735,-0.01977065,-0.0015677012,-0.039981816,-5.500545e-11,-0.78319836,-0.2488327,-4.618602e-08,-0.055376902,-4.7294335e-11
6737,-0.0005831294,-0.01196985,-0.03766583,-8.8730384e-11,-2.442564,-0.25566864,-1.4554757e-09,0.019805953,2.1812163e-11
6738,-4.3993288e-11,-8.4699456e-11,-5.081414e-09,-7.720592e-11,-2.275076,-0.2549324,-3.0379859e-09,0.008646525,1.4499263e-11
6739,-3.8581322e-11,-6.213327e-11,-4.5136326e-09,-8.9338204e-11,-3.0359364,-0.21622849,-3.4500918e-09,-0.0017803833,3.4359134e-11
6740,-1.2722098e-11,-2.136286e-11,-2.8015923e-11,-3.6547626e-11,-1.6461391,-0.21396637,-5.4369576e-10,0.00019438565,3.9097912e-11
6741,1.7176312e-11,1.6718038e-11,1.9949709e-11,-1.0764681e-11,-1.530241,-0.20587921,5.2525975e-09,0.0222883,4.5423932e-11
6742,2.4639533e-11,2.851566e-11,2.9339906e-11,-8.779172e-12,-2.112997,-0.2417984,5.6956084e-09,0.023862943,4.785161e-11
6743,8.7761395e-12,1.0202995e-11,2.997276e-12,-2.362481e-11,-2.628397,-0.2486496,1.8114292e-09,0.012072742,4.460368e-11
6744,-1.0086733e-10,-1.8482561e-10,-2.2286925e-10,-5.647432e-11,-2.1368122,-0.27993774,-1.30955495e-08,-0.022667527,2.9298258e-11
6745,-0.00073658273,-0.002341189,-0.026808532,-6.80874e-11,-1.2003746,-0.31654358,-3.0035295e-08,-0.05577507,1.20716215e-11
6746,-0.03017684,-0.036348555,-0.04845458,-6.428343e-11,-0.5013437,-0.33861542,-4.6484022e-08,-0.07740509,-9.795914e-13
6747,-0.06532942,-0.07309944,-0.072548494,-6.7620014e-11,-0.059028625,-0.35108185,-6.517499e-08,-0.10386822,-1.3241297e-11
6748,-0.073429875,-0.08279639,-0.07748626,-6.6303275e-11,-0.052021027,-0.38042068,-7.033967e-08,-0.10734401,-1.8115731e-11
6749,-0.06432524,-0.08013962,-0.07494936,-7.0285465e-11,-0.11678505,-0.42172623,-4.5525766e-08,-0.08876887,-2.0125415e-11
6750,-0.010003675,-0.02211877,-0.04468786,-7.1734764e-11,-2.3740854,-0.50592804,-1.379162e-08,-0.017014176,-1.4070692e-10
6753,-0.053581808,-0.06579437,-0.075376004,-1.2129031e-10,-0.88352585,-0.04588318,-1.894507e-08,-0.030469246,-1.1737902e-11
6754,-0.038758453,-0.038037393,-0.03567891,-5.91745e-11,-0.7120857,-0.09844971,-1.0227296e-08,-0.01271826,-2.1228158e-12
6755,-0.07132123,-0.052538555,-0.05386901,-5.547035e-11,-0.7091284,-0.13424683,-8.7255295e-08,-0.05861993,-2.6326857e-11
6756,-0.106014095,-0.083453715,-0.08449375,-6.554943e-11,-0.5736885,-0.18012619,-1.4562548e-07,-0.10310896,-4.7746543e-11
6757,-0.13820893,-0.11594823,-0.10461581,-7.063829e-11,-0.31117153,-0.25833893,-2.2008852e-07,-0.14640237,-8.379651e-11
6758,-0.15738921,-0.14998016,-0.10695748,-7.914523e-11,0.06932831,-0.35825348,-2.1668967e-07,-0.1538835,-1.0130524e-10
6759,-0.14046548,-0.14568785,-0.096776575,-7.8161144e-11,0.07918167,-0.418293,-1.2724222e-07,-0.120741904,-1.127487e-10
6760,-0.04529031,-0.053415865,-0.031169541,-7.946435e-12,1.2581692,-0.3740387,-1.952358e-08,-0.03303626,-1.0719972e-10
6761,-0.009202832,-0.00363626,-0.037688624,-4.3696616e-11,0.6085682,-0.26049423,-7.911826e-09,-0.018793173,-7.3355225e-11
6762,-5.1380133e-10,-5.1598786e-10,-4.919258e-06,-4.908214e-11,-0.03240013,-0.30189133,-1.6109205e-08,-0.017153867,-7.0893666e-11
6763,-4.0789648e-05,-6.486367e-09,-0.013172539,-2.6403948e-11,-1.1809006,-0.28837204,-7.914494e-09,0.0026532114,-6.386122e-11
6764,-0.008623502,0.00042402057,-0.003900312,-2.3696392e-11,-1.700798,-0.3096199,-2.8246316e-08,-0.0140480995,-7.3400286e-11
6765,-0.033280853,-0.021323094,-0.022497289,-3.9869524e-11,-1.6926994,-0.34071732,-5.9249118e-08,-0.04205911,-8.781592e-11
6766,-0.080917336,-0.07268217,-0.053646844,-6.609677e-11,-0.7949791,-0.35975647,-1.4897415e-07,-0.08854829,-1.13760834e-10
6767,-0.09424654,-0.09548167,-0.06156803,-7.997525e-11,-0.35032177,-0.3794136,-1.943074e-07,-0.10052349,-1.212624e-10
6768,-0.05253175,-0.0745111,-0.07448899,-1.01833084e-10,0.03362465,-0.25211334,-2.5429978e-08,-0.04978721,-5.63551e-11
6773,-5.53233e-11,-7.362679e-11,-2.06864e-10,-6.350562e-11,-1.148138,-0.3102417,-3.9617056e-09,-0.006238766,4.0251504e-11
6774,-3.1185672e-11,-3.4079944e-11,-4.7963404e-11,-2.6526392e-11,0.4784603,-0.26450348,-3.8729153e-09,-0.01927765,2.743658e-11
6775,-2.9684193e-11,-2.3074919e-11,-4.366282e-11,-2.0655491e-11,0.76620674,-0.2552948,-3.7448156e-09,-0.020543657,3.5391728e-11
6776,-3.2537837e-11,-1.8554757e-11,-4.65115e-11,-1.894726e-11,1.125618,-0.23191452,-4.5867417e-09,-0.026454728,3.7435437e-11
6777,-7.473866e-11,-6.670944e-11,-1.0558178e-10,-3.487355e-11,1.7747402,-0.23601532,-3.3009442e-08,-0.065983176,2.1743524e-11
6778,-4.921694e-11,-2.5335224e-11,-6.495754e-11,-1.4496605e-11,2.30855,-0.3338127,-2.189431e-08,-0.061152987,2.3923658e-11
6779,-2.6416178e-11,-2.4455047e-12,-3.4132246e-11,-2.5132743e-12,1.9843445,-0.3525772,-1.1512928e-08,-0.03817921,2.7181302e-11
6780,-1.2203892e-11,-1.0396883e-14,-1.7637749e-11,-1.1778238e-11,0.2049923,-0.24313736,-1.7924511e-09,-0.008790232,3.8995605e-11
6781,-3.0059857e-11,-2.5436962e-11,-4.8862248e-11,-4.1662958e-11,-1.1603279,-0.16397476,-3.8558983e-09,-0.0100529045,3.6423142e-11
6782,-5.515975e-11,-6.954035e-11,-8.5601116e-11,-4.1938224e-11,-0.07306099,-0.19613647,-7.17932e-09,-0.02673176,2.9828383e-11
6783,-9.742378e-11,-1.5448576e-10,-1.7046159e-10,-5.3326163e-11,0.32347298,-0.22502518,-1.1568674e-08,-0.042603824,2.1853241e-11
6784,-1.2596861e-10,-2.1345833e-10,-1.4473452e-05,-6.008277e-11,0.32591438,-0.26576233,-1.3046865e-08,-0.046498265,1.4636431e-11
